url,urlClass,inferredBrandSlug,inferredHotelSlug,inferredCountry,inferredState,inferredCity,matchedChoiceBrands,childSitemap
https://www.choicehotels.com/dominican-republic/juan-dolio-beach/ascend-hotels/do012,likely_property_url,ascend,do012,dominican-republic,,juan-dolio-beach,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/chile/calama-antofagasta/ascend-hotels/cl022,likely_property_url,ascend,cl022,chile,,calama-antofagasta,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/chile/curico/radisson-hotels/cl010,likely_property_url,radisson,cl010,chile,,curico,Radisson (Choice); Radisson Inn & Suites; Park Inn by Radisson (Choice); Radisson Collection  (Choice); Radisson Individual (Choice); Radisson Blu (Choice); Country Inn & Suites by Radisson (Choice); Radisson RED  (Choice),https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/dominican-republic/playa-dorada/ascend-hotels/do013,likely_property_url,ascend,do013,dominican-republic,,playa-dorada,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/denmark/resville/stopover-hotels/tr729,likely_property_url,stopover,tr729,denmark,,resville,,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/dominica/roseau/ascend-hotels/dm004,likely_property_url,ascend,dm004,dominica,,roseau,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/dominica/parish-of-st-andrews/ascend-hotels/dm003,likely_property_url,ascend,dm003,dominica,,parish-of-st-andrews,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/yukon-territory/whitehorse/clarion-hotels/cnc90,likely_property_url,clarion,cnc90,yukon-territory,,whitehorse,Clarion; Clarion Pointe,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/chile/antofagasta/park-inn-hotels/cl023,likely_property_url,park-inn,cl023,chile,,antofagasta,Park Inn by Radisson (Choice),https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/dominican-republic/sosua/ascend-hotels/do030,likely_property_url,ascend,do030,dominican-republic,,sosua,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/dominican-republic/santo-domingo/quality-inn-hotels/do002,likely_property_url,quality-inn,do002,dominican-republic,,santo-domingo,Quality Inn,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/dominican-republic/santiago/ascend-hotels/do032,likely_property_url,ascend,do032,dominican-republic,,santiago,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/spain/alcoy/ascend-hotels/es036,likely_property_url,ascend,es036,spain,,alcoy,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/ecuador/quito/ascend-hotels/ec001,likely_property_url,ascend,ec001,ecuador,,quito,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/dominican-republic/santo-domingo/radisson-hotels/do003,likely_property_url,radisson,do003,dominican-republic,,santo-domingo,Radisson (Choice); Radisson Inn & Suites; Park Inn by Radisson (Choice); Radisson Collection  (Choice); Radisson Individual (Choice); Radisson Blu (Choice); Country Inn & Suites by Radisson (Choice); Radisson RED  (Choice),https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/ecuador/quito-pichincha/park-inn-hotels/ec005,likely_property_url,park-inn,ec005,ecuador,,quito-pichincha,Park Inn by Radisson (Choice),https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/ecuador/guayaquil/radisson-hotels/ec003,likely_property_url,radisson,ec003,ecuador,,guayaquil,Radisson (Choice); Radisson Inn & Suites; Park Inn by Radisson (Choice); Radisson Collection  (Choice); Radisson Individual (Choice); Radisson Blu (Choice); Country Inn & Suites by Radisson (Choice); Radisson RED  (Choice),https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/ecuador/guayaquil/ascend-hotels/ec002,likely_property_url,ascend,ec002,ecuador,,guayaquil,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/spain/albacete/ascend-hotels/es072,likely_property_url,ascend,es072,spain,,albacete,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/spain/algeciras/ascend-hotels/es099,likely_property_url,ascend,es099,spain,,algeciras,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/spain/barcelona/ascend-hotels/es077,likely_property_url,ascend,es077,spain,,barcelona,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/spain/badajoz/ascend-hotels/es042,likely_property_url,ascend,es042,spain,,badajoz,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
