censusRecordId,censusName,censusCountry,reason
recL3YWf9gpYYeqYy,Hotel Indigo Grand Cayman,Cayman Islands,no_directory_match
recMIzyYlvdRI6we4,Crowne Plaza Durango,Mexico,no_directory_match
recNopGrQ0daKYiSp,InterContinental Punta Piqueros,Chile,no_directory_match
recOgbpJnpceafD9x,El Gran Encomendero,Mexico,no_directory_match
recOnoJgxi2MYxKke,InterContinental Guayaquil Ecuador,Ecuador,no_directory_match
recOyOjGMEdJBSwZL,Vignette Collection Valladolid,Mexico,no_directory_match
recRs8bw05VRnlGEZ,voco Morelia Esfera,Mexico,no_directory_match
recS65mnzpCvjt1jH,Holiday Inn Express,Colombia,no_directory_match
recS8A83eBEd4k0M6,Holiday Inn Express San Luis Rio Colorado,Mexico,no_directory_match
recT1aGrFAuSsEnLP,Holiday Inn Express Cali Airport,Colombia,no_directory_match
recUXz08ur05hs91J,Six Senses Papagayo,Costa Rica,no_directory_match
recUwG3q75xzSAlJS,Holiday Inn Costa Rica,Costa Rica,no_directory_match
recWHQBBbIYkaMzgC,Holiday Inn Express Tijuana Zona Rio,Mexico,no_directory_match
recWPW4w4k50oNJMR,Holiday Inn Navajoa,Mexico,no_directory_match
recWj4CTJksSqety1,Holiday Inn Express Santa Catarina,Mexico,no_directory_match
recYVpZchnzYF0H1p,Candlewood Suites Tijuana Otay,Mexico,no_directory_match
recYXD5LOOKVPTFCy,Hotel Indigo Tulum,Mexico,no_directory_match
recZAjAZKF3uqTDRM,Six Senses Xala,Mexico,no_directory_match
recdtYUvQe5CoBgqS,InterContinental Isabela,Puerto Rico,no_directory_match
recfB8jROzTuG8eKe,Holiday Inn Express & Suites Tecate,Mexico,no_directory_match
rech7Ag8cwcCWuCm1,Abitta Boutique Hotel,Puerto Rico,no_directory_match
reciAW0FLQ2c2dXAi,Marriott Buenos Aires Ezeiza Airport,Argentina,no_directory_match
reciCjJWUMaYavstr,Six Senses Galapagos,Ecuador,no_directory_match
recjfc9MD75KEHVQ6,Avid Pachuca,Mexico,no_directory_match
recjnRKDk7y6A5MpZ,Avid Merida Norte,Mexico,no_directory_match
reckgvzarJCy4tlxg,Kimpton East Cape Los Cabos,Mexico,no_directory_match
reckuB2SjWrMvNsxO,Six Senses Belize,Belize,no_directory_match
reclkst8umMbWRTmk,Hotel Indigo St. Kitts,Saint Kitts and Nevis,no_directory_match
reclrYEHTnayJnEdC,Avid Guadalajara Aeropuerto,Mexico,no_directory_match
reclzyIyRiVghs6CT,Holiday Inn Express Queretaro Aeropuerto,Mexico,no_directory_match
recmeh7w7mtk7Q5Yv,Holiday Inn Guadalajara Aeropuerto,Mexico,no_directory_match
recmn5Ou1ZCM6CKbx,Hotel Indigo Guadalajara Providencia,Mexico,no_directory_match
recnu7NCi9ok5JxiW,Holiday Inn Express La Romana,Dominican Republic,no_directory_match
recoY0vUuRtrGires,Six Senses Freedom Bay,Saint Lucia,no_directory_match
recolsId21MYHi0rr,Hotel Indigo San Miguel de Allende,Mexico,no_directory_match
recqFLDiPxDAEace7,Holiday Inn Express Punta Cana,Dominican Republic,no_directory_match
recrcXgRGlHlB5TQ5,Avid Guadalajara Expo,Mexico,no_directory_match
recrdMS99JSZ4SiBr,Six Senses La Sagesse,Grenada,no_directory_match
recsLlm4zNk6LxvLg,Holiday Inn Express Ciudad Del Carmen,Mexico,no_directory_match
recsXkJMeyDFi0zGj,The Royal Haciendas,Mexico,no_directory_match
recseZgzcRJ4sdV1j,Avid Comitan,Mexico,no_directory_match
rect1m1mPZ0cC0LZd,Atwell Suites Costa Rica,Costa Rica,no_directory_match
recumeYRHsCFxlXI5,Holiday Inn Morelia Esfera,Mexico,no_directory_match
recv0hUqXSWVmBBaD,Kimpton Virgilio,Mexico,no_directory_match
recvmogByjihPP4Se,Holiday Inn Funza Columbia,Colombia,no_directory_match
recxTDOmSTHBlucTv,Kimpton Mas Olas Todos Santos,Mexico,no_directory_match
recxZrMYugVyHUQMk,Holiday Inn Mexico Buenavista,Mexico,no_directory_match
recyBf7nk9LrbXfb6,Kimpton Aluna Resort Tulum,Mexico,no_directory_match
reczPqwZtNjGzdoNS,Holiday Inn Panama Financial District,Panama,no_directory_match
reczroBSFt9pz7maU,Holiday Inn San Miguel de Allende,Mexico,no_directory_match
