affiliation,total,cala,isActiveBrandSetup,foldMatchesActive,safeAliasTarget
Four Seasons,20,19,no,,
Amerian,19,19,no,,
Sleep Inn,19,19,no,,
RIU Palace,19,19,no,,
Esplendor,18,17,no,,
Gamma by Fiesta Inn,18,18,no,,
Ritz-Carlton,18,15,no,,
Crowne Plaza,17,16,no,,
Sonesta Hotel,17,15,no,,
Residence Inn,17,16,no,,
Staybridge Suites,16,15,no,,
Tapestry Collection by Hilton,16,15,yes,Tapestry Collection by Hilton,Tapestry Collection by Hilton
Hotel Indigo,16,15,yes,Hotel Indigo,Hotel Indigo
Days Inn,15,15,no,,
Casa Andina Standard,15,15,no,,
Dazzler by Wyndham,15,13,yes,Dazzler by Wyndham,Dazzler by Wyndham
Radisson Individuals by Choice,14,14,yes,Radisson Individuals by Choice,
Ascend Hotel Collection,14,13,yes,Ascend Hotel Collection,Ascend Hotel Collection
Hyatt Regency,14,14,no,,
Golden Park,13,13,no,,
Belmond Hotels,13,11,no,,
W Hotel,13,13,no,,
La Quinta Inns & Suites,13,13,no,,
Luxury Collection,13,13,no,,
Rosewood,13,11,no,,
Camino Real,13,13,no,,
Grand Palladium,13,13,no,,
Tierra Viva,12,12,no,,
Super 8,12,12,no,,
Kimpton Hotels,12,11,yes,Kimpton Hotels,
Paradisus,12,12,no,,
Avid,11,11,no,,
St. Regis,11,9,no,,
Tribute Portfolio,11,10,yes,Tribute Portfolio,Tribute Portfolio
On Vacation,11,11,no,,
Extended Suites,11,11,no,,
Club Med,11,10,no,,
Memories,10,10,no,,
Pullman,10,10,no,,
Six Senses,10,10,no,,
Vila Gale,10,10,no,,
Plaza Inn Hotels,10,10,no,,
Travel Inn,10,10,no,,
Real Inn,10,10,no,,
Catalonia,10,10,no,,
Grand Bahia Principe,10,10,no,,
Occidental,10,10,no,,
Grand Hyatt,10,10,no,,
Quinta Real,9,9,no,,
Hyatt Centric,9,9,no,,
Exe,9,9,no,,
Hard Rock,9,9,no,,
Margaritaville,9,9,no,,
Ramada Encore,9,9,no,,
Princess,9,9,no,,
Homewood Suites by Hilton,9,9,no,,
Renaissance,9,7,no,,
Motto by Hilton,8,8,no,,
Sofitel,8,8,no,,
Sunscape Resorts & Spas,8,8,no,,
Casa Andina Select,8,8,no,,
Palace Resort,8,8,no,,
H10,8,8,no,,
MGallery Collection,8,8,yes,MGallery Collection,MGallery Collection
Live Aqua,8,8,no,,
Affiliated by Meliá,8,8,no,,
Grand Mercure,8,8,no,,
Muthu,8,8,no,,
Luxury Bahia Principe,8,8,no,,
Microtel Inn & Suites by Wyndham,8,8,no,,
Royalton,7,7,no,,
Collection O,7,7,no,,
Registry Collection Hotels,7,7,no,,
Thompson Hotels,7,7,no,,
Sol,7,7,no,,
Real de Minas,7,7,no,,
Promenade,7,7,no,,
Waldorf Astoria,7,7,no,,
Radisson Blu by Choice,7,7,yes,Radisson Blu by Choice,
Park Hyatt,6,6,no,,
Aristos Hotel,6,6,no,,
voco,6,6,no,,
Rochester,6,5,no,,
Our Habitas,6,6,no,,
Estanplaza,6,6,no,,
BW Signature Collection,6,6,yes,BW Signature Collection,BW Signature Collection
Casa Andina Premium,6,6,no,,
Tulip Inn,6,6,no,,
Hyatt Ziva,6,6,no,,
BW Premier Collection,6,6,yes,BW Premier Collection,BW Premier Collection
Wyndham Grand,6,6,no,,
Park Inn by Radisson (Choice),6,6,no,,
Breathless Resorts & Spas,6,6,no,,
B&B Hotel,6,6,no,,
Aston,6,6,no,,
Golden Tulip,6,6,no,,
Zoetry Wellness & Spa Resorts,6,6,no,,
Innside by Melia,5,5,no,,
Wyndham Alltra,5,5,no,,
Hoteles MS,5,5,no,,
SLS,5,5,no,,
Banyan Tree,5,5,no,,
MOXY,5,5,no,,
Hesperia,5,0,no,,
Andaz,5,3,no,,
Kempinski,5,4,no,,
Clarion,5,5,no,,
Merit,5,5,no,,
Nobu Hotels,5,5,no,,
Iberostar Grand Collection,5,5,no,,
Pestana,5,4,no,,
Roc,5,5,no,,
Fairmont,5,4,no,,
Embassy Suites by Hilton,5,5,no,,
Auberge Resorts Collection,5,5,no,,
Viceroy,5,5,no,,
HM Hotels,5,5,no,,
Valentin Hotel,5,5,no,,
Delta Hotel,4,4,no,,
Westin Vacation Club,4,3,no,,
Oetker Collection,4,3,no,,
Radisson RED by Choice,4,4,yes,Radisson RED by Choice,
Hyatt Zilara,4,4,no,,
Candlewood Suites,4,4,no,,
Mandarin Oriental,4,4,no,,
Destination by Hyatt,4,4,no,,
Swissotel,4,3,no,,
WorldHotels Elite,4,4,no,,
whala!,3,3,no,,
Le Meridien,3,3,no,,
Edition,3,3,no,,
Hyatt House,3,3,no,,
Best Hotels,3,3,no,,
Aiden by Best Western,3,1,no,,
Eurostars,3,3,no,,
BlueBay,3,3,no,,
Mama Shelter,3,3,no,,
LXR Hotels & Resorts,3,0,no,,
Vignette Collection,3,3,yes,Vignette Collection,Vignette Collection
Apartments by Marriott,3,3,no,,
Royal Tulip,3,3,no,,
Canopy by Hilton,3,3,no,,
Pendry,3,3,no,,
Montage,3,3,no,,
PortoBay,3,3,no,,
Tivoli,3,3,no,,
Dream Hotels,2,2,no,,
Faena,2,2,no,,
Van der Valk,2,1,no,,
Marriott Executive Apartments,2,2,no,,
JO&JOE,2,2,no,,
Sofitel Legend,2,2,no,,
Allegro,2,2,no,,
One & Only,2,2,no,,
RIU Plaza,2,2,no,,
Angsana,2,2,no,,
TRIBE,2,2,no,,
Hyde,2,2,no,,
Dolce Hotels & Resorts,2,2,no,,
Aman,2,1,no,,
Conrad,2,2,no,,
AVANI,2,2,no,,
Mondrian,2,2,no,,
Royal Hideaway,2,2,no,,
abba,2,2,no,,
Oca Hotels,2,2,no,,
Globales,2,2,no,,
Holiday Inn Club Vacations,2,2,no,,
The Unbound Collection,2,2,no,,
Gran Melia,2,2,no,,
Independant,2,2,no,,
Royal Sonesta,2,2,no,,
Hyatt Vivid,2,2,no,,
Hoteis Othon,2,2,no,,
Be Mate,1,1,no,,
Red Carpet Inn,1,1,no,,
1 Hotel,1,1,no,,
Hilton Grand Vacations,1,0,no,,
Zenitude,1,1,no,,
Handwritten Collection,1,1,yes,Handwritten Collection,Handwritten Collection
Anantara,1,1,no,,
NOW Resorts & Spas,1,1,no,,
Sonesta ES Suites,1,1,no,,
Langley Hotels & Resorts,1,1,no,,
Virgin Hotels,1,1,no,,
Park Plaza (Choice),1,1,no,,
Omni,1,1,no,,
Aparthotel Adagio,1,1,no,,
TUI BLUE,1,1,no,,
Transamerica,1,1,no,,
Aerotel,1,1,no,,
Soho Boutique Hotels,1,1,no,,
COMO,1,0,no,,
JdV by Hyatt,1,1,no,,
nhow,1,1,no,,
WorldHotels Distinctive,1,1,no,,
TUI SENSATORI,1,1,no,,
Wingate by Wyndham,1,1,no,,
Country Inn & Suites by Choice,1,1,yes,Country Inn & Suites by Choice,
Marriott Vacation Club,1,1,no,,
Axel Hotel,1,1,no,,
Evenia,1,1,no,,
Moov,1,1,no,,
SureStay Collection,1,0,no,,
Home2 Suites by Hilton,1,1,no,,
Senator,1,1,no,,
Atwell Suites,1,1,no,,
element,1,1,no,,
Baymont,1,1,no,,
Fiesta,1,1,no,,
ME,1,1,no,,
Nikki Beach,1,1,no,,
Warwick Hotel,1,1,no,,
