verdict,censusRecordId,censusName,hiltonName,ctyhocn,censusStatus,hiltonStatus,hiltonOpenDate,city,country,affiliation
unverified_no_code,recRIL2ncWJZfFTB1,Hilton Garden Inn La Plata Argoth,,,Pipeline,,,La Plata,Argentina,Hilton Garden Inn
match,recRwIdA4l429nWnN,Hampton Inn Irapuato,Hampton Inn by Hilton Irapuato,BJXIRHX,Open,Open,2016-10-04,Irapuato,Mexico,Hampton by Hilton
match,recSTvtsdrlB4tzsA,DoubleTree by Hilton Hotel Cariari San Jose,DoubleTree by Hilton Hotel Cariari San Jose - Costa Rica,SJODTDT,Open,Open,2008-01-01,San Jose,Costa Rica,DoubleTree by Hilton
unverified_no_code,recSXZrxJfWPalFLq,Hampton by Hilton Tulum,,,Pipeline,,,Tulum,Mexico,Hampton by Hilton
unverified_no_code,recT3Fb4XUGjaP1rM,Homewood Suites by Hilton Merida,,,Pipeline,,,Mérida,Mexico,Homewood Suites by Hilton
unverified_no_code,recT4nqXT4R2qeXBj,Hampton by Hilton Culiacan,,,Pipeline,,,Culiacán Rosales,Mexico,Hampton by Hilton
match,recT6BHrfZMM7g5f9,Hilton San Salvador,Hilton San Salvador,SALSAHH,Open,Open,2023-10-01,San Salvador,El Salvador,Hilton
match,recTNEARTDZMpglqw,Hampton Inn & Suites Mexico City - Centro Historico,Hampton Inn & Suites Mexico City - Centro Historico,MEXCHHX,Open,Open,2008-12-01,Mexico City,Mexico,Hampton by Hilton
match,recTVMMcf8DcRXLi5,Hilton Garden Inn Sao Jose do Rio Preto,Hilton Garden Inn Sao Jose do Rio Preto,SAODLGI,Open,Open,2023-03-15,Sao Jose do Rio Preto,Brazil,Hilton Garden Inn
match,recTh8yjp8TKdigcP,Hampton by Hilton Barranquilla,Hampton by Hilton Barranquilla,BAQHXHX,Open,Open,2013-02-05,Barranquilla,Colombia,Hampton by Hilton
match,recTjYJPhwL821Sxl,Mahogany Bay Resort & Beach Club Curio Collection by Hilton,"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton",TZAMBQQ,Open,Open,2017-12-06,San Pedro,Belize,Curio Collection by Hilton
unverified_no_code,recTwRwTbA8niywmv,Hampton by Hilton Cañuelas,,,Pipeline,,,Cañuelas,Argentina,Hampton by Hilton
match,recTwfH8I5m042F7j,Tru by Hilton Criciuma,Tru by Hilton Criciuma,CCMSCRU,Open,Open,2022-04-14,Criciuma,Brazil,Tru by Hilton
match,recU3UNBEZPtrETuz,Hilton Pilar,Hilton Pilar,BUEPIHH,Open,Open,2018-11-01,Pilar,Argentina,Hilton
match,recUCjevWreNAb1eW,Tru by Hilton Cali Sur,Tru by Hilton Cali Sur,CLOUDRU,Open,Open,2024-10-01,Cali,Colombia,Tru by Hilton
match,recUamZuzYMygWAOs,Hampton Inn Villahermosa,Hampton Inn by Hilton Villahermosa,VSATAHX,Open,Open,2015-09-29,Villahermosa,Mexico,Hampton by Hilton
