status,recordId,name,country,city,strSubmarket,existingDealality,proposedDealality,confidence,reason
unmapped,recTluSSf3dWiPuCh,Novotel Sao Jose Dos Campos,Brazil,Sao Jose Dos Campos,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recTqzFytf2qHSvVH,Wyndham Costa del Sol Piura,Peru,Piura,Peru Regional,,,No Match,no_corridor_match
unmapped,recTv5IX7aW8ghiih,Bambuda Santa Catalina,Panama,Sona,Panama Regional,,,No Match,no_corridor_match
mappable,recTwdKvqiCm6UZpv,Tortuga Lodge,Costa Rica,Limon,Costa Rica Regional,,Caribbean Coast,Medium,name_keyword_caribbean
unmapped,recTwfH8I5m042F7j,Tru by Hilton Criciuma,Brazil,Criciuma,Brazil South Regional,,,No Match,no_corridor_match
unmapped,recTyOCFT0E9cmPoQ,LP Los Portales Hoteles Tarma,Peru,Tarma,Peru Regional,,,No Match,no_corridor_match
unmapped,recTzEBxtaYn1pzEI,Go Inn Goiana PE,Brazil,Goiana,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,recU1GdcJn3GxolCV,one Tapachula,Mexico,Tapachula,Oaxaca/Chiapas Regional,,,No Match,no_corridor_match
unmapped,recU2ZAPS4ZhAONAI,Iberostar Grand Hotel Trinidad,Cuba,Trinidad,Cuba Regional,,,No Match,country_not_in_corridor_registry
unmapped,recU64fQslW2um1mn,Wyndham Concepcion Pettra,Chile,Concepcion,Chile Regional,,,No Match,no_corridor_match
unmapped,recUF5xys1KcEVL2a,Fasano Punta Del Este,Uruguay,Punta Del Este,Uruguay Regional,,,No Match,no_corridor_match
unmapped,recUG3t6iy4WeqYoM,Mercure Concepcion,Chile,Concepcion,Chile Regional,,,No Match,no_corridor_match
unmapped,recULuD2QBXPk4p2U,Comfort Inn Tampico,Mexico,Tampico,Tamaulipas Regional,,,No Match,no_corridor_match
unmapped,recUOZ30GiDL6vOWR,ibis Jacarei,Brazil,Jacarei,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recUQBM5YVo1EdLNf,Tivoli Ecoresort Praia do Forte,Brazil,Mata De Sao Joao,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,recURnlEeQal1W77R,Hotel Faranda Guayacanes a member of Radisson Individuals,Panama,Chitre,Panama Regional,,,No Match,no_corridor_match
unmapped,recUUc2Z0OjPs8K4f,Nannai Muro Alto,Brazil,Ipojuca,Brazil Northeast Regional,,,No Match,no_corridor_match
mappable,recUVMDkN8MHSFRwL,Casa Marina Sosua Trademark by Wyndham All Inclusive,Dominican Republic,Sosua,Dominican Republic Regional,,Puerto Plata / Sosúa / Cabarete,High,name_keyword_north_coast
