censusRecordId,name,country,Affiliation,status,reasonBucket,suggestedNextAction,nearMissPropertyId,nearMissDirectoryName,nearMissNameSim,nearMissBoostedSim,nearMissScore,nearMissConfidence,nearMissBrandOk,nearMissSharedTokens,nearMissClaimedByRecordId,nearMissClaimedByName,nearMissPropertyUrl
recWPW4w4k50oNJMR,Holiday Inn Navajoa,Mexico,Holiday Inn,Pipeline,census_duplicate_pid_claimed,Property ID CENNJ already on recmNQEpy2Cp6qyoK (Holiday Inn Navojoa). Deduplicate or merge census rows; do not reassign PID.,CENNJ,Holiday Inn Navojoa,1,1,70,medium,true,navojoa|inn_navojoa,recmNQEpy2Cp6qyoK,Holiday Inn Navojoa,https://www.ihg.com/holidayinn/hotels/us/en/navojoa/cennj/hoteldetail
recv0hUqXSWVmBBaD,Kimpton Virgilio,Mexico,Kimpton,Open,census_duplicate_pid_claimed,Property ID MEXPL already on rec7FBbyaR2UiXfzJ (Kimpton Virgilio). Deduplicate or merge census rows; do not reassign PID.,MEXPL,Kimpton Virgilio Polanco,0.75,0.75,80,high,true,virgilio|kimpton_virgilio,rec7FBbyaR2UiXfzJ,Kimpton Virgilio,https://www.ihg.com/kimptonhotels/hotels/us/en/virgilio-mexico-city/mexpl/hoteldetail
rec3ELzPG0k38kf5N,Holiday Inn Irapuato,Mexico,Holiday Inn,Open,missing_from_public_listing,No safe official ihg.com match found. Re-extract after openings; steward Website/Property ID only from hoteldetail URLs.,TUYDT,Holiday Inn Tulum,0.5,0.5,36,none,true,,,,https://www.ihg.com/holidayinn/hotels/us/en/tulum/tuydt/hoteldetail
recyBf7nk9LrbXfb6,Kimpton Aluna Resort Tulum,Mexico,Kimpton,Open,missing_from_public_listing,No safe official ihg.com match found. Re-extract after openings; steward Website/Property ID only from hoteldetail URLs.,,,,,,,,,,,
reciAW0FLQ2c2dXAi,Marriott Buenos Aires Ezeiza Airport,Argentina,Holiday Inn,Open,name_variant_needs_human,Likely Parent Company / Affiliation mis-tag — confirm brand family and remove from IHG fill-blank queue if not IHG.,BUEHA,InterContinental Buenos Aires,0.333,0.62,24,none,true,buenos|aires|buenos_aires,recHyQcNmwmJBq3Xl,InterContinental Hotel Buenos Aires,https://www.ihg.com/intercontinental/hotels/us/en/buenos-aires/bueha/hoteldetail
reclrYEHTnayJnEdC,Avid Guadalajara Aeropuerto,Mexico,Avid,Pipeline,name_variant_needs_human,"Ambiguous near-miss GDLET already claimed by recuBB06wJyHnzoEU (avid hotel Guadalajara Aeropuerto Norte, sim=0.82) — steward whether duplicate, brand variant, or distinct property.",GDLET,avid hotels Guadalajara Aeropuerto Norte,0.818,0.818,82,medium,true,,recuBB06wJyHnzoEU,avid hotel Guadalajara Aeropuerto Norte,https://www.ihg.com/avidhotels/hotels/us/en/tlaquepaque/gdlet/hoteldetail
recsLlm4zNk6LxvLg,Holiday Inn Express Ciudad Del Carmen,Mexico,Holiday Inn Express,Open,name_variant_needs_human,"Ambiguous near-miss PCMPD already claimed by recZSCqHqyBU365UX (Holiday Inn Express & Suites Playa del Carmen, sim=0.63) — steward whether duplicate, brand variant, or distinct property.",PCMPD,Holiday Inn Express & Suites Playa del Carmen,0.625,0.625,62,low,true,carmen|del_carmen,recZSCqHqyBU365UX,Holiday Inn Express & Suites Playa del Carmen,https://www.ihg.com/holidayinnexpress/hotels/us/en/playa-del-carmen/pcmpd/hoteldetail
reclzyIyRiVghs6CT,Holiday Inn Express Queretaro Aeropuerto,Mexico,Holiday Inn Express,Pipeline,name_variant_needs_human,"Ambiguous near-miss MQERG already claimed by recswK6Qrhmbnhb3X (Holiday Inn Express Queretaro, sim=0.67) — steward whether duplicate, brand variant, or distinct property.",MQERG,Holiday Inn Express & Suites Queretaro,0.667,0.667,70,medium,true,queretaro,recswK6Qrhmbnhb3X,Holiday Inn Express Queretaro,https://www.ihg.com/holidayinnexpress/hotels/us/en/queretaro/mqerg/hoteldetail
recS8A83eBEd4k0M6,Holiday Inn Express San Luis Rio Colorado,Mexico,Holiday Inn Express,Pipeline,name_variant_needs_human,"Ambiguous near-miss SLPMV already claimed by recglKfYQzLxfMuyF (Holiday Inn Express San Luis Potosi, sim=0.63) — steward whether duplicate, brand variant, or distinct property.",SLPMV,Holiday Inn Express San Luis Potosi,0.625,0.625,62,low,true,luis|san_luis,recglKfYQzLxfMuyF,Holiday Inn Express San Luis Potosi,https://www.ihg.com/holidayinnexpress/hotels/us/en/san-luis-potosi/slpmv/hoteldetail
recJIcSot3BHQ1TX8,Holiday Inn Hermosillo,Mexico,Holiday Inn,Open,name_variant_needs_human,"Ambiguous near-miss HMOAA already claimed by recbA5g3z85bXogXK (Holiday Inn & Suites Hermosillo Aeropuerto, sim=0.60) — steward whether duplicate, brand variant, or distinct property.",HMOAA,Holiday Inn & Suites Hermosillo Aeropuerto,0.6,0.6,70,medium,true,hermosillo,recbA5g3z85bXogXK,Holiday Inn & Suites Hermosillo Aeropuerto,https://www.ihg.com/holidayinn/hotels/us/en/hermosillo/hmoaa/hoteldetail
