censusRecordId,censusName,censusCountry,currentAffiliation,sourceTitle,propertyUrl,matchScore,matchReason,fields
recTVvWW1HdVOjn7y,Senda Monteverde Hotel,Costa Rica,Independent,Senda Monteverde Hotel,https://slh.com/hotels/senda-monteverde-hotel,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/senda-monteverde-hotel""}"
recpTVlvrd8Um8Ujx,Hacienda Pena Pobre,Mexico,Independent,Hacienda Pena Pobre,https://slh.com/hotels/hacienda-pena-pobre,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/hacienda-pena-pobre""}"
recGSYn6d9UaxfQRf,Hotel El Convento,Puerto Rico,Independent,Hotel El Convento,https://slh.com/hotels/hotel-el-convento,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/hotel-el-convento""}"
recm05yss6R0Rcaj5,La Valise Tulum,Mexico,Independent,La Valise Tulum,https://slh.com/hotels/la-valise-tulum,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/la-valise-tulum""}"
recWYSTGtVFaS37Pm,Yemaya Reefs,Nicaragua,Independent,Yemaya Reefs,https://slh.com/hotels/yemaya-reefs,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/yemaya-reefs""}"
recpgtZgnzktR5wZN,Villas Del Mar Condominiums,Mexico,Independent,Villas del Mar,https://slh.com/hotels/villas-del-mar,83,name_medium,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/villas-del-mar""}"
recQaiGPsCPwpc2o3,Coral Reef Club,Barbados,Independent,Coral Reef Club,https://slh.com/hotels/coral-reef-club,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/coral-reef-club""}"
rec0Jh4iG9oQDS3gb,Sumaq Machu Picchu Hotel,Peru,Independent,Sumaq Machu Picchu Hotel,https://slh.com/hotels/sumaq-machu-picchu-hotel,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/sumaq-machu-picchu-hotel""}"
recy8Neo5LK6Kklt3,The Inn At English Harbour,Antigua and Barbuda,Independent,The Inn at English Harbour,https://slh.com/hotels/the-inn-at-english-harbour,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/the-inn-at-english-harbour""}"
rec5ksGiGaMeWk0Jb,Bluefields Bay,Jamaica,Independent,Bluefields Bay Villas,https://slh.com/hotels/bluefields-bay-villas,83,name_medium,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/bluefields-bay-villas""}"
recZCMgsF4K8gkEpA,Villa Beluno Hotel,Argentina,Independent,Villa Beluno Hotel & Spa,https://slh.com/hotels/villa-beluno-hotel-and-spa,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/villa-beluno-hotel-and-spa""}"
recPRt4HHpvEwkaJl,Correntoso Lake & River Hotel,Argentina,Independent,Correntoso Lake & River Hotel,https://slh.com/hotels/correntoso-lake-river-hotel,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/correntoso-lake-river-hotel""}"
rec9Uurfy2XNmgSt2,La Coralina Island House,Panama,Independent,La Coralina Island House,https://slh.com/hotels/la-coralina-island-house,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/la-coralina-island-house""}"
recLDCWoVk5g2mKnc,Villa Maria Cristina,Mexico,Independent,Villa Maria Cristina,https://slh.com/hotels/villa-maria-cristina,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/villa-maria-cristina""}"
rec9qJkYBvNhGOYSf,The Sandpiper,Barbados,Independent,The Sandpiper,https://slh.com/hotels/the-sandpiper,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/the-sandpiper""}"
