bucket,recordId,strId,fieldsUpdated
DUPLICATE_WINNER,recpX5NEmP1MPEfZi,292925,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recfRLPirrE9YcnHM,197356,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recLLYXJvXFj8Ao6Y,210433,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec7E56QkEydvSPjC,233644,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recUXVugYoolhQDtT,109061,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recxkU6nYNWGnbD17,256988,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recWYEaasdglayvsS,258783,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,reczoXPiT2pCkpwYS,299573,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,reco5EaIRBdKEzhzC,251738,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recwryDg6KygTvQ58,277827,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec6aUiqKl87vRVXG,256150,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recx9i5munGZbC4ff,207488,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recH9LdZOvLQKm5hJ,108215,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recHHqHrvt2adT8V6,219978,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recDX8Zqkt2bDhkxN,263672,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recZUCo7AVnTGfDBC,283187,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recrdMS99JSZ4SiBr,296126,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recud2pfRXzYJBNOZ,137197,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recFsXj5d1l3VwxTz,318770,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recs5qOcsEj558qSb,285127,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recAqIScZSS3ODiLy,298094,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec9adCO3BVJGFmhA,130871,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recl2xSwLDLpc4fvZ,295879,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recooK5W2Gsbt6j4a,133154,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec3mCcR6wY38choQ,314123,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,reckg7BhrCmF5jBa4,296393,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recchbmgK8qZTKQz3,138560,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recGrBLi6XAVdRCeN,133879,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recNZ012fKHkUbg6m,133192,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rece0vHZWqfoHt9W5,232262,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recUzctNxOEGq5xvA,117593,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recBaQzP4Pu3BI0CO,138433,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recvz5s9ACN2qd5tj,255485,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recqyAf5fPBAGDIcM,307052,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recICmu7nrJ9QvEF6,111508,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,rectXaQojihLzf8IC,305553,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recshasLNFTUumMxJ,284526,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recz4rePhwtGzaTzr,297337,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rectWzfcFFPM2uFoW,305231,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recrxVdnHZPtrIgiJ,315274,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec30RgNl0ReqOtYx,300691,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recrvjqoiHq40FuSz,153909,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recNUFw9qoUv5ZrSh,133880,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recnOOi1m9szzaCZO,152459,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recA67gKUvYtD6L6K,108832,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recWWTTqtNsmLZkXN,235906,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec3rtunfUYAMlqTO,234084,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recJsnmRTSd51xKyO,154036,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec4fyhNXf6c62GCd,311173,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recbjOoqUzUwLis5L,260582,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recKGiydHobqDQXyH,108439,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recBHX1fen6yZdszr,108214,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recWyIzNZvFTXDMsl,108217,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recCHwBeh2uzTn8V3,207302,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recFSpyWo0vqPTe3T,172026,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,reckBwNA98I9apLLU,108375,Market; Submarket; city; country; name; Development Cost
NAME_CITY_COUNTRY,recvZLmhFh4pyzYu8,137271,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recvRsHC0E2P8zDFy,156358,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recnVD2wGlHcMsfRT,255179,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recyY8oNQ3e0UqYyS,108296,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rectNyTGKrNvntHcR,287095,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recQ2M8EQaH8a724b,284386,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recms9W0DEAqxGwFd,231772,Market; Submarket; city; country; name; Development Cost
