applyStatus,censusRecordId,censusName,directoryBrandPropertyCode,matchConfidence,appliedFieldCount
ok,rec9XJgqnvFHMYGLp,Hampton by Hilton Yopal,EYPYOHX,high,2
ok,rec1Ri5x70QWk214j,Hampton by Hilton Inn & Suites Aguascalientes,AGUHXHX,high,2
ok,recIIEmPEt8TEKnuP,Hampton Inn & Suites by Hilton Puebla,PBCHXHX,high,2
ok,recInxyXFObfxFmA2,Hampton by Hilton Inn & Suites Salamanca Bajio,QROSAHX,high,2
ok,recTNEARTDZMpglqw,Hampton Inn & Suites Mexico City - Centro Historico,MEXCHHX,high,2
ok,rec5ZeC5ePemI0ICJ,Hampton Inn & Suites San Juan,SJUHHHX,high,2
ok,rec6zMMmwLfjmlfEO,Hampton Inn By Hilton Celaya,CYWCMHX,high,2
ok,recjqOzoMxEjYNP2k,Hampton Inn Ciudad Victoria,CDJVCHX,high,1
ok,recofgevY6v7A3j3e,Hampton Inn by Hilton Guadalajara Airport,GDLHAHX,medium,1
ok,recL3oxie0vNdasoG,Hampton Inn by Hilton Guadalajara/Expo,GDLEXHX,high,2
ok,recRwIdA4l429nWnN,Hampton Inn Irapuato,BJXIRHX,medium,2
ok,recqW4g4LGNvnovrq,Hampton Inn by Hilton Leon Guanajuato,BJXLGHX,high,1
ok,recUfTgFSZ5sPh5PN,Hampton Inn by Hilton Queretaro Tecnologico,QROHTHX,high,2
ok,reckvgWP2CZlqOAf1,Hampton Inn San Juan Del Rio,QROSJHX,high,1
ok,rec0fJMjqu1N2aMyL,Hampton Inn by Hilton San Luis Potosi,SLPHXHX,high,2
ok,recL9yu9QiYlZPwMg,Hampton by Hilton Inn Silao-Aeropuerto Bajio,BJXSGHX,high,2
ok,recY4B8n5czlpTJuw,Hampton Inn by Hilton Tampico Aeropuerto,TAMHSHX,high,2
ok,rec8uWx53Dakcvi4g,Hampton Inn Tampico Zona Dorado,TAMZDHX,medium,2
ok,recwszIyvIDDuaFgC,Hampton Inn Zacatecas,ZCLHXHX,medium,1
ok,recysCtTLGnftfwni,Hilton Garden Inn Aguascalientes,AGUGIGI,high,1
ok,recj0s8y9XLlZTEXx,Hilton Garden Inn Asuncion Aviadores del Chaco,ASUPYGI,high,7
ok,rec638CLFce8kSs5U,Hilton Garden Inn Barranquilla,BAQACGI,high,2
ok,recZ85139KQRXwdmA,Hilton Garden Inn Belo Horizonte,BHZBRGI,high,2
ok,recq8Rg8upSJf92vL,Hilton Garden Inn Boca Del Rio Veracruz,VERBRGI,high,1
ok,recrQn2SaH08gIknY,Hilton Garden Inn Bogota Airport,BOGATGI,high,1
ok,recKuSgfGpKNKEo8N,Hilton Garden Inn Cali Ciudad Junction,CLOCCGI,high,2
ok,recbwfCdvb9eM7QXh,Hilton Garden Inn Cancun Airport,CUNROGI,high,2
ok,recJsK3w0b6dHSTXj,Hilton Garden Inn Chihuahua,CUUCMGI,high,2
ok,rec4aiFJ2Dr5F6Za7,Hilton Garden Inn Cusco,CUZGIGI,high,2
ok,reczeUpJMc6uiCfGw,Hilton Garden Inn Guadalajara Airport,GDLAPGI,high,1
ok,rec172h7kVbwOoUwD,Hilton Garden Inn Guanacaste Airport,SJOLAGI,high,2
ok,reck4i7JuuTqy8hPt,Hilton Garden Inn Guatemala City,GUAGCGI,high,2
ok,recbVuvzXs4Ql6eVS,Hilton Garden Inn Iquique,IQQCLGI,high,2
ok,recWYEaasdglayvsS,Hilton Garden Inn Itajai Praia Brava,NVTJSGI,high,2
ok,recZUCo7AVnTGfDBC,Hilton Garden Inn La Romana,LRMLMGI,high,2
ok,recvFI0CWUThIwUTS,Hilton Garden Inn Leon Poliforum,BJXADGI,high,1
ok,rec0ASKS5YOZBYYnc,Hilton Garden Inn Lima Miraflores,LIMLMGI,high,2
ok,reciEMhEl62tszmhZ,Hilton Garden Inn Lima Surco,LIMSSGI,high,3
ok,recmFSGlsmUfjjfVN,Hilton Garden Inn Maceio,MCZHGGI,high,1
ok,rec9XpDuhx43nBfaJ,Hilton Garden Inn Mexico City Santa Fe,SAFGIGI,high,2
ok,recP4HW9GeBifcrDu,Hilton Garden Inn Monterrey Airport,MTYAIGI,high,2
ok,recuWLICx9WtOrSvh,Hilton Garden Inn Monterrey Obispado,MTYGIGI,high,1
ok,recnScFPB3hSmdxjR,Hilton Garden Inn Montevideo,MVDMVGI,high,1
ok,recACse1lXEo5YfOm,Hilton Garden Inn Neuquen,NQNGIGI,high,2
ok,rec3SDNEVxMCJaBpG,Hilton Garden Inn Panama City Downtown,PTYDNGI,high,2
ok,recONWBAFUADzHmFz,Hilton Garden Inn Pereira,PEIPAGI,high,4
ok,reczdjyhPCOlyIHgw,Hilton Garden Inn Puebla Angelopolis,PBCGIGI,high,1
ok,rec0CaettSIncDMg7,Hilton Garden Inn Queretaro,QROPIGI,high,2
ok,recO8UEivz9QgCKwd,Hilton Garden Inn Salamanca,BJXSAGI,high,2
ok,recxEvJftgktdI6oE,Hilton Garden Inn Salta,SLACKGI,medium,7
ok,recmnQNMFWsCvLlxc,Hilton Garden Inn San Jose Airport City Mall,SJOACGI,high,6
ok,recn8YF4gllYW9ijZ,Hilton Garden Inn San Jose La Sabana,SJOLSGI,high,1
ok,recoCJxA2Qem4vxnX,Hilton Garden Inn San Juan Condado,SJUSJGI,high,8
ok,recVkD7AvbN5HFiep,Hilton Garden Inn Santa Ana San Jose,SJOGSGI,high,2
ok,recxwqV4cQPaaT3T0,Hilton Garden Inn Santa Marta,SMRGIGI,high,1
ok,reci3EBLJU1VCdyvA,Hilton Garden Inn Santiago Airport,SCLGIGI,high,2
ok,rec0MLxIzT3tmzOCH,Hilton Garden Inn Santiago del Estero,SDEGIGI,high,2
ok,recNP4X6l4mQKq3SU,Hilton Garden Inn Santo Andre,CGHGIGI,high,2
ok,recJrtBtBMqaECXdL,Hilton Garden Inn Sao Jose do Rio Preto,SAODLGI,high,9
ok,recHyaG9te4fPpluU,Hilton Garden Inn Sao Paulo Reboucas,SAOURGI,high,2
ok,recaVvZSMGbd1rHpU,Hilton Garden Inn Silao Aeropuerto Bajio,BJXBAGI,high,2
ok,recOIDGuz5GkN50j1,Hilton Garden Inn Tucuman,TUCGIGI,high,2
ok,recW6b1Ka8EAtiFkt,Hilton Garden Inn Tuxtla Gutierrez,TGZGIGI,high,2
ok,recXcBj5m93CwTjvc,Hilton Garden Inn Uruapan,UPNMTGI,high,8
ok,rec3vrNUkunH7SNJE,Hilton Vacation Club Royal Palm St. Maarten,SXMROGV,high,4
ok,recgIjT7jiohm6Qgm,Caribe Hilton,SJNHIHH,high,2
ok,recA6svG5ZZVX8E2C,Hilton Aruba Caribbean Resort & Casino,AUAHHHH,high,10
ok,recAh0HQ4Sbdcv7o8,Hilton Barbados Resort,BGIHIHH,high,2
ok,recMoTgleA4ooYcJa,Hilton Barra Rio De Janeiro,RIOABHH,high,2
ok,rec3NhNLYI09P1AQp,Hilton Bogota,BOGBCHH,high,2
ok,rec9VcZKSpVYy4oNl,Hilton Bogota Corferias Convention Center,BOGCCHH,high,2
ok,rec4GHCdHmpcC79jZ,Hilton Buenos Aires,BUEHIHH,high,2
ok,recHZPjQu2cQgmpcH,Hilton Cancun Mar Caribe All-Inclusive Resort,CUNMCHH,high,2
ok,recZ0XRAtXv7Qy11w,Hilton Cartagena,CTGHIHH,high,2
ok,reckMQcc7aIuXXn2B,Hilton Colon Guayaquil,GYEHIHF,high,1
ok,rec96plFVfoYeneLz,Hilton Colon Quito,QUIHIHF,high,2
ok,recpRSWB5yXwXdyHG,Hilton Guadalajara Midtown,GDLGMHH,high,1
ok,rec6DU7Vnnwe4o2Dg,Hilton Guatemala City,GUALLHH,high,3
ok,recCkYA0ekcf5em5y,Hilton Lima Miraflores,LIMMFHH,high,3
ok,rec9Al5t6gO9kVHCs,Hilton Los Cabos,SJDLCHH,high,2
ok,recL5AUBNnGkFGgrM,Hilton Mendoza,MDZARHH,high,2
ok,rec5SGZRRc8oxXlA4,Hilton Mexico City Airport,MEXAHHF,high,2
ok,recG73uBQmLiKArxc,Hilton Mexico City Reforma,MEXRFHH,high,2
ok,recLzQMo7RhA0u1gJ,Hilton Mexico City Santa Fe,MEXSAHH,high,2
ok,recmeTWJ5zeyfgxx5,Hilton Monterrey,MTYVOHH,high,8
ok,recv0t7j79fnXdXlR,Hilton Panama,PTYHFHH,high,1
ok,recU3UNBEZPtrETuz,Hilton Pilar,BUEPIHH,high,2
ok,recEmM5TdgFEuwdSz,Hilton Ponce Golf & Casino Resort,PNCHIHH,high,2
ok,recchfm6iGfZQvmTV,Hilton Porto Alegre,POAOBHH,high,2
ok,rec9k2MAtZgYtOVwr,Hilton Princess Managua Hotel,MGAHFHF,high,2
ok,recW4v8SI56tuzgTZ,Hilton Princess San Pedro Sula,SAPHFHF,high,2
ok,rece70okrjADMQLlJ,Hilton Queretaro,QROJSHH,high,2
ok,recjJtNESmG0lxTdu,Hilton Rio de Janeiro Copacabana,RIOCCHH,high,1
ok,rec2V2gwJBUAKxHNl,Hilton San Jose La Sabana,SJONAHH,high,2
ok,reck3mcnNoBHtzN83,Hilton San Luis Potosi,SLPHHHH,high,1
ok,recT6BHrfZMM7g5f9,Hilton San Salvador,SALSAHH,high,3
ok,recI0ph2ROBhNtbNI,Hilton Santa Marta,SMRCNHH,high,2
ok,reckRoTLLalQbN4Dt,Hilton Sao Paulo Morumbi,SAOMOHH,high,1
ok,recp3BuHUFzFeCNd5,Hilton Trinidad & Conference Centre,POSHIHH,high,1
ok,recz39d2LktlKidzz,Hilton Tulum Riviera Maya All-Inclusive,CUNHIHH,high,1
ok,rectQ1CDJUMv5xNJ9,Hilton Vallarta Riviera All Inclusive Resort,PVRPAHH,medium,1
ok,recA5iV9LnMwc7WKq,The Condado Plaza Hotel,SJUCOHH,high,2
ok,recBHX1fen6yZdszr,Hilton Aruba Caribbean Resort & Casino,AUATTHH,medium,2
ok,recvd2hgI3OySeBWW,Homewood Suites by Hilton Cariari San Jose,SJOHEHW,high,5
ok,recD4imobkpgspDzi,Homewood Suites by Hilton Monterrey Apodaca,MTYMEHW,high,2
ok,recJjQfZSf8IAso1A,Homewood Suites by Hilton Queretaro,QROHWHW,high,2
ok,recd2KmrvpM1S5Amv,Homewood Suites by Hilton Saltillo,SLWSMHW,high,9
ok,recEztRKzrUapK4sZ,Homewood Suites by Hilton San Juan City Center,SJAJCHW,high,5
ok,reciBq33l2r5v3dTG,Homewood Suites by Hilton Santo Domingo,SDQHWHW,high,2
ok,recogOWwY4RqoMW7u,LXR Hotels & Resorts Zemi Beach House,AXAZBOL,high,1
ok,recYNB1AtH9Ebd641,Motto by Hilton Cusco,CUZINUA,high,8
ok,rec00NJhff5GN3n23,Motto by Hilton Guadalajara Centro Historico,GDLCHUA,high,7
ok,recPJzIUz9kHwEnsA,Motto by Hilton Recife Antigo,RECECUA,high,8
ok,rec34iQ7sh5NarWcu,Motto by Hilton Tulum,CZMTUUA,high,2
skipped_low_confidence,recISiWotp1bPKI4G,Albor San Miguel de Allende Tapestry Collection by Hilton,BJXUPUP,low,2
ok,recYKdA0XOm6RpkLs,Almenat Embu das Artes Sao Paulo Tapestry Collection by Hilton,CGHEMUP,medium,2
ok,recjoG2WljFKbuh26,Condado Palm Inn San Juan Tapestry Collection by Hilton,SJUCDUP,high,1
ok,rec57iPzFuI4WlxX4,MM Grand Hotel Puebla Tapestry Collection by Hilton,PBCMMUP,high,2
skipped_low_confidence,recK05OT2w10IJNpK,"Heredia Stadium Hotel, Tapestry Collection by Hilton",SYQMHUP,low,7
ok,recYrcf8HpJcNOqki,Ola Santiago Providencia Tapestry Collection by Hilton,SCLPVUP,high,2
ok,recDX8Zqkt2bDhkxN,ROK Hotel Kingston Tapestry Collection,KINOCUP,medium,3
ok,recn6Dia9FIlxvFKl,The Yucatan Playa del Carmen Tapestry Collection by Hilton,CZMPDUP,high,1
ok,recHf518OTVZAsLx8,Yoo2 Rio De Janeiro Tapestry Collection by Hilton,RIOTAUP,high,3
ok,recUCjevWreNAb1eW,Tru by Hilton Cali Sur,CLOUDRU,high,5
ok,rec8pDY7m9kotAqTp,Tru by Hilton Chapeco,XAPSCRU,high,7
ok,recOF9wBjNxmp2cLY,Tru by Hilton Chillan Ferrat,YAILLRU,high,7
ok,reccrgIzgwN619CSv,Tru Ciudad Valles,SLPCVRU,medium,6
ok,recTwfH8I5m042F7j,Tru by Hilton Criciuma,CCMSCRU,high,2
ok,recEtTKeEL8H8nChR,Tru by Hilton Palmerola Airport Comayaua,XPLAPRU,medium,5
ok,recKkdhP9oGovUSZP,Tru by Hilton Mexico City Airport,MEXPERU,high,6
ok,recv7oiw7f6fX8SOj,Tru by Hilton Monterrey Fundidora,MTYMARU,high,1
ok,rec1YhkKq136V8ylI,Tru by Hilton Puebla Angelopolis,PBCAGRU,high,7
ok,recgr76Mtrt0ocudg,Waldorf Astoria Los Cabos Pedregal,SJDWAWA,high,2
ok,recCiXwlYCRqfwQQ9,Waldorf Astoria Panama,PTYTPWA,high,2
skipped_low_confidence,recxriaGzhdw0HAyb,Waldorf Astoria Cancun,CUNWAWA,low,1
