baseLabel,baseId,tableName,tableId,recordCount,countExact,countMethod,countFieldUsed,protectedTable,safeCleanupCandidate,cleanupHint,error
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,12,yes,paginated_select_minimal_fields,company_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Operator Setup - Platform & Markets,tblJ9uTS6vzCZ5248,12,yes,paginated_select_minimal_fields,company_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Contacts,tbl2Flfkd3H88jHVG,11,yes,paginated_select_minimal_fields,first_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,TemplatePacks,tblWZZvKLq3LdP9FH,10,yes,paginated_select_minimal_fields,pack_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Threads,tblSrpSCP80oUz3fH,10,yes,paginated_select_minimal_fields,thread_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Companies,tblDg1SWTCbkJdufh,9,yes,paginated_select_minimal_fields,company_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Communication Log,tblPiRt02uLBr4Fa3,7,yes,paginated_select_minimal_fields,Communication_Label,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,FDD Documents,tblxy5ts9bXw2xQHV,7,yes,paginated_select_minimal_fields,Brand Name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Hotel Ownership,tbl7KyDvKlwfDumE6,4,yes,paginated_select_minimal_fields,User_Webflow_ID,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Workspaces,tblqR6tgpXeplhgZb,4,yes,paginated_select_minimal_fields,workspace_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Sequences,tblk8UPw9rcuXwXrb,4,yes,paginated_select_minimal_fields,sequence_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Users_Outreach,tblWQzyEEaie228kM,3,yes,paginated_select_minimal_fields,full_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,PlanTargets,tblrGKgJXKOe029Zq,3,yes,paginated_select_minimal_fields,target_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Activities,tblZ1h8nmmEcewbpu,3,yes,paginated_select_minimal_fields,activity_label,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Approvals,tbl39ggfpo5Y9LkNK,3,yes,paginated_select_minimal_fields,approval_label,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Permissions,tbl6QQiUmBzzYnI5t,3,yes,paginated_select_minimal_fields,permission_label,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,FollowupSuggestions,tblOIoEfvBe129ILK,3,yes,paginated_select_minimal_fields,suggestion_label,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,AuditLog,tblDprgixQPUuCMlr,3,yes,paginated_select_minimal_fields,audit_label,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,ResponsivenessInteractions,tblQDyekW6iMZ7yED,3,yes,paginated_select_minimal_fields,interaction_label,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,ResponsivenessScores,tblbjNLPaomITS14L,3,yes,paginated_select_minimal_fields,entity_label,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,UserAlertStatus,tblkDFdCwPnIlg1lq,3,yes,paginated_select_minimal_fields,User ID,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Franchise Applications,tblrVrFjppZwtBV4T,3,yes,paginated_select_minimal_fields,Name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,OutreachPlans,tbl6ZtsJ5fjyFYCqi,2,yes,paginated_select_minimal_fields,plan_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Outreach Setup,tblpVQAVCY5i1L4jz,1,yes,paginated_select_minimal_fields,User_Webflow_ID,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Brand Deal Preferences,tblvQakNRBoW33Wb4,1,yes,paginated_select_minimal_fields,Preference_ID,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Deal Room Documents,tblq0hmhY1HPYqBRY,1,yes,paginated_select_minimal_fields,Document Name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Brand Explorer Favorites,tbljrffIIQvdSLhK2,1,yes,paginated_select_minimal_fields,Name,no,no,,
