sourceRecordId,rawHotelName,rawCity,rawCountry,rawBrand,rawWebsite,qualityScore,qualityTier,missingFields,route,reason,matchedBrand,matchedFamily,independentLaneEligible,censusMatchConfidence,censusRecommendedAction,matchedCensusName,signalKinds
way/932606727,Rancho Wendy,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/975017774,Viva Wyndham V Samana,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Wyndham,Wyndham,false,none,likely_new_candidate,,known_chain_name
way/984765914,El Pulpo,,Dominican Republic,,https://bayahibehotelelpul.wixsite.com/hotelelpulpo,80,high,missingCity,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/990444153,Luiggi Hostel,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1006947117,Hotel Art Villa Dominicana,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1028688029,Apartahotel Costa Love,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1040966966,Hodelpa Garden Suites Golf & Convention Center,,Dominican Republic,,https://www.hodelpa.com/en/garden-suites,80,high,missingCity,route_known_chain_not_active,known_chain_name,Hodelpa,Hodelpa,false,high,likely_existing,Hodelpa Garden Suites Golf & Convention Center,known_chain_name
way/1042852813,Whala Bayahibe 4*,Dominicus,Dominican Republic,,,75,high,missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1059114266,Be Live,,Dominican Republic,Be Live,,65,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Be Live,Be Live,false,none,likely_new_candidate,,osm_brand_tag_unresolved|known_chain_name
way/1059703258,Be Live Collection,,Dominican Republic,Be Live Collection,,65,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Be Live,Be Live,false,none,likely_new_candidate,,osm_brand_tag_unresolved|known_chain_name
way/1059703293,Be Live Collection,,Dominican Republic,Be Live Collection,,65,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Be Live,Be Live,false,none,likely_new_candidate,,osm_brand_tag_unresolved|known_chain_name
way/1059737733,Be Live Collection,,Dominican Republic,Be Live Collection,,65,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Be Live,Be Live,false,none,likely_new_candidate,,osm_brand_tag_unresolved|known_chain_name
way/1059869803,Be Live Collection,,Dominican Republic,Be Live Collection,,65,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Be Live,Be Live,false,none,likely_new_candidate,,osm_brand_tag_unresolved|known_chain_name
