timestamp,route_or_page,operator_record_id,field_or_concept,canonical_key_expected,key_actually_used,fallback_used,unresolved,source_layer,user_facing_output_affected,recommended_action,raw_scope
2026-06-02T11:29:24.516Z,operator_explorer_detail_prefill,recq3NiRxOerg4kZU,chainScalesSupported,chainScalesSupported,chainScalesSupported,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:24.516Z,operator_explorer_detail_prefill,recq3NiRxOerg4kZU,activeCountries,activeCountries,activeCountries,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:24.516Z,operator_explorer_detail_prefill,recq3NiRxOerg4kZU,activeMarkets,activeMarkets,activeMarkets,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:24.516Z,operator_explorer_detail_prefill,recq3NiRxOerg4kZU,specificMarkets,specificMarkets,specificMarkets,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:30.670Z,direct_read_prefill,recq3NiRxOerg4kZU,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:30.670Z,direct_read_prefill,recq3NiRxOerg4kZU,serviceModelsSupported,serviceModelsSupported,serviceModelsSupported,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:30.670Z,direct_read_prefill,recq3NiRxOerg4kZU,chainScalesSupported,chainScalesSupported,chainScalesSupported,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:30.670Z,direct_read_prefill,recq3NiRxOerg4kZU,activeCountries,activeCountries,activeCountries,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:30.670Z,direct_read_prefill,recq3NiRxOerg4kZU,activeMarkets,activeMarkets,activeMarkets,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:30.670Z,direct_read_prefill,recq3NiRxOerg4kZU,specificMarkets,specificMarkets,specificMarkets,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:37.928Z,operator_explorer_detail_prefill,rec0l0XFLG3pKTtu4,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:44.192Z,direct_read_prefill,rec0l0XFLG3pKTtu4,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:51.520Z,operator_explorer_detail_prefill,recfQ1w5OR0a5Digr,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:51.520Z,operator_explorer_detail_prefill,recfQ1w5OR0a5Digr,serviceModelsSupported,serviceModelsSupported,primaryServiceModel,true,false,inferred_explorer_read,maybe,batch_3c_fix,explorer_read_key_resolution_inferred
2026-06-02T11:29:57.967Z,direct_read_prefill,recfQ1w5OR0a5Digr,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:57.967Z,direct_read_prefill,recfQ1w5OR0a5Digr,serviceModelsSupported,serviceModelsSupported,primaryServiceModel,true,false,inferred_explorer_read,maybe,batch_3c_fix,explorer_read_key_resolution_inferred
2026-06-02T11:30:05.572Z,operator_explorer_detail_prefill,recyHakOliyjuJGKT,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:30:05.572Z,operator_explorer_detail_prefill,recyHakOliyjuJGKT,serviceModelsSupported,serviceModelsSupported,primaryServiceModel,true,false,inferred_explorer_read,maybe,batch_3c_fix,explorer_read_key_resolution_inferred
2026-06-02T11:30:11.967Z,direct_read_prefill,recyHakOliyjuJGKT,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:30:11.967Z,direct_read_prefill,recyHakOliyjuJGKT,serviceModelsSupported,serviceModelsSupported,primaryServiceModel,true,false,inferred_explorer_read,maybe,batch_3c_fix,explorer_read_key_resolution_inferred
2026-06-02T11:30:19.446Z,operator_explorer_detail_prefill,recWynAfAXb6aznyb,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:30:19.446Z,operator_explorer_detail_prefill,recWynAfAXb6aznyb,serviceModelsSupported,serviceModelsSupported,primaryServiceModel,true,false,inferred_explorer_read,maybe,batch_3c_fix,explorer_read_key_resolution_inferred
2026-06-02T11:30:25.502Z,direct_read_prefill,recWynAfAXb6aznyb,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:30:25.502Z,direct_read_prefill,recWynAfAXb6aznyb,serviceModelsSupported,serviceModelsSupported,primaryServiceModel,true,false,inferred_explorer_read,maybe,batch_3c_fix,explorer_read_key_resolution_inferred
2026-06-02T11:30:33.435Z,operator_explorer_detail_prefill,rectBocAs5gVyKD7c,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:30:39.711Z,direct_read_prefill,rectBocAs5gVyKD7c,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:30:46.847Z,operator_explorer_detail_prefill,recPIkCoZi9FRs8h5,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:30:46.847Z,operator_explorer_detail_prefill,recPIkCoZi9FRs8h5,serviceModelsSupported,serviceModelsSupported,primaryServiceModel,true,false,inferred_explorer_read,maybe,batch_3c_fix,explorer_read_key_resolution_inferred
2026-06-02T11:30:53.196Z,direct_read_prefill,recPIkCoZi9FRs8h5,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:30:53.196Z,direct_read_prefill,recPIkCoZi9FRs8h5,serviceModelsSupported,serviceModelsSupported,primaryServiceModel,true,false,inferred_explorer_read,maybe,batch_3c_fix,explorer_read_key_resolution_inferred
2026-06-02T11:31:00.974Z,operator_explorer_detail_prefill,recP78Z4fiObIhmCM,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:31:00.974Z,operator_explorer_detail_prefill,recP78Z4fiObIhmCM,serviceModelsSupported,serviceModelsSupported,primaryServiceModel,true,false,inferred_explorer_read,maybe,batch_3c_fix,explorer_read_key_resolution_inferred
2026-06-02T11:31:07.119Z,direct_read_prefill,recP78Z4fiObIhmCM,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:31:07.119Z,direct_read_prefill,recP78Z4fiObIhmCM,serviceModelsSupported,serviceModelsSupported,primaryServiceModel,true,false,inferred_explorer_read,maybe,batch_3c_fix,explorer_read_key_resolution_inferred
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,activeCountries,activeCountries,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
