company,hqCity,hqCountry,calaHotels,calaPropertyCount,calaCountriesSummary,matchedOwnerName,matchType
Ocean Gate Hospitality,Pharr,United States,unknown,,,,none
Oceanic Companies,San Diego,United States,unknown,,,,none
Oceanside Resorts,Miami Beach,United States,unknown,,,,none
Oikos Hotels S.L.,Madrid,Spain,unknown,,,,none
"Okura Nikko Hotel Management Co.,Ltd.",,Japan,unknown,,,,none
Olav Thon Group,,Norway,unknown,,,,none
Oliver Companies,Duluth,United States,unknown,,,,none
Omega Hotel Group,Madison,United States,unknown,,,,none
Omni Hotels & Resorts,Dallas,United States,unknown,,,,none
OmShera Holdings,Charlotte,United States,unknown,,,,none
Ona Grup Vacations,,Spain,unknown,,,,none
One Shot Hotels,Madrid,Spain,unknown,,,,none
Onix Group,Kennett Square,United States,unknown,,,,none
"Onvo, Inc.",Scranton,United States,unknown,,,,none
Onyx Hospitality,Boca Raton,United States,unknown,,,,none
Opal Hotels Group,Raleigh,United States,unknown,,,,none
Optylon Krea,Lisboa,Portugal,unknown,,,,none
Oscars Group,,Australia,unknown,,,,none
OTO Development,Spartanburg,United States,unknown,,,,none
Otter Hospitality,Monterey,United States,unknown,,,,none
OUTRIGGER Hospitality Group,Honolulu,United States,unknown,,,,none
"Oxford Capital Group, LLC",Chicago,United States,unknown,,,,none
Oxford Collection,Bend,United States,unknown,,,,none
P.R. Hotels Ltd,Saskatoon,Canada,unknown,,,,none
Pacific Hospitality Group,Irvine,United States,unknown,,,,none
Palm Holdings,Toronto,Canada,unknown,,,,none
Pan Pacific Marketing Services Pte. Ltd,Singapore,Singapore,unknown,,,,none
Pandox AB (publ),Stockholm,Sweden,unknown,,,,none
Panoram Hotel Management,Madrid,Spain,unknown,,,,none
Panoramic Universal Ltd.,,India,unknown,,,,none
Paradigm Hotels Group,South San Francisco,United States,unknown,,,,none
Paragon Hotel Company,Anderson,United States,unknown,,,,none
Param Hotel Group,Portland,United States,unknown,,,,none
Paramount Hospitality Management,Atlanta,United States,unknown,,,,none
Parc Hotels & Resorts,,Italy,unknown,,,,none
Parklane Group,Leeds,United Kingdom,unknown,,,,none
Partouche Hotels,,France,unknown,,,,none
Patel Capital Groups,Houston,United States,unknown,,,,none
Patriot Hospitality,Irving,United States,unknown,,,,none
PDK Hotels Group,Portland,United States,unknown,,,,none
Peachtree Group,Atlanta,United States,unknown,,,,none
Peermont Global,,South Africa,unknown,,,,none
PEG Companies,Provo,United States,unknown,,,,none
Pegasus Hospitality Group,Corpus Christi,United States,unknown,,,,none
"PENN Entertainment, Inc.",Wyomissing,United States,unknown,,,,none
Peregrine Hospitality,Denver,United States,unknown,,,,none
Petit Palace Hotelity,Madrid,Spain,unknown,,,,none
Pezold Management Group,Columbus,United States,unknown,,,,none
PHI Hotel Group,Surrey,Canada,unknown,,,,none
Phoenix American Hospitality,Dallas,United States,unknown,,,,none
Pinnacle Hospitality Group,Westville,United States,unknown,,,,none
Pinnacle Hospitality Inc.,Farmington Hills,United States,unknown,,,,none
Pinnacle Partnership,Roebuck,United States,unknown,,,,none
Plamondon Hospitality Partners,Frederick,United States,unknown,,,,none
Planetaria Hotels,,Italy,unknown,,,,none
Plava Laguna,,Croatia,unknown,,,,none
PLAZA Hotelgroup GmbH,Heilbronn,Germany,unknown,,,,none
Plaza Premium Lounge Management Limited,Hong Kong,China,unknown,,,,none
PM Hotel Group,Chevy Chase,United States,unknown,,,,none
Poarch Band Of Creek Indians,Atmore,United States,unknown,,,,none
Poblado Hoteles S.A.,Medellin,Colombia,unknown,,,,none
"Polaris Holdings Co., Ltd.",,Japan,unknown,,,,none
Polski Holding Hotelowy Sp. z o.o.,,Poland,unknown,,,,none
Pomeroy Inn & Suites Inc.,Calgary,Canada,unknown,,,,none
"Portsmouth Corporate Financial Services, Inc.",Portsmouth,United States,unknown,,,,none
Postcode Hospitality S.L.,Madrid,Spain,unknown,,,,none
PPHE Hotel Group,Amsterdam,Netherlands,unknown,,,,none
Pravin Patel,Lake City,United States,unknown,,,,none
Precis Advisory,London,United Kingdom,unknown,,,,none
Preeminent Hotels,Houston,United States,unknown,,,,none
Premier Hospitality,Albuquerque,United States,unknown,,,,none
"Premier Hospitality Management, Inc.",Durant,United States,unknown,,,,none
Premier Hotel Management Inc,Cerritos,United States,unknown,,,,none
Premier Hotels & Resorts (Pty) Ltd,,South Africa,unknown,,,,none
Premier Resorts And Management Inc.,Ormond Beach,United States,unknown,,,,none
Prendiville Enterprises Pty Ltd,,Australia,unknown,,,,none
Prestige Hotels & Resorts,Kelowna,Canada,unknown,,,,none
PRG Investment and Management,Santa Monica,United States,unknown,,,,none
"Pride Management, Inc.",Beaumont,United States,unknown,,,,none
Prima Hotels and Tourism Israel 1977 LTD,Tel Aviv,Israel,unknown,,,,none
Prime Development LLC,Ringgold,United States,unknown,,,,none
Prime Group Australasia,,Australia,unknown,,,,none
Privathotels Dr. Lohbeck GmbH CO. KG,Schwelm,Germany,unknown,,,,none
"Pro Hospitality Group, LLC",Phoenix,United States,unknown,,,,none
Proark,København Ø,Denmark,unknown,,,,none
Procaccianti Companies,Cranston,United States,unknown,,,,none
Promise Hotels,Tulsa,United States,unknown,,,,none
Promociones Turisticas Sociales S.L.,Madrid,Spain,unknown,,,,none
Prosper Hospitality,Irving,United States,unknown,,,,none
Prospera Hotels,Orange,United States,unknown,,,,none
"Puri Group of Enterprises, Inc",Jefferson City,United States,unknown,,,,none
Puro Hotels,,Poland,unknown,,,,none
Pytloun Hotels Services s.r.o,,Czech Republic,unknown,,,,none
Q Hotel Management,La Place,United States,unknown,,,,none
Quadrum,New York,United States,unknown,,,,none
Qubus Hotel Management Sp. z o.o.,,Poland,unknown,,,,none
Radiate Hospitality,Palo Alto,United States,unknown,,,,none
Rafael Hoteles Limited,Madrid,Spain,unknown,,,,none
Raines,Florence,United States,unknown,,,,none
Rainmaker Hospitality,Lexington,United States,unknown,,,,none
Rainwater & Cox Inc.,Jonesboro,United States,unknown,,,,none
Rajeshkumar Patel,Sumter,United States,unknown,,,,none
Rajscape Hotels Pvt. Ltd.,New Delhi,India,unknown,,,,none
Rakesh Patel,Spring Lake,United States,unknown,,,,none
Rakesh Patel,Corpus Christi,United States,unknown,,,,none
RAM Hotels,Columbus,United States,unknown,,,,none
RAM Hotels (TX),Amarillo,United States,unknown,,,,none
Rama Tika Management LLC,Mansfield,United States,unknown,,,,none
Ramee Group of Hotels,,India,unknown,,,,none
"RAMM Hospitality, Inc.",Bakersfield,United States,unknown,,,,none
Ratan Hotel Group,North Bergen,United States,unknown,,,,none
Ravin Ahir,Tustin,United States,unknown,,,,none
Raymond Management Company,Madison,United States,unknown,,,,none
Rebound Partners,Northfield,United States,unknown,,,,none
Red Carnation Hotels,London,United Kingdom,unknown,,,,none
Red Planet Hotels Philippines Services,,Philippines,unknown,,,,none
Redcat Pub Company Limited,London,United Kingdom,unknown,,,,none
Reddy Hotels,Orlando,United States,unknown,,,,none
Redhill Hospitality,Queanbeyan,Australia,unknown,,,,none
Reflections Holiday Parks,,Australia,unknown,,,,none
Regal Hotels International Limited,Hong Kong,China,unknown,,,,none
Regency Hotels,Bogota,Colombia,unknown,,,,none
Regenta Hotels Private Limited,,India,unknown,,,,none
Relianse Global,McKinney,United States,unknown,,,,none
Resol Hotel & Resort,,Japan,unknown,,,,none
Resthotel S.L,Benidorm,Spain,unknown,,,,none
Revo Hospitality Group,Berlin,Germany,unknown,,,,none
RevPAR Companies,Durham,United States,unknown,,,,none
RGB Hospitality,Rockport,United States,unknown,,,,none
Rigby Group PLC,Stratford Upon Avon,United Kingdom,unknown,,,,none
Riley Hotel Group,Medina,United States,unknown,,,,none
Rina Group,,Romania,unknown,,,,none
RiverBrook Equities,New York,United States,unknown,,,,none
RK Investors,Charlotte,United States,unknown,,,,none
Roadchef Holdings,Norton Canes,United Kingdom,unknown,,,,none
Robert Bigelow,North Las Vegas,United States,unknown,,,,none
Robert Finvarb Companies,Aventura,United States,unknown,,,,none
Robinsons Land Corporation,,Philippines,unknown,,,,none
Rocco Forte & Family (Hotel Management) Limited,London,United Kingdom,unknown,,,,none
Rockbridge,Columbus,United States,unknown,,,,none
Roedel Companies,Wilton,United States,unknown,,,,none
ROHM Group,Marietta,United States,unknown,,,,none
Rolling Hills Hospitality,Cincinnati,United States,unknown,,,,none
Rong Hotels and Resorts,Beijing,China,unknown,,,,none
Room00 Hotels& Hostels,Madrid,Spain,unknown,,,,none
"Royal Holdings Co., Ltd.",,Japan,unknown,,,,none
Royal Property Group,Colombia,Colombia,unknown,,,,none
Ruby GmbH,Munich,Germany,unknown,,,,none
Ruby Red Hospitality,South Padre Island,United States,unknown,,,,none
Rudra Management,Cheektowaga,United States,unknown,,,,none
Ruffin Companies,Wichita,United States,unknown,,,,none
RZH Hotel Group,Kamloops,Canada,unknown,,,,none
S & P Hotels,Fredericksburg,United States,unknown,,,,none
S G Maderera de Vilares S.L,Madrid,Spain,unknown,,,,none
S Hotels and Resorts Public Company Limited,Bangkok,Thailand,unknown,,,,none
Sadique Maredia,Sugar Land,United States,unknown,,,,none
Safe Harbor Development/Go Outdoors Hospitality,Knoxville,United States,unknown,,,,none
Safestay PLC,London,United Kingdom,unknown,,,,none
"Sagemont Hotels, LLC",Anaheim Hills,United States,unknown,,,,none
Saigontourist Group,,Vietnam,unknown,,,,none
Salter Brothers,Sydney,Australia,unknown,,,,none
"Samty Holdings Co.,Ltd.",Osaka,Japan,unknown,,,,none
Samuel Smith Brewery,Tadcaster,United Kingdom,unknown,,,,none
"Sand Companies, Inc.",Waite Park,United States,unknown,,,,none
Sandip N. Patel,Granger,United States,unknown,,,,none
Sandpiper Hospitality,Richmond,United States,unknown,,,,none
Saraf Hotel Enterprises,Mumbai,India,unknown,,,,none
Sarova Hotels Ltd,London,United Kingdom,unknown,,,,none
Sava Holdings LTD,Irving,United States,unknown,,,,none
Sava Turizem d.d.,,Slovenia,unknown,,,,none
Sayaji Hotels Ltd.,,India,unknown,,,,none
SBM Hospitality,Sioux Falls,United States,unknown,,,,none
"Sc hotel Investment and Management Group Co., Ltd",,China,unknown,,,,none
Scarlet and Gray Hospitality,Dayton,United States,unknown,,,,none
Scarlett Hotel Group,Deerfield,United States,unknown,,,,none
Scenic Capital,Austin,United States,unknown,,,,none
Scenic Hotel Group,,New Zealand,unknown,,,,none
Schörghuber Stiftung & Co. Holding KG,Munich,Germany,unknown,,,,none
SCIH Hotels,,France,unknown,,,,none
Scott Enterprises,Erie,United States,unknown,,,,none
Seaside Hotels Management GmbH,,Germany,unknown,,,,none
Seaway Hotels Corporation,Coral Gables,United States,unknown,,,,none
Seetel Hotel GmbH & Co. Betriebs-KG Managementgese,,Germany,unknown,,,,none
Seibu Holdings Inc.,Toshima-Ku,Japan,unknown,,,,none
Seminole Tribe of Florida,Hollywood,United States,unknown,,,,none
Sequoia Development,Sandy,United States,unknown,,,,none
SERENATA Hotels & Resorts Group,Bangkok,Thailand,unknown,,,,none
Serene Hotels,Oklahoma City,United States,unknown,,,,none
Serenity Hospitality,Mount Pleasant,United States,unknown,,,,none
"Sethi Management, Inc.",Carlsbad,United States,unknown,,,,none
"Shamin Hotels, Inc.",Richmond,United States,unknown,,,,none
Shandong Culture and Tourism Hotels Group,Jinan,China,unknown,,,,none
"Shandong Inzone Grace Inn Co., Ltd.",,China,unknown,,,,none
"Shandong Lanhai Hotel Management Co., Ltd.",,China,unknown,,,,none
Shaner Hotel Group,State College,United States,unknown,,,,none
"Shanghai Powerlong Yijing Hotel Management Co., Lt",,China,unknown,,,,none
Shangri-La Group,Hong Kong,China,unknown,,,,none
Shenzhen China Merchants Aden,,China,unknown,,,,none
Shenzhen Grand Skylight Hotel Management Co.Ltd.,Shenzhen,China,unknown,,,,none
Shepherd Neame,Faversham,United Kingdom,unknown,,,,none
SHG Hotels,Bogota,Colombia,unknown,,,,none
"Shilla HM Co., Ltd",Seoul,"Korea, Republic of (South)",unknown,,,,none
Shilla Hotel,Seoul,"Korea, Republic of (South)",unknown,,,,none
Shimao Group Holdings Ltd,,Hong Kong,unknown,,,,none
Shinsegae International,Seoul,"Korea, Republic of (South)",unknown,,,,none
Shiva Hotels,Hutchinson,United States,unknown,,,,none
Shreeji Hotel Group,Charlotte,United States,unknown,,,,none
Shri Hotels,Durham,United States,unknown,,,,none
Shria Management,El Paso,United States,unknown,,,,none
Shular Hospitality,Gulfport,United States,unknown,,,,none
"Sichuan Jinjiang Tourism Hotel Management Co., Ltd",Chengdu,China,unknown,,,,none
Sigma Hospitality,Bensalem,United States,unknown,,,,none
Signature Pubs Group Ltd,Edinburgh,United Kingdom,unknown,,,,none
SiLa Developments,Dickson,United States,unknown,,,,none
Silver Cloud Hotels,Bellevue,United States,unknown,,,,none
"Silver Hotel Management, Inc.",Mississauga,Canada,unknown,,,,none
SilverBirch Hotels & Resorts,Vancouver,Canada,unknown,,,,none
SINA Hotels,,Italy,unknown,,,,none
Sinclairs Hotels & Resorts,Kolkata,India,unknown,,,,none
Singh Investment Group,Augusta,United States,unknown,,,,none
Singha Estate,Bangkok,Thailand,unknown,,,,none
Sky Hotels Inc.,Chowchilla,United States,unknown,,,,none
Slowey Management,Yankton,United States,unknown,,,,none
Small Town Hospitality Inc.,International Falls,United States,unknown,,,,none
"SMS Lodging, LLC",Miami,United States,unknown,,,,none
Soartress Hospitality,Columbus,United States,unknown,,,,none
Societe Hoteliere Cote Rotie,Paris,France,unknown,,,,none
SOHOMA Hotels,Paris,France,unknown,,,,none
Sokos Hotels,,Finland,unknown,,,,none
Soluxe Hotels & Resorts,Beijing,China,unknown,,,,none
Somera Capital Management,Carpinteria,United States,unknown,,,,none
Somos Design,Madrid,Spain,unknown,,,,none
Song Properties Pty Ltd,Brisbane,Australia,unknown,,,,none
Soni Hospitality Management,Salt Lake City,United States,unknown,,,,none
Sorell Hotels,,Switzerland,unknown,,,,none
Sotetsu Holdings,,Japan,unknown,,,,none
Southern Hospitality Management,Orlando,United States,unknown,,,,none
"Southern Hospitality Services, LLC",Flowood,United States,unknown,,,,none
Southern Sun,,South Africa,unknown,,,,none
Southwest Hospitality Management,Mesa,United States,unknown,,,,none
Southwest Value Partners,San Diego,United States,unknown,,,,none
SPAN Hospitality Management,Little Rock,United States,unknown,,,,none
Spark GHC,Solon,United States,unknown,,,,none
"Spectrum Hospitality, Inc",Bourbonnais,United States,unknown,,,,none
Spinnaker Resorts,Hilton Head Island,United States,unknown,,,,none
Splendid Hospitality Group,Watford,United Kingdom,unknown,,,,none
Sprague Hotel Developers,Columbus,United States,unknown,,,,none
Spree Hotels and Realestate Pvt. Ltd.,Bangalore,India,unknown,,,,none
Springwood Hospitality LLC,York,United States,unknown,,,,none
Sree Gokulam Hotels India Pvt Limited,Ernakulam,India,unknown,,,,none
Sree Hotels,Charlotte,United States,unknown,,,,none
"SSAW Hotels & Resorts Group Co., Ltd.",Hangzhou,China,unknown,,,,none
"SSG Hotels, LLC",Lafayette,United States,unknown,,,,none
SSN Hotels,Wilmington,United States,unknown,,,,none
St.Austell Brewery,St Austell,United Kingdom,unknown,,,,none
Stablegold Hospitality LLC,Roswell,United States,unknown,,,,none
Stanford Hotels Corporation,San Francisco,United States,unknown,,,,none
Star Asia Investment Corporation (SAR),,Japan,unknown,,,,none
Star Group,,Australia,unknown,,,,none
Starboard Hotels Ltd,Beaconsfield,United Kingdom,unknown,,,,none
Starhotels Finanziaria S.r.l.,,Italy,unknown,,,,none
STARTS Corporation,,Japan,unknown,,,,none
Starwood Capital Group,Greenwich,United States,unknown,,,,none
Status Hospitality Group,Provo,United States,unknown,,,,none
Stay Bar Harbor,Bar Harbor,United States,unknown,,,,none
Stay Cal Hospitality,San Mateo,United States,unknown,,,,none
Sterling Holiday Resorts Limited,Chennai,India,unknown,,,,none
Sterling Hotels,Toronto,Canada,unknown,,,,none
"Stonebridge Companies, LLC",Denver,United States,unknown,,,,none
StoneCrest Hotels,Kamloops,Canada,unknown,,,,none
Strawberry Hotels,Oslo,Norway,unknown,,,,none
Studio Vacanze,Milan,Italy,unknown,,,,none
Summer Hotels Group,,France,unknown,,,,none
Summit Hospitality,Raleigh,United States,unknown,,,,none
Summum Hotel Group,,Spain,unknown,,,,none
Sun Capital Hotels,Albuquerque,United States,unknown,,,,none
SUN Development & Management Corporation,Indianapolis,United States,unknown,,,,none
"Sun Frontier Fudousan Co., Ltd.",,Japan,unknown,,,,none
Sun Inns Hotel Group,,Malaysia,unknown,,,,none
Suning Galaxy Hotel Management Co. Ltd.,Nanjing,China,unknown,,,,none
Sunray Group,Toronto,Canada,unknown,,,,none
Sunridge Hotel Group,Mesa,United States,unknown,,,,none
Sunrise Hospitality Inc,Fremont,United States,unknown,,,,none
Sunview Companies,Miami,United States,unknown,,,,none
Sunway International Hotels & Resorts Sdn Bhd,,Malaysia,unknown,,,,none
Superhost Hospitality,Naperville,United States,unknown,,,,none
Surya Hotels Ltd,Ardleigh,United Kingdom,unknown,,,,none
SV Group,,Switzerland,unknown,,,,none
Sycamore Investment Group,Suwanee,United States,unknown,,,,none
Synvest Capital Corporation,Vancouver,Canada,unknown,,,,none
T A Fisher Group,Reading,United Kingdom,unknown,,,,none
Taiba Investments Company SJSC,Riyadh,Saudi Arabia,unknown,,,,none
TAJ Hospitality Management,Lubbock,United States,unknown,,,,none
Tamares,,Israel,unknown,,,,none
Tanganyika Expeditions,Arusha,Tanzania,unknown,,,,none
Tasman Holiday Parks,Sydney,Australia,unknown,,,,none
TCC Group,Bangkok,Thailand,unknown,,,,none
Terra Firma Capital Partners Ltd,London,United Kingdom,unknown,,,,none
Terratron Inc.,Park City,United States,unknown,,,,none
Texas Western Hospitality,Addison,United States,unknown,,,,none
TGC Group,Wichita,United States,unknown,,,,none
TGC Hospitality Management,Wichita,United States,unknown,,,,none
Tharaldson Hospitality Management,Fargo,United States,unknown,,,,none
THB Hotels,,Spain,unknown,,,,none
The 9 Group,Knoxville,United States,unknown,,,,none
The Bath Limited,Bath,United Kingdom,unknown,,,,none
The Briad Group,Livingston,United States,unknown,,,,none
The Darling Group,Seekonk,United States,unknown,,,,none
The First Group,,United Arab Emirates,unknown,,,,none
The Focus Properties,Raleigh,United States,unknown,,,,none
The Ghoman Group,Indianapolis,United States,unknown,,,,none
The Indian Hotels Company Limited,,India,unknown,,,,none
The Inn Collection Group,Newcastle Upon Tyne,United Kingdom,unknown,,,,none
The Johnson Group,Spartanburg,United States,unknown,,,,none
The Kishan Group,Reno,United States,unknown,,,,none
The Koehler Organization,Aberdeen,United States,unknown,,,,none
The Liberty Group,Williamsport,United States,unknown,,,,none
The Oberoi Group,,India,unknown,,,,none
The Olympia Companies,Portland,United States,unknown,,,,none
"The Sankei Building Co., LTD.",,Japan,unknown,,,,none
The Sunray Companies,Madison,United States,unknown,,,,none
The Tata Group,Mumbai,India,unknown,,,,none
The Upham Pub Company Ltd,Ascot,United Kingdom,unknown,,,,none
The Walt Disney Company,Burbank,United States,unknown,,,,none
The Wankawala Organization,Marlton,United States,unknown,,,,none
Think Hospitality,Miami Beach,United States,unknown,,,,none
Tifco Hotel Group,,Ireland,unknown,,,,none
Timhotel SAS,Boulogne-Billancourt,France,unknown,,,,none
Titan Hotel Group,Harrisburg,United States,unknown,,,,none
TKP Corporation,,Japan,unknown,,,,none
TM Hospitality Inc.,Doral,United States,unknown,,,,none
TMGOC Ventures,Boca Raton,United States,unknown,,,,none
TMR Hotels,,Slovakia,unknown,,,,none
Tobu Railway Co Ltd,,Japan,unknown,,,,none
Tokyu Corporation,Tokyo,Japan,unknown,,,,none
"Tongcheng Network Technology Co., Ltd",Suzhou,China,unknown,,,,none
"Total Management Systems, Inc.",Albuquerque,United States,unknown,,,,none
Town Pump Hotel Group,Butte,United States,unknown,,,,none
"Toyoko Inn Co., Ltd.",,Japan,unknown,,,,none
"TPG Hotels & Resorts, Inc.",McKinney,United States,unknown,,,,none
TPI Hospitality,Willmar,United States,unknown,,,,none
Tradewinds Hotels,,Malaysia,unknown,,,,none
Travco Group International Holding S.A.E,,Egypt,unknown,,,,none
Travdo Hotels & Resorts,,Germany,unknown,,,,none
Travelodge Hotels (UK),Thame,United Kingdom,unknown,,,,none
Triad Property Management,Tuscaloosa,United States,unknown,,,,none
tristar GmbH,Berlin,Germany,unknown,,,,none
"TRT Holdings, Inc.",Dallas,United States,unknown,,,,none
True Hospitality,Knoxville,United States,unknown,,,,none
Tsogo Sun,,South Africa,unknown,,,,none
"U.S. Hotels, Inc.",Rocky Mount,United States,unknown,,,,none
Udaan Hotels & Resorts,Siliguri,India,unknown,,,,none
Under  Canvas,Belgrade,United States,unknown,,,,none
Unike Hoteller,,Norway,unknown,,,,none
Unimat Group,,Japan,unknown,,,,none
Unique Mercantile India Ltd (UMIL),Ahmedabad,India,unknown,,,,none
Unita Hotels,,Romania,unknown,,,,none
United Capital Corp.,Great Neck,United States,unknown,,,,none
Unitursa Calpe SL,,Spain,unknown,,,,none
Universal Beach Hotels,,Spain,unknown,,,,none
UNYQ Management,Nashville,United States,unknown,,,,none
UOL Group Ltd,,Singapore,unknown,,,,none
Urban Sense,Madrid,Spain,unknown,,,,none
Urbanica The Hotels,Miami,United States,unknown,,,,none
"Vacatia, Inc",San Francisco,United States,unknown,,,,none
Vail Resorts,Broomfield,United States,unknown,,,,none
Valamar Hotels & Resorts,,Croatia,unknown,,,,none
Valiant Pub Company Limited,Birmingham,United Kingdom,unknown,,,,none
Vastint Holdings BV,Amsterdam,Netherlands,unknown,,,,none
VBA Hospitality Group,Hanoi,Vietnam,unknown,,,,none
Vega de Avila SL,Madrid,Spain,unknown,,,,none
Veriu Group,Melbourne,Australia,unknown,,,,none
Vestige Collection,Madrid,Spain,unknown,,,,none
Vibra Hotels,Eivissa,Spain,unknown,,,,none
Vicartem Hotellerie,Rennes,France,unknown,,,,none
Vinayaka Hospitality,Schaumburg,United States,unknown,,,,none
Vincci Hotels,,Spain,unknown,,,,none
Vingroup,,Vietnam,unknown,,,,none
Vinpearl Joint Stock Company,Nha Trang,Vietnam,unknown,,,,none
Vintage Hotels,Niagara On The Lake,Canada,unknown,,,,none
VIP Hotels,,Portugal,unknown,,,,none
Virk Hospitality Inc.,Wilsonville,United States,unknown,,,,none
Vishwaratna Hotel Pvt ltd,Bangalore,India,unknown,,,,none
Vision Hospitality Group,Chattanooga,United States,unknown,,,,none
Vision Hotels,Gold Coast City,Australia,unknown,,,,none
Visions Hotels,Corning,United States,unknown,,,,none
Vista Group of Companies,Binghamton,United States,unknown,,,,none
"Vista Investments, LLC",El Segundo,United States,unknown,,,,none
Vivion Investments,,Luxembourg,unknown,,,,none
VJ Management,Saskatoon,Canada,unknown,,,,none
VOIHOTELS SPA,,Italy,unknown,,,,none
VP Hoteles,Madrid,Spain,unknown,,,,none
VP Management LLC,Princeton,United States,unknown,,,,none
Vrancor Group,Hamilton,Canada,unknown,,,,none
Wadworth,Roundway,United Kingdom,unknown,,,,none
Walt Disney World Resorts,Lake Buena Vista,United States,unknown,,,,none
Wanda Hotels & Resorts,Beijing,China,unknown,,,,none
Wanxiang Group Corporation,Hangzhou,China,unknown,,,,none
Warren Resort Hotels,Santa Maria,United States,unknown,,,,none
Waterford Hotel Group,Waterford,United States,unknown,,,,none
Waterview Hospitality,Saint Petersburg,United States,unknown,,,,none
WaterWalk Live Stay,Wichita,United States,unknown,,,,none
Wavemaker Hospitality,,Cyprus,unknown,,,,none
Waymark Hotels,,Australia,unknown,,,,none
Wayside Investment Group,Houston,United States,unknown,,,,none
Wealth Hospitality Group,Ridgeland,United States,unknown,,,,none
Welcome Break Holdings,Newport Pagnell,United Kingdom,unknown,,,,none
"Welcome Group, Inc.",El Segundo,United States,unknown,,,,none
Wells & Co.,Bedford,United Kingdom,unknown,,,,none
West Fraser Developments Ltd,Surrey,Canada,unknown,,,,none
West Japan Railway Company,Osaka-Shi,Japan,unknown,,,,none
West77 Partners,Lehi,United States,unknown,,,,none
Westbourne Leisure Ltd,Birmingham,United Kingdom,unknown,,,,none
Western Hospitality,Grand Junction,United States,unknown,,,,none
Western States Lodging and Management,South Jordan,United States,unknown,,,,none
Westgate Resorts,Orlando,United States,unknown,,,,none
Westmont Europe,London,United Kingdom,unknown,,,,none
Westmont Hospitality Group,Houston,United States,unknown,,,,none
Wheelock and Company Limited,,Hong Kong,unknown,,,,none
Whitbread,Dunstable,United Kingdom,unknown,,,,none
White Lodging Services Corp,Merrillville,United States,unknown,,,,none
Whitestone Companies,Lewis Center,United States,unknown,,,,none
Whitestone Hospitality,Irving,United States,unknown,,,,none
Wildflower Hotels,Round Rock,United States,unknown,,,,none
Williams Hotel Group,Adel,United States,unknown,,,,none
Williams Investment Company,Adel,United States,unknown,,,,none
Willow Valley,Willow Street,United States,unknown,,,,none
WIN Hotels,Amsterdam,Netherlands,unknown,,,,none
Windsor Hospitality,Santa Monica,United States,unknown,,,,none
Winwood Hospitality Group,Raleigh,United States,unknown,,,,none
Wirefox Services Limited,Holywood,United Kingdom,unknown,,,,none
Wisco Hotel Group,Madison,United States,unknown,,,,none
Witness Investment,Indianapolis,United States,unknown,,,,none
Wittwer Hospitality,St George,United States,unknown,,,,none
Woodbine Group,Syracuse,United States,unknown,,,,none
Woodlawn Hospitality Group,Guelph,Canada,unknown,,,,none
Worldwide Hotels,,Singapore,unknown,,,,none
WS Management,Sacramento,United States,unknown,,,,none
Xanterra Travel Collection,Greenwood Village,United States,unknown,,,,none
XENIA S.p.A. SB,,Italy,unknown,,,,none
Xennial Enterprises,Farmington Hills,United States,unknown,,,,none
Xiamen C&D Inc,Xiamen,China,unknown,,,,none
Xiamen C&D Tourism & Hotels,Xiamen,China,unknown,,,,none
Yedla Management Company,Huntsville,United States,unknown,,,,none
Yha (England & Wales) Ltd,London,United Kingdom,unknown,,,,none
YHA Australia,Sydney,Australia,unknown,,,,none
YM Hospitality,Stockbridge,United States,unknown,,,,none
Younan Company,Woodland Hills,United States,unknown,,,,none
Younes Hospitality,Kearney,United States,unknown,,,,none
Young's & Co.'s Brewery,London,United Kingdom,unknown,,,,none
YTL Corporation Berhad,Kuala Lumpur,Malaysia,unknown,,,,none
YTL Hotels & Properties,,Malaysia,unknown,,,,none
Zafiro Hotels,Alcúdia,Spain,unknown,,,,none
Zdrojowa Hotels,,Poland,unknown,,,,none
"Zealandia Holding Company, Inc.",,United States,unknown,,,,none
Zech Group GmbH,,Germany,unknown,,,,none
Zenit Hoteles,,Spain,unknown,,,,none
ZENITUDE GROUPE,Schiltigheim,France,unknown,,,,none
ZJZ Hospitality,Corpus Christi,United States,unknown,,,,none
Zoia,,Greece,unknown,,,,none
Zolostays Property Solutions Pvt. Ltd.,Bengaluru,India,unknown,,,,none
Zuri Hospitality Management,Jakarta,Indonesia,unknown,,,,none
