recordId,name,fields
rec6xKwS2m883xRvS,"DoubleTree by Hilton Hotel Bogota - Parque 93",Year Affiliated
rec6yiFUq0xKltqep,"DoubleTree by Hilton Hotel Veracruz",Year Affiliated
rec6zMMmwLfjmlfEO,"Hampton Inn By Hilton Celaya",Year Affiliated
rec71jiVyb94eVTld,"Curio Collection by Hilton Umbral",Year Affiliated
rec8Kr5nKdrODSdDp,"DoubleTree by Hilton Lima Miraflores El Pardo",Year Affiliated
rec8e4a1RMy7muxB4,"Anselmo Buenos Aires Curio Collection by Hilton",Year Affiliated
rec8uWx53Dakcvi4g,"Hampton  Inn Tampico Zona Dorado",Year Affiliated
rec96plFVfoYeneLz,"Hilton Colon Quito",Year Affiliated
rec9Al5t6gO9kVHCs,"Hilton Los Cabos",Year Affiliated
rec9VcZKSpVYy4oNl,"Hilton Bogota Corferias Convention Center",Year Affiliated
rec9XJgqnvFHMYGLp,"Hampton by Hilton Yopal",Year Affiliated
rec9XpDuhx43nBfaJ,"Hilton Garden Inn Mexico City Santa Fe",Year Affiliated
rec9k2MAtZgYtOVwr,"Hilton Princess Managua Hotel",Year Affiliated
recA5iV9LnMwc7WKq,"The Condado Plaza Hotel",Year Affiliated
recACse1lXEo5YfOm,"Hilton Garden Inn Neuquen",Year Affiliated
recAh0HQ4Sbdcv7o8,"Hilton Barbados Resort",Year Affiliated
recAqIScZSS3ODiLy,"Hampton by Hilton Guanacaste Airport",Year Affiliated
recAvnmqhNiLe9Dje,"Hampton by Hilton Aquascalientes Downtown",Year Affiliated
recBHX1fen6yZdszr,"Hilton Aruba Caribbean Resort & Casino",Year Affiliated
recBSuHKa4UvKUqWz,"Hampton By Hilton Cucuta",Year Affiliated
recBfbbeqXK3wjjZ4,"Hampton by Hilton Lima San Isidro",Year Affiliated
recC6qFaLB7nxLHYq,"Indura Beach & Golf Resort Curio Collection by Hilton",Year Affiliated
recCiXwlYCRqfwQQ9,"Waldorf Astoria Panama",Year Affiliated
recCkYA0ekcf5em5y,"Hilton Lima Miraflores",Year Affiliated
recD4imobkpgspDzi,"Homewood Suites by Hilton Monterrey Apodaca",Year Affiliated
recDX8Zqkt2bDhkxN,"ROK Hotel Kingston Tapestry Collection",Year Affiliated
recERTGHghwfg4Dt5,"Hilton La Romana, an All-Inclusive Family Resort",Year Affiliated
recEewQZ45Wk5R2B2,"Suryaa Hotel Pinhais, Curio Collection by Hilton",Year Affiliated
recEmM5TdgFEuwdSz,"Hilton Ponce Golf & Casino Resort",Year Affiliated
recG4fIejQRdfUNIm,"Hampton by Hilton David",Year Affiliated
recG73uBQmLiKArxc,"Hilton Mexico City Reforma",Year Affiliated
recHVAuSZvmUQqhwS,"Qoya Hotel Curitiba Curio Collection by Hilton",Year Affiliated
recHW8s0LxvTsj8IM,"Hampton by Hilton Veracruz Boca del Rio",Year Affiliated
recHZPjQu2cQgmpcH,"Hilton Cancun Mar Caribe All-Inclusive Resort",Year Affiliated
recHaanBcqWQf53lj,"Conrad Punta de Mita",Year Affiliated
recHf518OTVZAsLx8,"Yoo2 Rio De Janeiro Tapestry Collection by Hilton",Year Affiliated
recHyaG9te4fPpluU,"Hilton Garden Inn Sao Paulo Reboucas",Year Affiliated
recI0diSXPicHUwUb,"Qoya Hotel Sao Paulo Curio Collection by Hilton",Year Affiliated
recI0ph2ROBhNtbNI,"Hilton Santa Marta",Year Affiliated
recIIEmPEt8TEKnuP,"Hampton Inn & Suites by Hilton Puebla",Year Affiliated
recIKOxkqgylexSGR,"DoubleTree by Hilton Mazatlan",Year Affiliated
recISiWotp1bPKI4G,"Albor San Miguel de Allende Tapestry Collection by Hilton",Year Affiliated
recInxyXFObfxFmA2,"Hampton by Hilton Inn & Suites Salamanca Bajio",Year Affiliated
recIuvAEBxEeh1haG,"Hampton by Hilton Guarulhos Aeroporto",Year Affiliated
recJWTzga4iCeOwia,"Curio Collection by Hilton Harbor Club St Lucia",Year Affiliated
recJjQfZSf8IAso1A,"Homewood Suites by Hilton Queretaro",Year Affiliated
recJsK3w0b6dHSTXj,"Hilton Garden Inn Chihuahua",Year Affiliated
recK7HUdZD07gIqMF,"Embassy Suites by Hilton Bogota Rosales",Year Affiliated
recK9uYKwUdM8hEVR,"Hampton Inn by Hilton Nuevo Vallarta",Year Affiliated
recKKU7o2QlPqaSCe,"DoubleTree by Hilton Santiago Kennedy",Year Affiliated
recKSKfFK4qyFdsoz,"DoubleTree by Hilton Managua",Year Affiliated
recKuSgfGpKNKEo8N,"Hilton Garden Inn Cali Ciudad Junction",Year Affiliated
recL3oxie0vNdasoG,"Hampton Inn by Hilton Guadalajara/Expo",Year Affiliated
recL5AUBNnGkFGgrM,"Hilton Mendoza",Year Affiliated
recL9yu9QiYlZPwMg,"Hampton by Hilton Inn Silao-Aeropuerto Bajio",Year Affiliated
recLQoyNuoJL6CbjB,"Embassy Suites by Hilton San Juan Hotel & Casino",Year Affiliated
recLzQMo7RhA0u1gJ,"Hilton Mexico City Santa Fe",Year Affiliated
recM0yKCzuvWNXEIo,"Embassy Suites by Hilton Aruba Resort",Year Affiliated
recMoTgleA4ooYcJa,"Hilton Barra Rio De Janeiro",Year Affiliated
