wikidataQid,wikidataName,wikidataCity,wikidataCountry,wikidataLatitude,wikidataLongitude,wikidataWebsite,matchedStagingRecordId,matchedStagingSourceRecordId,matchedStagingName,matchedStagingCity,matchConfidence,matchScore,matchReason,distanceMeters,nameSimilarity,recommendedAction
Q111414800,Bahia Principe Luxury Ambar,Punta Cana,Dominican Republic,18.728513,-68.461623,,,node/3145261362,Riu Palace Punta Cana,Punta Cana,low,35,city; geo=695m,695.1964554137863,0,likely_new_wikidata
Q111414801,Hotel Riu Palace Punta Cana,Punta Cana,Dominican Republic,18.722275,-68.459785,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-palace-punta-cana,,way/142306646,Hotel Riu Palace Punta Cana,Punta Cana,high,117,name=1.00; city; geo=147m; website,147.4578128945907,1,likely_same_property
Q111414806,"Royalton Bavaro, An Autograph Collection All-Inclusive Resort & Casino",,Dominican Republic,18.72023,-68.45557,,,way/27957139,Hotel Riu Palace Macao,Punta Cana,low,45,geo=13m,12.92645778467474,0,likely_new_wikidata
Q111414807,Hotel Riu Palace Bavaro,Punta Cana,Dominican Republic,18.71952,-68.45465,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-palace-bavaro,,relation/1922795,Hotel Riu Palace Bavaro,Punta Cana,high,117,name=1.00; city; geo=174m; website,174.1558999698712,1,likely_same_property
Q111414804,Hotel Riu Bambu,Punta Cana,Dominican Republic,18.72128,-68.45928,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-bambu,,way/53581002,Hotel Riu Bambu,Punta Cana,high,105,name=1.00; city; geo=263m; website,262.63235546350677,1,likely_same_property
Q111414805,Hotel Riu Naiboa,Punta Cana,Dominican Republic,18.71739,-68.45623,,,way/142306645,Hotel Riu Naiboa,Punta Cana,high,92,name=1.00; city; geo=98m,97.80688610088512,1,likely_same_property
Q111414810,Caribe Deluxe Princess - All Inclusive,,Dominican Republic,18.70325,-68.44446,,,way/309243773,Punta Cana Princess All suites Hotel,,low,32,geo=239m,238.7869128281779,0.222,likely_new_wikidata
Q111414811,Tropical Deluxe Princess - All Inclusive,,Dominican Republic,18.705114,-68.442337,,,way/309243773,Punta Cana Princess All suites Hotel,,low,32,geo=117m,117.22041781060881,0.222,likely_new_wikidata
Q111414808,Paradisus Palma Real Golf & Spa Resort,,Dominican Republic,18.698399,-68.451146,,,node/4439105995,CARIBE TROPICAL & PRINCESS,,none,20,geo=743m,742.5753937395397,0,likely_new_wikidata
Q111414809,Karibo Punta Cana,,Dominican Republic,18.696952,-68.445667,,,node/4439105995,CARIBE TROPICAL & PRINCESS,,none,20,geo=407m,407.22044794367184,0,likely_new_wikidata
Q111414814,Grand Palladium Punta Cana Resort & Spa - All Inclusive,,Dominican Republic,18.694005183,-68.426575684,,,way/309366606,Grand Palladium Punta Cana Resort & Spa,,medium,62,name=0.75; geo=133m,132.9069192621664,0.75,possible_same_property
Q111414815,Presidential Suites Punta Cana,,Dominican Republic,18.690453,-68.422485,,,way/252828092,Vista Sol Punta Cana,,low,32,geo=128m,127.89881854366362,0.333,likely_new_wikidata
Q111414812,Grand Palladium Palace Resort Spa & Casino - All Inclusive,Punta Cana,Dominican Republic,18.687547,-68.429053,,,node/302771731,Natura Park Beach Eco Resort & Spa,Punta Cana,none,25,city,7675.988240798918,0.167,likely_new_wikidata
Q111414813,Grand Palladium Bávaro Suites Resort & Spa - All Inclusive,,Dominican Republic,18.687476,-68.428805,,,node/4950101005,Grand Palladium Bavaro Suites Resort & Spa,,low,40,name=0.75,844.0995101242146,0.75,needs_research
Q111414818,whala!bávaro,,Dominican Republic,18.68521,-68.41546,,,way/922804087,Villa Mare,,low,45,geo=47m,46.84219179814212,0,likely_new_wikidata
Q111414819,Dreams Royal Beach Punta Cana,,Dominican Republic,18.67917,-68.41583,,,node/2262714721,Dreams Royal Beach Punta Cana,Punta Cana,high,77,name=1.00; geo=136m,136.38192078430956,1,likely_same_property
Q111414816,Impressive Premium Punta Cana,,Dominican Republic,18.68743,-68.41929,,,node/7741588385,Green Coast hotel,,low,32,geo=209m,208.50428279130048,0,likely_new_wikidata
Q111414817,Impressive Punta Cana,,Dominican Republic,18.687952,-68.418366,,,node/12998607201,Impressive Punta Cana - All Inclusive,,high,75,name=0.75; geo=53m,52.584222808878785,0.75,likely_same_property
Q111414822,Hodelpa Gran Almirante,,Dominican Republic,19.4653,-70.68688,,,way/233446403,Hodelpa Gran Almirante,,high,90,name=1.00; geo=42m,41.96899480852508,1,likely_same_property
Q111414820,Paradisus Grand Cana,,Dominican Republic,18.67625,-68.4129,,,node/4918991365,Paradisus Punta cana,,low,32,geo=151m,151.4006345896696,0.5,needs_research
Q111414821,Melia Caribe Beach Resort - All Inclusive,,Dominican Republic,18.67345,-68.40697,,,node/11628073769,Melia caribe beach resort,,medium,50,name=0.75; geo=795m,794.5022979349678,0.75,possible_same_property
Q70571865,Hotel Best Serenade Resort,Punta Cana,Dominican Republic,,,https://www.serenadepuntacana.com/,,node/1600567851,Hotel,,low,40,name=0.75,,0.75,needs_research
Q111414823,Barceló Bávaro Beach - Adults Only All Inclusive,,Dominican Republic,18.66699,-68.40234,,,way/104646167,Barceló Bávaro Beach – Adults only,,low,35,name=0.71; geo=298m,297.75465168157086,0.714,needs_research
Q111414826,Dreams Palm Beach Punta Cana - All Inclusive,Punta Cana,Dominican Republic,18.64922,-68.36345,,,node/302771731,Natura Park Beach Eco Resort & Spa,Punta Cana,low,35,city; geo=471m,471.1335579331883,0.083,likely_new_wikidata
Q111414827,Be Live Collection Punta Cana - All Inclusive,,Dominican Republic,18.64852,-68.3614,,,way/1059114266,Be Live,,low,40,name=0.75,59043.73089451921,0.75,needs_research
Q111414824,Eden Roc At Cap Cana,,Dominican Republic,18.456630084,-68.424979852,,,node/9829772,Bohio Cabarete,,none,10,Weak or no match signals,259914.47735284714,0,likely_new_wikidata
Q111414825,Secrets Cap Cana Resort & Spa,,Dominican Republic,18.48609,-68.39631,,,way/677625141,Secrets Cap Cana Resort & Spa,,medium,65,name=1.00; geo=287m,286.9302688709231,1,possible_same_property
Q111414830,TRS Cap Cana Hotel - Adults Only,,Dominican Republic,18.504353,-68.377287,,,node/1600567851,Hotel,,low,40,name=0.75,288025.80654732196,0.75,needs_research
Q111414831,The Westin Puntacana Resort & Club,,Dominican Republic,18.53793,-68.35628,,,way/675403679,The Westin Punta Cana - Resort & Club,Punta Cana,medium,60,name=0.57; geo=64m,64.36479282909723,0.571,possible_same_property
Q111414828,Four Points by Sheraton Puntacana Village,,Dominican Republic,18.55736,-68.3724,,,node/2613949124,Four Points by Sheraton,Punta Cana,medium,62,name=0.75; geo=213m,212.72139729440025,0.75,possible_same_property
Q111414829,Serenade Punta Cana Beach & Spa Resort - All Inclusive,,Dominican Republic,18.647055,-68.35332,,,node/9167682913,Hotel Naragua,,none,20,geo=370m,369.71376428858497,0,likely_new_wikidata
Q111414834,Holiday Inn Santo Domingo Hotel & Suites,Santo Domingo,Dominican Republic,18.47607,-69.93644,,,way/378375761,Holiday Inn,Santo Domingo,high,90,name=0.75; city; geo=31m,30.65440450649471,0.75,likely_same_property
Q111414835,InterContinental Real Santo Domingo,,Dominican Republic,18.46847,-69.93884,,,node/3161538019,Real Intercontinental,"Santo Domingo , Rep Dominicana",low,45,geo=18m,18.359965060538947,0.5,needs_research
Q111414832,JW Marriott Hotel Santo Domingo,Santo Domingo,Dominican Republic,18.47229,-69.94126,,,way/359598125,JW Marriott Santo Domingo,Santo Domingo,high,90,name=0.80; city; geo=45m,44.728351377265916,0.8,likely_same_property
Q111414833,Dominican Fiesta Hotel & Casino,,Dominican Republic,18.44074,-69.97021,,,way/93553072,Hotel Dominican Fiesta,,medium,62,name=0.75; geo=153m,152.81603802899593,0.75,possible_same_property
Q111414838,W&P Santo Domingo,,Dominican Republic,18.45665,-69.93694,,,way/379027094,Hotel BQ;Vent W&P Santo Domingo,Santo Domingo,high,75,name=0.75; geo=46m,46.19889493232443,0.75,likely_same_property
Q111414839,"El Embajador, a Royal Hideaway Hotel",,Dominican Republic,18.4556,-69.93393,,,node/1600567851,Hotel,,low,40,name=0.75,125011.69112609272,0.75,needs_research
Q111414836,Radisson Hotel Santo Domingo,,Dominican Republic,18.47801,-69.92849,,,node/3216771022,Radisson Hotel Santo Domingo,Santo Domingo,high,90,name=1.00; geo=29m,28.808963815786093,1,likely_same_property
Q111414837,Embassy Suites by Hilton Santo Domingo,Santo Domingo,Dominican Republic,18.47552,-69.92684,,,node/3681551947,Embassy Suites by Hilton,,high,75,name=0.75; geo=43m,42.51245495731241,0.75,likely_same_property
Q111414842,Catalonia Santo Domingo,Santo Domingo,Dominican Republic,18.45802,-69.910164,,,node/596663088,Hotel Crowne Plaza,Santo Domingo,none,25,city,1612.6486946197863,0,likely_new_wikidata
Q111414843,Crowne Plaza Santo Domingo,,Dominican Republic,18.4635,-69.89604,,,way/177332376,Crowne Plaza,Santo Domingo,high,75,name=0.75; geo=62m,62.3367884831144,0.75,likely_same_property
