priority,stewardPath,brandName,parentCompany,censusRecordId,censusName,country,city,website,propertyId,blankFieldsJoined,instruction
1,browser_save_property_page,Autograph Collection,"Marriott International, Inc.",recW10E0i7zkc34B7,"Hato Rey, Autograph Collection",Puerto Rico,San Juan,https://www.marriott.com/en-us/hotels/sjuao-alma-san-juan-puerto-rico-autograph-collection/overview,SJUAO,Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Autograph Collection,"Marriott International, Inc.",recm600FJhAgyHoZV,"Hato Rey, Autograph Collection",Puerto Rico,San Juan,https://www.marriott.com/en-us/hotels/sjuao-alma-san-juan-puerto-rico-autograph-collection/overview,SJUAO,Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Autograph Collection,"Marriott International, Inc.",reclS7kOOqfedBjW4,Tamarind By Elegant Hotels - All-Inclusive,Barbados,St James,https://www.marriott.com/en-us/hotels/bgiau-turtle-beach-by-elegant-hotels-all-inclusive/overview,BGIAU,Amenities,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Autograph Collection,"Marriott International, Inc.",recSPeSdU95cHl1fH,"The Pyrmont Curaçao, An Autograph Collection All-Inclusive Resort",Curaçao,Willemstad,https://www.marriott.com/en-us/hotels/curak-the-pyrmont-curacao-an-autograph-collection-all-inclusive-resort-adults-only/overview,CURAK,Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Autograph Collection,"Marriott International, Inc.",recux8RLiVjzFEVLc,Turtle Beach by Elegant Hotels - All Inclusive,Barbados,Christ Church,https://www.marriott.com/en-us/hotels/bgiau-turtle-beach-by-elegant-hotels-all-inclusive/overview,BGIAU,Amenities,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,BW Premier Collection,BWH Hotels,recXf5GhpPsCFLGD0,Best Western Premier Maceio,Brazil,Maceio,https://www.bestwestern.com/en_US/book/hotels-in-maceio/best-western-premier-maceio/propertyCode.77119.html,77119,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,BW Premier Collection,BWH Hotels,recyDjmbVP2V1ZSo6,Best Western Premier Marina Las Condes,Chile,Santiago,https://www.bestwestern.com/en_US/book/santiago/hotel-rooms/best-western-premier-marina-las-condes/propertyCode.76068.html,76068,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,BW Premier Collection,BWH Hotels,rec5kNnEy5ixge3bG,Best Western Premier Monterrey Aeropuerto,Mexico,Apodaca,https://www.bestwestern.com/en_US/book/hotels-in-apodaca/best-western-premier-monterrey-aeropuerto/propertyCode.70262.html,70262,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,BW Premier Collection,BWH Hotels,recUF12aRBJxaDdIU,Terra Nova BW Premier Collection,Jamaica,Kingston,https://www.terranovajamaica.com/,71034,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,BW Signature Collection,BWH Hotels,rec4fyhNXf6c62GCd,Aruba Boutique & Art Hotel BW Signature Collection,Aruba,Noord,https://www.bestwestern.com/en_US/book/noord/hotel-rooms/aruba-boutique-art-hotel-bw-signature-collection/propertyCode.71032.html,71032,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
