brand,brandCode,status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,fieldsToApply
Curio Collection by Hilton,QQ,unmatched_directory,,,"Altunizade Suites Istanbul, Curio Collection by Hilton",ISTERQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Amare Cancun Adults Only All-Inclusive Resort, Curio by Hilton",CUNAAQQ,none,45,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Anglo American Hotel Florence, Curio Collection by Hilton",FLRORQQ,none,51,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Anor and Saffron Tashkent, Curio Collection by Hilton",TASTTQQ,none,44,
Curio Collection by Hilton,QQ,no_changes,rec8e4a1RMy7muxB4,Anselmo Buenos Aires Curio Collection by Hilton,"Anselmo Buenos Aires, Curio Collection by Hilton",BUEBAQQ,high,98,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Aulus Chania Resort, Curio Collection by Hilton",HERIBQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Aulus Lindos Rhodes Resort, Curio Collection by Hilton",RHOLIQQ,none,44,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Baia di Chia Resort Sardinia, Curio Collection by Hilton",OLBBRQQ,none,43,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Boeira Garden Hotel Porto Gaia, Curio Collection by Hilton",OPOBGQQ,none,48,
Curio Collection by Hilton,QQ,no_changes,recu51JABui6zulIr,Botanika Osa Peninsula Resort Curio Collection by Hilton,"Botanika Osa Peninsula Costa Rica Resort, Curio Collection by Hilton",PJMCRQQ,high,98,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Cala San Miguel Ibiza Resort, Curio Collection by Hilton",IBZSEQQ,none,43,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Casa Alberola Alicante, Curio Collection by Hilton",ALCCAQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Casa de Sada Algarve Beach Resort, Curio Collection by Hilton",FAONSQQ,none,41,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Cenica Porto Hotel, Curio Collection by Hilton",OPOPOQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,Chekhoff Hotel Moscow Curio Collection by Hilton,MOWCHQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Chongqing Lijia Baiyun Lake Hotel, Curio Collection by Hilton",CKGQQQQ,none,42,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Colcord Hotel Oklahoma City, Curio Collection by Hilton",OKCOLQQ,none,51,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Columbus Hotel Monte-Carlo, Curio Collection by Hilton",NCECOQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Cuber House Valencia, Curio Collection by Hilton",VLCCHQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"De Bonart Naples, Curio Collection by Hilton",NAPBNQQ,none,48,
