candidateRecordId,verifiedHotelName,verifiedDedupeKey,osmCountry,matchedLegacyRecordId,matchScore,status
recAviiAXgvfVPvSI,Amérian Córdoba Park Hotel,amerian cordoba park hotel|cordoba|argentina,Argentina,recxSQ1ws25s3y5wr,100,written
recB3nI0av6It5FVj,Hotel Mónaco,hotel monaco|ushuaia|argentina,Argentina,recIVKbPqBnyWEaDq,100,written
recB59rOJCHrZ1NSv,Hotel Tolosa,hotel tolosa|puerto madryn|argentina,Argentina,recyks4vIu3tsOIMN,100,written
recBfqzvIY9oPutlG,Neuquén Tower Hotel,neuquen tower hotel|neuquen|argentina,Argentina,rec9gto9uQeokiETQ,100,written
recBmMejTWdkzqzOr,La Cabaña Hostería,la cabana hosteria|puerto iguazu|argentina,Argentina,recDeOEYHb0DuBOP6,100,written
recBokBIxkZDS0Ycy,Hotel Santiago,hotel santiago|cordoba|argentina,Argentina,recESbqPUfCeEh64E,100,written
recBxwohhy6ymNPCv,Residencial San Carlos,residencial san carlos|san salvador de jujuy|argentina,Argentina,recy0P87EKioxGHqh,100,written
recC9HdL50AksG0gq,Gran Hotel Skorpios,gran hotel skorpios|mar del plata|argentina,Argentina,recBNl99siZ1dZvOc,100,written
recD69vg72AQ6JmQ3,Hotel Francia,hotel francia|san miguel de tucuman|argentina,Argentina,reciLjjC7gcc8rnI9,100,written
recDRfAuH95t4RyfF,Hotel Campanilla,hotel campanilla|ushuaia|argentina,Argentina,recAblOdYThemfjq8,100,written
recEHmJ7xqQW9R7fL,Hotel Guerrero,hotel guerrero|mar del plata|argentina,Argentina,recvBsMivmmXN2UfY,100,written
recEkdRdLs1HYnVb3,Hotel Tunqueley,hotel tunqueley|san martin de los andes|argentina,Argentina,rec7sU9CfU26dn7bv,100,written
recFgYUQ1hv0gK1ER,Sent Calafate,sent calafate|el calafate|argentina,Argentina,recfGNHFDKGoJcxmg,100,written
recH4GLQTxBTGzuTR,Hotel Nuevo Castillo,hotel nuevo castillo|mendoza|argentina,Argentina,recQbeF7zVSTDUFOg,100,written
recHBv7yFJ4uXG3qQ,Panoramic Grand,panoramic grand|puerto iguazu|argentina,Argentina,rec79u6kPnxqRdyi2,100,written
recHulFl60gEjpCLc,Hotel Laerte,hotel laerte|mendoza|argentina,Argentina,recHlsS8AFxtNOgfT,100,written
recIL3Fky8UskYCWa,Murano Apart Hotel,murano apart hotel|mendoza|argentina,Argentina,recQmGRODz8k6agmw,100,written
recJpuDL8xH8DYIO2,Intermonti Hotel,intermonti hotel|san martin de los andes|argentina,Argentina,reczUz9hAE3dQok65,100,written
recLNEXMeBDOxVz3V,Hostel Peter Pan,hostel peter pan|puerto iguazu|argentina,Argentina,recMOFvATNY1M19yX,100,written
recNEmhq0ytv1Duhs,Hilton Garden Inn Neuquén,hilton garden inn neuquen|neuquen|argentina,Argentina,recACse1lXEo5YfOm,100,written
recO0Wdcbczcbgj4l,Casino Magic Hotel,casino magic hotel|neuquen|argentina,Argentina,recA5mK1ps4jI8kVV,100,written
recOK5cFwwVX5n0lu,Hotel España,hotel espana|mar del plata|argentina,Argentina,recTLcDWmRGH2OSYU,100,written
recQIyXfq5yjNORqz,Alex Hotel,alex hotel|cordoba|argentina,Argentina,receKUyVvGa10UVLf,100,written
recQLCIxcgHOKu6wc,Alcorta Hotel,alcorta hotel|neuquen|argentina,Argentina,recMWXmVAWNOtDu5V,100,written
recQUwvVo26M2LiPh,La Urumpta Hotel By AKEN MIND,la urumpta hotel by aken mind|rio cuarto|argentina,Argentina,rec5ZKz30UWhdq59u,100,written
recQb25VJGJ72ZorW,Ohasis Hotel Spa Jujuy,ohasis hotel spa jujuy|san salvador de jujuy|argentina,Argentina,recCDnbrI1yQ9Y55V,100,written
rec0zQtWYAvIbRpfm,Hilton Garden Inn Santo André,hilton garden inn santo andre|santo andre|brazil,Brazil,recNP4X6l4mQKq3SU,100,written
rec1fk0yXbUZ90uPV,Wyndham São Paulo Ibirapuera Convention Plaza Hotel,wyndham sao paulo ibirapuera convention plaza hotel|sao paulo|brazil,Brazil,recromF0UmyDqZF8R,100,written
rec2y82QIp1rQS4iz,Hotel Maione,hotel maione|goiania|brazil,Brazil,recFdjisGTsfwItYo,100,written
rec49joTE5HreK1NZ,HOTEL DOS NOBRES,hotel dos nobres|pocos de caldas|brazil,Brazil,recTt9WA7HDFox2Xw,100,written
rec5uW9ef1ujx0HOV,Normandie Design Hotel,normandie design hotel|sao paulo|brazil,Brazil,rec5g5reYVZIaZie4,100,written
rec61hhH8f1xFFi53,Ibis Carlos Barbosa,ibis carlos barbosa|carlos barbosa|brazil,Brazil,recDAnYWyNHdDQL3F,100,written
rec69dxR5v0lgf1MN,Hotel Rafain Palace,hotel rafain palace|foz do iguacu|brazil,Brazil,rectuqYDdvOaxIqfm,100,written
rec6RZZNVRc3l78qi,Hotel Aconchego,hotel aconchego|recife|brazil,Brazil,recL09diFXDewXOMz,100,written
rec842xsMPmve6r4u,Grand Mercure Belém,grand mercure belem|belem|brazil,Brazil,recE5XxMSJPkZpOhx,100,written
rec8GgTded88xT12z,Windsor Hotel Leme,windsor hotel leme|rio de janeiro|br,BR,recFwYiuY7MpXH4Ho,100,written
recCFrOXJaqHGU51D,Hotel Atlântico Business Centro,hotel atlantico business centro|rio de janeiro|brazil,Brazil,recerpTodhhEKJhpN,100,written
recD79FgR0cEfsBnI,Hotel Marina Porto Abrolhos,hotel marina porto abrolhos|caravelas|brazil,Brazil,rec9wk6gR9iZOfPhx,100,written
recFpTuQg1TUhpQkq,América Towers Hotel,america towers hotel|salvador|brazil,Brazil,recrI5AekdML6lWiq,100,written
recGc4H4NUrCTOhoW,Hotel Del Rey,hotel del rey|curitiba|brazil,Brazil,reck27ZPTfOnIvWOx,100,written
recHq4yXyN85k5v5I,Ibis Copacabana Posto 5,ibis copacabana posto 5|rio de janeiro|brazil,Brazil,rec1y1lkl0jggxYxu,100,written
recIHFWMYlJp5Fm4y,MATIZ NITERÓI DESIGN HOTEL,matiz niteroi design hotel|niteroi|brazil,Brazil,recCVguJMAggjUdC4,100,written
recJ0kZQylqUyt6iD,San Raphael Hotel,san raphael hotel|sao paulo|brazil,Brazil,rec8Ow4MFz5ctKZlu,100,written
recJLbQBudDmpfKov,Sleep Inn Guarulhos,sleep inn guarulhos|guarulhos|brazil,Brazil,rec9HH2cWyNbQbn1a,100,written
recKqbRzH2hizVEaZ,Hotel Gmatos,hotel gmatos|belo horizonte|brazil,Brazil,reci6Gn73nyTPDD6g,100,written
recO0CRI27kkZy1lw,Privé Thermas Hotel,prive thermas hotel|caldas novas|brazil,Brazil,recFCCKtWBX3Q0ttY,100,written
recOAWB5u03sKkyvG,Savaris Apart Hotel,savaris apart hotel|foz do iguacu|brazil,Brazil,recBhFpfhLOhuio0D,100,written
recP8dte6MLy8xFxE,Hotel Atlantico Praia,hotel atlantico praia|rio de janeiro|br,BR,reckqcxv0h6SACXD2,100,written
recPBnPLvRCfI9knZ,Osasco Hotel,osasco hotel|osasco|brazil,Brazil,recBt62AUOvikJXZj,100,written
recPQEzjArCfkXKv8,Quality Hotel & Suítes São Salvador,quality hotel & suites sao salvador|salvador|brazil,Brazil,reco9433E1Eco3RLW,100,written
recQjaZsdqewDCSm0,Beira Rio Hotel,beira rio hotel|belem|brazil,Brazil,recfJTTzBsOj7Njcx,100,written
recQke5pSRJ9kI2tQ,AlphaPark Hotel,alphapark hotel|goiania|brazil,Brazil,recCX7NijHzCv46Fb,100,written
recS6CsyIwHC4yUQi,Hotel Novo Mundo,hotel novo mundo|rio de janeiro|br,BR,recgqspakTISdzHXQ,100,written
recStv8OgtwRBXbn5,Hotel Paraiso das Águas,hotel paraiso das aguas|bonito|br,BR,recS4ujainThB3HD1,100,written
recTauqpKRCIZ4fWp,Quality Hotel Curitiba,quality hotel curitiba|curitiba|brazil,Brazil,rec2CuHxNh4pLUieN,100,written
recUJIcZOD7ExEy2k,Miller Flat Hotel,miller flat hotel|curitiba|brazil,Brazil,recFWJnQ4QHTS0723,100,written
recVnlM1vgjbeQp9P,Hotel Vila Serrana,hotel vila serrana|sete lagoas|brazil,Brazil,rech5cBSgDW1INZV4,100,written
recWm59XiEfh8I2fj,Home Green Home,home green home|campos do jordao|brazil,Brazil,recpMxbsHlRk8tVyB,100,written
recX4q0AnxtvGbm8F,Mero Hotel Boutique,mero hotel boutique|cajueiro da praia|brazil,Brazil,reck6m3yR4jQrwOr8,100,written
recXU7VBYkpBFCm7O,Littoral Hotel,littoral hotel|joao pessoa|brazil,Brazil,recpG24oWXitCSJRg,100,written
