brand,brandCode,censusRecordId,censusName,directoryName,ctyhocn,status,headline,primaryDescription
Curio Collection by Hilton,QQ,rec2UDYReyg9GnzRF,Curio Collection by Hilton Villa Mercedes Merida,"Villa Mercedes Merida, Curio Collection by Hilton",MIDVMQQ,ready,Elegant rooms and Colonial architecture,"We're in the hotel zone, across from the CIC. The US Consulate General and Paseo de Montejo are five minutes' walk, and downtown Merida is five kilometers away. Count on all-day dining, nighttime entertainment in our lobby bar, and 24-hour room service. We offer seven conference rooms, 24-hour fitness and business centers, a garden, and outdoor pool."
Curio Collection by Hilton,QQ,rec30RgNl0ReqOtYx,Zemi Miches All-Inclusive Resort Curio Collection by Hilton,"Zemi Miches Punta Cana All-Inclusive Resort, Curio Collection by Hilton",PUJMIQQ,ready,All-inclusive indulgence in Miches,"Enjoy oceanfront views at our all-inclusive resort overlooking the clear waters of Playa Esmeralda. We’re located 90 minutes’ drive from Punta Cana International Airport, on an exclusive beach near Redonda Mountain. Our resort features over 10 restaurants and bars, four pools, and daily entertainment. Club Azure and bungalow guests have access to additional dining options and a rooftop pool. We also offer a full-service spa and 10,000 sq. ft. of event space."
DoubleTree by Hilton,DT,rec0bJzOb120B2jEc,DoubleTree by Hilton Bogota Salitre AR,DoubleTree by Hilton Bogota Salitre AR,BOGDTDT,ready,Spa days in the Teusaquillo-Salitre district,"In the Teusaquillo-Salitre district of Bogotá, our hotel is five minutes from Gran Estación mall and a 13-minute drive from El Dorado Airport. We're four kilometers from Bogotá Botanical Gardens, and Mount Monserrate is eight kilometers from us. Enjoy our full-service spa, modified shuttle service, 24-hour fitness center, and a warm welcome cookie on arrival."
DoubleTree by Hilton,DT,recWEUUJs8nUqEO93,DoubleTree by Hilton Buenos Aires,DoubleTree by Hilton Buenos Aires,BUESIDT,ready,Minutes from shopping and attractions,"In Microcentro, find us near companies and attractions. Shopping at Galerias Pacífico and the Plaza San Martín are each a five-minute drive from the hotel. The Obelisco, Plaza de Mayo, and the Puerto Madero Waterfront Area are under two kilometers away. Enjoy our on-site restaurants, fitness center, event rooms, and an indoor pool and sauna."
DoubleTree by Hilton,DT,recGzMcfHqqLtFA4t,DoubleTree by Hilton Canela,DoubleTree by Hilton Caracol Canela,CXJCADT,ready,Close to attractions and nature,"In picturesque Serra Gaúcha, we’re close to the Space Adventure Canela and the Canela Ferris Wheel. The Catedral de Pedra is two km away. The town of Gramado is within six km, while Caracol Park is seven km from our door. Our on-site restaurant, and fitness center complete your stay."
DoubleTree by Hilton,DT,recpFa441YMotl8Lw,DoubleTree by Hilton Celaya,DoubleTree by Hilton Celaya,CYWCEDT,ready,Commercial leisure near central Celaya,"Find us on Boulevard Adolfo Lopez Mateos, in one of Celaya's commercial districts and steps from the main commercial area. We're less than three kilometers from the city center's Alameda Park and Temple of Carmen. Galerías Celaya is five minutes away. We offer a convention center for up to 800 people and a heated outdoor pool. A complimentary cookie starts your stay."
DoubleTree by Hilton,DT,recr2wc8oBpm46jWj,DoubleTree by Hilton Foz do Iguacu Brazil,DoubleTree by Hilton Foz do Iguacu Brazil,IGUCUDT,ready,Leisure near a waterpark and the city center,"Located on the main avenue of the city's tourist corridor next to Catuaí Shopping. Our hotel is a short drive from Foz do Iguaçu International Airport and the city center. Enjoy our indoor and outdoor pools, tennis court, soccer field, and spa. The famous Iguazu Falls are 25 minutes away."
DoubleTree by Hilton,DT,rec6IKyhTX11kxg85,DoubleTree by Hilton Guadalajara Centro Historico,DoubleTree by Hilton Guadalajara Centro Historico,GDLDTDT,ready,Historic beauty in every direction,"Find us in the historic city center, within three blocks of attractions, including Guadalajara Cathedral, the Degollado Theater, and museums. We offer a top-floor restaurant and bar overlooking the city, and several of our rooms and suites feature an outdoor terrace. Enjoy our fitness center and a warm DoubleTree Cookie when you arrive."
DoubleTree by Hilton,DT,recpSXUiBJyCS9ESu,DoubleTree by Hilton Guayaquil,DoubleTree by Hilton Guayaquil,GYEEKDT,ready,Shopping and views near Las Peñas,"We’re located in the north-central area of Guayaquil, directly across from the iconic Malecón 2000 boardwalk. We’re two blocks from Las Peñas, El Museo Del Cacao, and the Anthropological and Contemporary Art Museum, offering easy access to shopping and sightseeing. Enjoy stunning views of the Rio Guayas from our rooftop bar and our outdoor infinity pool."
DoubleTree by Hilton,DT,rec6xKwS2m883xRvS,DoubleTree by Hilton Hotel Bogota - Parque 93,DoubleTree by Hilton Hotel Bogotá - Parque 93,BOGNTDT,ready,Your base for Parque 93 and Zona Rosa,"We’re within blocks of Parque 93, and Zona Rosa’s shops and nightlife are a 10-minute drive away. The Gold Museum and Mount Monserrate are less than 13 km away. We have multilingual staff, a 24-hour shop, mountain views from our roof terrace, and live music in the bar. Enjoy our indoor pool, steam room, and massage services."
DoubleTree by Hilton,DT,recSTvtsdrlB4tzsA,DoubleTree by Hilton Hotel Cariari San Jose,DoubleTree by Hilton Hotel Cariari San Jose - Costa Rica,SJODTDT,ready,Easy access to the National Convention Center,"We're by Highway 1, about one kilometer from San José's National Convention Center. We offer a free shuttle to and from Juan Santamaría International Airport seven kilometers away. Our hotel features a heated outdoor pool, 24-hour fitness center, and free WiFi. Cariari Country Club and golf course are next door. Visit our bars, cafe, and restaurant."
DoubleTree by Hilton,DT,recZoafahfTVVw3Sd,DoubleTree By Hilton Hotel Iquitos,DoubleTree by Hilton Hotel Iquitos,IQTIPDT,ready,Soothing stays in historic Iquitos,"Overlooking Plaza de Armas de Iquitos, our hotel sits at the historic heart of Iquitos, steps from St. John the Baptist Cathedral. We're two blocks from the portside, linked to the Amazon River, and less than three kilometers from the airport. Enjoy a luxurious outdoor pool and waterfall, massage therapy, and a warm welcome cookie upon arrival."
DoubleTree by Hilton,DT,rec4Tk1N3YVhZQu4L,DoubleTree by Hilton Hotel Mexico City Santa Fe,DoubleTree by Hilton Hotel México City Santa Fe,MEXSTDT,ready,Relax next door to Expo Santa Fe,"Our hotel, connected to Hilton Garden Inn Mexico City Santa Fe, is in the Corporate District, one minute from Expo Santa Fe. Multinational corporations such as Chrysler and Microsoft are within a four-minute drive. Santa Fe City Mall and Parque la Mexicana are two kilometers away. Enjoy our heated pool, fitness center, and restaurant."
DoubleTree by Hilton,DT,recxCNeu71Xyy8xhY,DoubleTree by Hilton Hotel Queretaro,DoubleTree by Hilton Hotel Queretaro,QRODTDT,ready,Between Querétaro City and Corregidora Stadium,"Find us one block from Corregidora Stadium. The Querétaro Congress Center and historic Santiago de Querétaro are 10 minutes away, and we’re 50 minutes from the Peña de Bernal monolith. We have an indoor pool. Every stay begins with a warm DoubleTree cookie."
DoubleTree by Hilton,DT,recgikCWhrvjTV7X2,DoubleTree by Hilton Hotel San Juan Puerto Rico,DoubleTree by Hilton Hotel San Juan,SJUDTDT,ready,Condado nightlife on your doorstep,"Just moments from the beach and Condado’s vibrant scene, our hotel offers easy access to LMM Airport -just three miles away with easy highway access. Enjoy 24/7 pool access, a Beach Club shuttle, the relaxing Cloud Spa, and a lush tropical courtyard. Explore the buzz of Calle Loíza, savour on-site dining, and unwind in modern rooms featuring complimentary WiFi and 65” TVs."
DoubleTree by Hilton,DT,recylWxkvo9yFTDJj,DoubleTree by Hilton Hotel Santiago - Vitacura,DoubleTree by Hilton Hotel Santiago - Vitacura,SCLSVDT,ready,Downtown Santiago within easy reach,"Our hotel is just one block away from the Costanera Center and two kilometers from Parque Metropolitano de Santiago. Downtown Santiago, home to La Moneda Palace, Plaza de Armas, and the National Museum of Fine Arts, is under nine kilometers away. Enjoy stunning views of the Andes Mountains and a warm DoubleTree cookie on arrival."
DoubleTree by Hilton,DT,rec6yiFUq0xKltqep,DoubleTree by Hilton Hotel Veracruz,DoubleTree by Hilton Hotel Veracruz,VERMADT,ready,A beachside stay near central Veracruz,"Find us across the street from Regatas Beach, 10 minutes from the center of Veracruz. We're less than two kilometers from Acuario de Veracruz, the largest aquarium in Latin America, and 10 km from the historic fort San Juan de Ulua. Enjoy a warm DoubleTree cookie on arrival, a fitness center, and outdoor pool."
DoubleTree by Hilton,DT,recvQ61LspBBZxM0t,DoubleTree by Hilton Lima San Isidro,DoubleTree by Hilton Lima San Isidro,LIMALDT,ready,Stay comfortable and close to it all in Lima,"Find us in the financial district, San Isidro, within a half kilometer of shopping, dining and Bosque El Olivar. Jorge Chavez International Airport is 14 km from us, and sights like the Historic Center of Lima and Larcomar are less than six km away. Enjoy our signature restaurant, outdoor rooftop pool, solarium, and fitness center."
DoubleTree by Hilton,DT,recKSKfFK4qyFdsoz,DoubleTree by Hilton Managua,DoubleTree by Hilton Managua,MGANADT,ready,A quick trip to Villa Fontana excitement,"We're in the Villa Fontana area in southern Managua, three kilometers from the Galerias Santo Domingo Mall. You can park your car here for free, and a range of restaurants are within walking distance. Enjoy our fitness center and take in the mountain and lake views from our outdoor pool."
DoubleTree by Hilton,DT,recIKOxkqgylexSGR,DoubleTree by Hilton Mazatlan,DoubleTree by Hilton Mazatlan,MZTDTDT,ready,A beachfront haven in Mazatlán’s Golden Zone,"In the heart of Mazatlán’s vibrant Golden Zone, discover fantastic dining, shopping, and entertainment opportunities within minutes. Our uniquely modern beachfront hotel has direct beach access, four swimming pools, elevated dining experiences, and innovative gathering venues. Warm, authentic service completes your stay."
