appliedAt,censusRecordId,censusName,country,changeType,currentAffiliation,canonicalAffiliation,fieldsJson
2026-07-22T22:40:44.160Z,rechpqr6FU54kolgw,"Hotel El Panama by Faranda Grand, a member of Radisson Individuals",Panama,affiliation_normalize,"Radisson Individuals by Choice","Radisson Individual (Choice)","{""Affiliation"":""Radisson Individual (Choice)""}"
2026-07-22T22:40:44.431Z,recioal2ei61BfUlU,"Radisson Hotel Espirito Santo do Pinhal",Brazil,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:44.712Z,recjdH2Tyu2VzuGlu,"Radisson Blu Hotel & Residences, Punta Blanca",Ecuador,affiliation_normalize,"Radisson Blu by Choice","Radisson Blu (Choice)","{""Affiliation"":""Radisson Blu (Choice)""}"
2026-07-22T22:40:44.944Z,reckCUhhCBwcmr4xm,"Comfort Inn & Suites in Scarborough",Trinidad and Tobago,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:45.175Z,reckVbvXmaRgUR0I7,"Comfort Hotel Araraquara",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:45.447Z,reckVsfRC9Uu7gUUH,"Comfort Hotel Bauru",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:45.762Z,reckXdxL9QjSPDM0m,"Comfort Inn Monterrey Norte",Mexico,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:46.045Z,reckaUB0TwG0Cb6wW,"Manta Lodge Resort An Ascend Hotel Collection Member",Trinidad and Tobago,affiliation_normalize,"Ascend Collection","Ascend Hotel Collection","{""Affiliation"":""Ascend Hotel Collection""}"
2026-07-22T22:40:46.336Z,recl3N6lOAzypuVzl,"El Cid Granada Hotel",Mexico,affiliation_normalize,"Ascend Collection","Ascend Hotel Collection","{""Affiliation"":""Ascend Hotel Collection""}"
2026-07-22T22:40:46.574Z,reclMDaf12SrNMDS9,"El Cid Castilla Beach Hotel",Mexico,affiliation_normalize,"Ascend Collection","Ascend Hotel Collection","{""Affiliation"":""Ascend Hotel Collection""}"
2026-07-22T22:40:46.821Z,recljXyUE3I8sCoxc,"El Cid El Moro Beach Hotel",Mexico,affiliation_normalize,"Ascend Collection","Ascend Hotel Collection","{""Affiliation"":""Ascend Hotel Collection""}"
2026-07-22T22:40:47.047Z,reclz7kJwj8ingYtd,"Radisson Hotel Guayaquil",Ecuador,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:47.286Z,recmUIsMtSQstxOe5,"Radisson Hotel Anapolis",Brazil,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:47.527Z,recmwIu1CUPcrXKrt,"Radisson Hotel Alphaville",Brazil,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:47.758Z,recn3JrmcYAy2cMC8,"Comfort Suites Brasilia",Brazil,affiliation_normalize,"Comfort Suites","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:48.074Z,recnKqXBuizbOkD7D,"Radisson Blu Plaza El Bosque Santiago",Chile,affiliation_normalize,"Radisson Blu by Choice","Radisson Blu (Choice)","{""Affiliation"":""Radisson Blu (Choice)""}"
2026-07-22T22:40:48.346Z,recnOOi1m9szzaCZO,"Radisson Hotel Decapolis Miraflores",Peru,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:48.611Z,recntqtcFNwKZjXWE,"Radisson Hotel Cuernavaca",Mexico,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:48.886Z,reco6dhOREJ8JyAfa,"Comfort Inn Joinville",Brazil,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:49.113Z,recoJUXtur0QtOKhH,"Radisson Hotel Colonia Del Sacramento",Uruguay,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:49.355Z,recpAblJ67kBs4bHa,"Comfort Inn Hermosillo Airport",Mexico,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:49.586Z,recqjKt6MSUdEoo0t,"Comfort Serra da Canastra",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:49.852Z,recqyAf5fPBAGDIcM,"Faranda Collection Medellin A Member Of Radisson Individuals",Colombia,affiliation_normalize,"Radisson Individuals by Choice","Radisson Individual (Choice)","{""Affiliation"":""Radisson Individual (Choice)""}"
2026-07-22T22:40:50.115Z,recrPx45Dd2EMY3TH,"Radisson Hotel Maiorana Belem",Brazil,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:50.392Z,recsyaMGAIQQuvOI3,"Comfort Suites Vitoria",Brazil,affiliation_normalize,"Comfort Suites","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
