source_record_id,property_name,current_brand,city,lane,intake_class,decision,identity_confidence,human_review_required,production_writable_insert,queue_autopilot_enrichment,reasons,checks_passed
node/6604081464,Share Melvi Apartment,Barceló,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/7243015035,Arena Oceanview Hotel & La Terraza Restaurant,Private,Las Galeres,known_brand_census_intake,steward_brand_tag_review,steward_hold,Hold,true,false,false,steward_unresolved_osm_brand_tag,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/8026710897,Hyatt Zilara Cap Cana,Hyatt Zilara,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
node/8116547995,Majestic Mirage Punta Cana - All-Suite Resort,Majestic Resorts,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/8262599417,Casa Amelia,Meliá,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/9051047481,Surfbreak Cabarete,Romario,Unknown,known_brand_census_intake,steward_brand_tag_review,steward_hold,Hold,true,false,false,steward_unresolved_osm_brand_tag,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/9167682913,Hotel Naragua,RIU,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/9296353657,"Radisson Blu Resort & Residence, Punta Cana",Radisson Blu by Choice,Punta Cana,known_brand_census_intake,active_or_soft_brand_census_plus_autopilot,auto_insert,High,false,true,true,active_or_soft_brand_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/10823294756,Domescape Glamping Miches,Domescape,Unknown,known_brand_census_intake,steward_brand_tag_review,reject,Hold,true,false,false,official_url_denylisted_ota_or_social,has_name|not_hostel_or_hostal|has_country
node/11102602341,Villa Mamanita,Villa Mamanita,villa altagracia,known_brand_census_intake,steward_brand_tag_review,reject,Hold,true,false,false,official_url_denylisted_ota_or_social,has_name|not_hostel_or_hostal|has_country
