matchScore,registered,delegateName,delegateTitle,delegateCompany,delegateCountry,matchedOwner,ownerTargetId,priorityTier,knownContact,matchType,outreachReady,hasVerifiedContact
90,false,"Edouard Schwob","SVP Development","Accor","USA","Accor South America",recMH6We2qojx86LS,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Guillermo Yasutake","Head of Development","Grupo Presidente","Mexico","Grupo Presidente",recYLqAS0TKCGTfW9,A,"Ruth Arias","company_fuzzy|owner_company_fuzzy",,true
90,false,"Camil Yazbeck","Global Chief Development Officer","Accor","United Kingdom","Accor South America",recMH6We2qojx86LS,A,"","company_fuzzy|owner_company_fuzzy",false,
80,false,"James Andrews","Senior Managing Director","Integra Realty Resources - Miami/Caribbean","USA","Real Hotels & Resorts",recbkiwiCrlDpHi4Q,A,"","company_fuzzy",false,
80,false,"Melissa Calvo Vides","Associate Marketing Specialist","Cisneros Real Estate (Tropicalia)","USA","Real Hotels & Resorts",recbkiwiCrlDpHi4Q,A,"","company_fuzzy",false,
80,false,"Rebecca Cocchiola","Managing Director","Singerman Real Estate","USA","Real Hotels & Resorts",recbkiwiCrlDpHi4Q,A,"","company_fuzzy",false,
80,false,"Bernardo Escobar","Financial Modeling Associate","Onirius Capital","Mexico","Riu Hotels & Resorts",recikKw2HW21znRUp,A,"Luis Riu Güell","company_fuzzy",,true
80,false,"Christopher Henry","Co-Founder & CEO","Majestic Hospitality Group Inc.","USA","Majestic Resorts",recmx5AqgkBgH72Vr,A,"","company_fuzzy",false,
80,false,"Linda Levy","President","Setai Realty","USA","Real Hotels & Resorts",recbkiwiCrlDpHi4Q,A,"","company_fuzzy",false,
80,false,"TOMAS MIRO","MANAGING PARTNER","ONIRIUS HOSPITALITY ADVISORS","Panama","Riu Hotels & Resorts",recikKw2HW21znRUp,A,"Luis Riu Güell","company_fuzzy",,true
80,false,"Nastasha Monell","Marketing & Communications Manager","Cisneros Real Estate (Tropicalia)","USA","Real Hotels & Resorts",recbkiwiCrlDpHi4Q,A,"","company_fuzzy",false,
80,false,"Joanna Podsiadlik","Controller","Dorada Real Estate Development","USA","Real Hotels & Resorts",recbkiwiCrlDpHi4Q,A,"","company_fuzzy",false,
80,false,"Luis Ruiz","Managing Partner","ONIRIUS","Mexico","Riu Hotels & Resorts",recikKw2HW21znRUp,A,"Luis Riu Güell","company_fuzzy",,true
80,false,"RICARDO ZUNIGA","CEO","VERTEX REAL ESTATE","Mexico","Grupo RT",recTXUadeXOARBEMf,B,"","company_fuzzy",true,
70,false,"Octavian Charles","Chief Executive Officer","Invest Saint Lucia","Saint Lucia","Parks Hospitality Holdings",recjPIDhhVxP6GUrI,A,"Charles El-Mann Fasja","contact_name_partial",,true
70,false,"Neal Herman","President & COO","Guanacaste Land Company","Costa Rica","Bern Hotels & Resorts",recJlfkYk1y3y6JSq,A,"Herman Bern","contact_name_partial",,true
