propertyId,propertyUrl,rawHotelName,rawCity,rawCountry,rawBrand,matchRecommendedAction,possibleMatchConfidence,candidateDedupeKey,wouldWrite,skipReason
gt001,https://www.choicehotels.com/guatemala/guatemala-city/clarion-hotels/gt001,Clarion guatemala city,guatemala city,Guatemala,Clarion,create_new_candidate_after_policy_review,none,brand_directory|choice|gt001,yes,
gd001,https://www.choicehotels.com/grenada/st-george/ascend-hotels/gd001,Ascend Hotel Collection st george,st george,Grenada,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|gd001,yes,
gd002,https://www.choicehotels.com/grenada/st-georges/radisson-hotels/gd002,Radisson (Choice) st georges,st georges,Grenada,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|gd002,yes,
gy001,https://www.choicehotels.com/guyana/georgetown/ascend-hotels/gy001,Ascend Hotel Collection georgetown,georgetown,Guyana,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|gy001,yes,
ht004,https://www.choicehotels.com/haiti/petion-ville/ascend-hotels/ht004,Ascend Hotel Collection petion ville,petion ville,Haiti,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|ht004,yes,
ht002,https://www.choicehotels.com/haiti/jacmel/ascend-hotels/ht002,Ascend Hotel Collection jacmel,jacmel,Haiti,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|ht002,yes,
mf001,https://www.choicehotels.com/saint-martin/simpson-bay/ascend-hotels/mf001,Ascend Hotel Collection simpson bay,simpson bay,Saint Martin,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|mf001,yes,
mx183,https://www.choicehotels.com/mexico/saltillo/radisson-hotels/mx183,Radisson (Choice) saltillo,saltillo,Mexico,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|mx183,yes,
mx228,https://www.choicehotels.com/mexico/mexico-city/ascend-hotels/mx228,Ascend Hotel Collection mexico city,mexico city,Mexico,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|mx228,yes,
mx185,https://www.choicehotels.com/mexico/toluca/radisson-hotels/mx185,Radisson (Choice) toluca,toluca,Mexico,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|mx185,yes,
mx181,https://www.choicehotels.com/mexico/mexico-city/radisson-hotels/mx181,Radisson (Choice) mexico city,mexico city,Mexico,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|mx181,yes,
mx108,https://www.choicehotels.com/mexico/cuajimalpa-de-morelos/sleep-inn-hotels/mx108,Sleep Inn cuajimalpa de morelos,cuajimalpa de morelos,Mexico,Sleep Inn,create_new_candidate_after_policy_review,none,brand_directory|choice|mx108,yes,
mx153,https://www.choicehotels.com/mexico/playa-del-carmen/ascend-hotels/mx153,Ascend Hotel Collection playa del carmen,playa del carmen,Mexico,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|mx153,yes,
mx114,https://www.choicehotels.com/mexico/playa-del-carmen/ascend-hotels/mx114,Ascend Hotel Collection playa del carmen,playa del carmen,Mexico,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|mx114,yes,
tr824,https://www.choicehotels.com/mexico/resville/quality-inn-hotels/tr824,Quality Inn resville,resville,Mexico,Quality Inn,create_new_candidate_after_policy_review,none,brand_directory|choice|tr824,yes,
tr821,https://www.choicehotels.com/mexico/resville/quality-inn-hotels/tr821,Quality Inn resville,resville,Mexico,Quality Inn,create_new_candidate_after_policy_review,none,brand_directory|choice|tr821,yes,
tr823,https://www.choicehotels.com/mexico/resville/quality-inn-hotels/tr823,Quality Inn resville,resville,Mexico,Quality Inn,create_new_candidate_after_policy_review,none,brand_directory|choice|tr823,yes,
tr503,https://www.choicehotels.com/mexico/resville/econo-lodge-hotels/tr503,Econo Lodge resville,resville,Mexico,Econo Lodge,create_new_candidate_after_policy_review,none,brand_directory|choice|tr503,yes,
tr822,https://www.choicehotels.com/mexico/resville/quality-inn-hotels/tr822,Quality Inn resville,resville,Mexico,Quality Inn,create_new_candidate_after_policy_review,none,brand_directory|choice|tr822,yes,
mx155,https://www.choicehotels.com/mexico/san-miguel-de-allende/ascend-hotels/mx155,Ascend Hotel Collection san miguel de allende,san miguel de allende,Mexico,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|mx155,yes,
tr825,https://www.choicehotels.com/mexico/resville/quality-inn-hotels/tr825,Quality Inn resville,resville,Mexico,Quality Inn,create_new_candidate_after_policy_review,none,brand_directory|choice|tr825,yes,
pe007,https://www.choicehotels.com/peru/san-isidro-lima-27/radisson-hotels/pe007,Radisson (Choice) san isidro lima 27,san isidro lima 27,Peru,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|pe007,yes,
pe005,https://www.choicehotels.com/peru/miraflores/radisson-red-hotels/pe005,Radisson RED  (Choice) miraflores,miraflores,Peru,Radisson RED  (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|pe005,yes,
mx104,https://www.choicehotels.com/mexico/zacatecas/ascend-hotels/mx104,Ascend Hotel Collection zacatecas,zacatecas,Mexico,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|mx104,yes,
sr001,https://www.choicehotels.com/suriname/paramaribo/radisson-hotels/sr001,Radisson (Choice) paramaribo,paramaribo,Suriname,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|sr001,yes,
sv002,https://www.choicehotels.com/el-salvador/san-salvador/quality-inn-hotels/sv002,Quality Inn san salvador,san salvador,El Salvador,Quality Inn,create_new_candidate_after_policy_review,none,brand_directory|choice|sv002,yes,
sx001,https://www.choicehotels.com/sint-maarten/phillipsburg/ascend-hotels/sx001,Ascend Hotel Collection phillipsburg,phillipsburg,Sint Maarten,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|sx001,yes,
sv004,https://www.choicehotels.com/el-salvador/san-miguel/comfort-inn-hotels/sv004,Comfort Inn & Suites san miguel,san miguel,El Salvador,Comfort Inn & Suites,create_new_candidate_after_policy_review,none,brand_directory|choice|sv004,yes,
sv006,https://www.choicehotels.com/el-salvador/la-union/comfort-inn-hotels/sv006,Comfort Inn & Suites la union,la union,El Salvador,Comfort Inn & Suites,create_new_candidate_after_policy_review,none,brand_directory|choice|sv006,yes,
sx003,https://www.choicehotels.com/sint-maarten/simpson-bay/ascend-hotels/sx003,Ascend Hotel Collection simpson bay,simpson bay,Sint Maarten,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|sx003,yes,
pr029,https://www.choicehotels.com/puerto-rico/salinas/ascend-hotels/pr029,Ascend Hotel Collection salinas,salinas,Puerto Rico,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|pr029,yes,
pr006,https://www.choicehotels.com/puerto-rico/levittown/comfort-inn-hotels/pr006,Comfort Inn & Suites levittown,levittown,Puerto Rico,Comfort Inn & Suites,create_new_candidate_after_policy_review,none,brand_directory|choice|pr006,yes,
cr024,https://www.choicehotels.com/costa-rica/guancaste/radisson-blu-hotels/cr024,Radisson Blu (Choice) guancaste,guancaste,Costa Rica,Radisson Blu (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cr024,yes,
pn019,https://www.choicehotels.com/panama/panama/radisson-hotels/pn019,Radisson (Choice) panama,panama,Panama,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|pn019,yes,
