ownerName,priorityTier,propertyCount,countriesSummary,companyName,matchType,researchStatus,hasCompanyOverview,website,researchAction
Pavillion Hotels Group SAS,B,1,Colombia,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
"Melia Hotels International, S.A - ME Cabo",B,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Owner 1: Minor Hotel Group Limited | Owner 2: Minor Europe,B,1,Peru,Minor Hotel Group Limited,exact,import_only,false,https://minorhotels.com,add_costar_profile_screenshot
Club Med,B,1,Dominican Republic,Shanghai Club Med Holidays Travel Agency Co Ltd,partial,import_only,false,https://corporate.clubmed,add_costar_profile_screenshot
Eurobuilding Hotels Group,B,1,Venezuela,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Brookfield Corporation,B,1,Brazil,Brookfield Corporation,exact,import_only,false,https://brookfield.com,add_costar_profile_screenshot
Hotelsolymarresort S.A. De CV,B,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Columbia Sussex Corporation,B,1,Sint Maarten (Dutch part),Columbia Sussex Corporation,exact,import_only,false,https://columbiasussex.com,add_costar_profile_screenshot
IHG Hotels & Resorts,B,1,Aruba,IHG Hotels & Resorts,exact,import_only,false,,add_costar_profile_screenshot
Grupo Hoteles Playa S.A.,B,1,Dominican Republic,Grupo Hoteles Playa S.A.,exact,import_only,false,https://senatorhr.com,add_costar_profile_screenshot
Evenia Hotels Panama,B,1,Panama,Evenia Hotels,partial,import_only,false,https://eveniahotels.com,add_costar_profile_screenshot
Owner 1: IRSA | Owner 2: Pérez Companc S.A. | Owner 3: IHG Hotels & Resorts,B,1,Argentina,IHG Hotels & Resorts,exact,import_only,false,,add_costar_profile_screenshot
VH Hotels & Resorts,B,1,Dominican Republic,H-Hotels GmbH,partial,import_only,false,https://h-hotels.com,add_costar_profile_screenshot
Owner 1: Camino Real Hoteles | Owner 2: Fibra Hotel Mexico,B,1,Mexico,Camino Real Hoteles,exact,profile_partial,false,https://caminoreal.com,complete_company_overview
