recordId,name,country,fieldsUpdated,sources,proposed
reco5yu7An6aAAtb2,Mediterranea Hostel,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cordoba""}"
reco6ZZmx9pnINTlF,Crystal Cove Villas,US Virgin Islands,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Charlotte Amalie""}"
reco6nLEMJob70lSM,Fortuna Royal,Guatemala,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Guatemala City""}"
reco6uZTYF8hdpjjJ,Hampton by Hilton Panama,Panama,Submarket,"{""Submarket"":""str_excel_str_id""}","{""Submarket"":""Panama City""}"
reco75SNycpJ73dX9,Gran Hotel Paris,Honduras,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""La Ceiba""}"
reco7MnKyUuBShJwL,La Casa De Sebas,Peru,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Mancora""}"
reco7XwxBQpZD23UT,Life Resort Hplus Long Stay,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Brasilia""}"
reco7pqozu44sSbyE,Hotel Miraflores,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Villahermosa""}"
reco7xosJHXlJSOQG,El Ameyal @ Vistazul Suites & Spa,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cabo San Lucas""}"
reco8QmGkdczkskiZ,Confort Ejecutivo Suites Linda Vista,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Guadalupe""}"
reco8kbs2PmGvOIV3,Enterprise Inn,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""León""}"
reco90NsFt7xvV8L8,Be Live Experience Las Morlas,Cuba,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Varadero""}"
reco9blNXL6N8VySu,Hotel Elite Tequendama,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cali""}"
reco9xyK87tmAGUxV,Hotel Casa De Adobe,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Villa De Leyva""}"
recoBEbcK5E0CEH1L,Flamboyant Hotel,Venezuela (Bolivarian Republic of),Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Isla Margarita""}"
recoBFjZsvtk6Igsi,Hotel Les Marines De St Francois,Guadeloupe,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""St Francois""}"
recoCJxA2Qem4vxnX,Hilton Garden Inn San Juan Condado,Puerto Rico,Market; Submarket,"{""Market"":""str_excel_str_id"",""Submarket"":""str_excel_str_id""}","{""Market"":""Puerto Rico"",""Submarket"":""San Juan Area""}"
recoCnnqJ2lQnxm7m,Galeria Plaza Leon,Mexico,Market; Submarket,"{""Market"":""str_excel_str_id"",""Submarket"":""str_excel_str_id""}","{""Market"":""Mexico Central/Bajio"",""Submarket"":""Leon""}"
recoCpD5qsJfFevI4,"Costa Serena Apart, Cabins & Spa",Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Villa La Angostura""}"
recoDNSB17WWV1wBT,The Singular Patagonia,Chile,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Puerto Natales""}"
recoE9P61m8rRZjhi,Villa Marie St Barth,Saint-Barthélemy,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Colombier""}"
recoEGPD6HCOCTFJO,Hotel Leonardo Da Vinci,Chile,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Las Condes""}"
recoEJ2oFVAhLJZUR,Gala Apartments,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Mendoza""}"
recoFBHRv2uUjBO6f,Selina San Jose,Costa Rica,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""San Jose""}"
recoFfSQAvSsLcX3I,Hotel Campestre Llano Dorado,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Villavicencio""}"
recoGMsRXiRdckLt2,Hotel Catedral La Paz,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""La Paz""}"
recoGtHDVwFuuBngg,Hotel Boutique Finca Lerida,Panama,Submarket,"{""Submarket"":""str_excel_str_id""}","{""Submarket"":""Chiriqui""}"
recoGuya5vhaZf6JV,Hotel Plaza Guanacaste,Nicaragua,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Managua""}"
recoGzLN7BQrXRw0L,Hotel Presidente Buenos Aires,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Buenos Aires""}"
recoHc3iGSFTaYqcj,Hotel Suites San Marcos,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Mexico City""}"
recoHfyFkykVB2Yip,Villa Tropical,Puerto Rico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Isabela""}"
recoHhXOHdalg49uA,Rosales Plaza Hotel,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Bogota""}"
recoHmwHUnNLII6y2,HS HOTSSON Hotel Querétaro,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Queretaro""}"
recoHxZEogrdM31aG,Garden Hotel,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cordoba""}"
recoI1nHykLH60BBK,Hotel Oliden,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Coatzacoalcos""}"
recoIDhsm5PYbW1xm,Morritts Grand Resort,Cayman Islands,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Grand Cayman""}"
recoIWIWZN0D48gky,Hotel Cabinas Leyco,Nicaragua,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""San Carlos""}"
recoIoV7oEVJ8pxVC,La Lorraine,Haiti,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Petion Ville""}"
recoJ4eh8OqM4OMez,Moniques Guest House,Trinidad and Tobago,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Maraval""}"
recoJQZDCmIGanMOS,Hotel Sevilla,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cuautla""}"
recoJZmPVANhotAsQ,Hotel Mi Casa Asi de Grande,Panama,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Llano Marin""}"
recoK73IZcE13G1rK,Hotel Metropolitana Plaza,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Bucaramanga""}"
recoK8z0l16II7wtv,Las Trojes Hotel,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Aguascalientes""}"
recoL2pzfd8KGezXR,Dall'Onder Vittoria Hotel,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Bento Goncalves""}"
recoLcN2iDelttpDn,"Hard Rock Montego Bay, Jamaica",Jamaica,Market; Submarket,"{""Market"":""census_city_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Jamaica"",""Submarket"":""Montego Bay""}"
recoM7GHC6uw4Bwpz,Aston Costa Verde Beach Resort,Cuba,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Rafael Freyre""}"
recoMcGWF9Hhm8iEz,Hotel Diego De Almagro Copiapo,Chile,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Copiapo""}"
recoMmkVzhQLNDwL8,Hotel Ajau,Guatemala,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Guatemala City""}"
recoOHO1wf897aONl,Hotel Azores,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Mexico City""}"
recoOcUCB37QVMRRg,Hotel Los Pescadores,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Los Barriles""}"
recoOwQrSLZ3Bh35m,Ponta Dos Ganchos Exclusive Resort,Brazil,Submarket,"{""Submarket"":""str_excel_str_id""}","{""Submarket"":""Brazil South Regional""}"
recoPiKaUCo2a3Sly,Hotel Plaza,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Tuxpan""}"
recoPjcbmL2lQNZqM,OYO Hotel Esplanada,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Brasília""}"
recoPklOCD55UQ4Up,L'Acqua Viva Resort & Spa,Costa Rica,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Nosara""}"
recoQvELuCqGWiyR2,Villa Vera Hotel Spa & Racquet Club,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Acapulco""}"
recoR9OPX6n2u3vEr,Hotel Kartaxa,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cartagena""}"
recoRHAyjoqP1KWge,Hotel Marsol,Honduras,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Tela""}"
recoRHigCnMPQy63n,Hotel Territorio,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Puerto Madryn""}"
recoS3OG7DyQhpzmq,Hostel Casarao,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Manaus""}"
recoS7rUu4QV482Fr,Melia Jardines Del Rey,Cuba,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cayo Coco""}"
recoSYkCv56KjiWi2,Montecristo Estates Luxury Villas,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cabo San Lucas""}"
recoSb4Hh95pcf4hk,Deja Resort,Jamaica,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Montego Bay""}"
recoSkALT4M5TEy1r,Pousada Dunas de Marapé,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Jequia Da Praia""}"
recoSwLUA3hu7mM5g,Hotel Nuevo Samaritano,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Medellin""}"
recoT4OVSq777VHez,Patachocas Eco Resort,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cairu""}"
recoTAYhEkORpMGlT,Rent A Suite Menorca,Chile,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Santiago""}"
recoTubGJ6ENfFfqo,Excellence El Carmen,Dominican Republic,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Punta Cana""}"
recoUPvRC0aYywOwM,Island View Guest House,US Virgin Islands,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Charlotte Amalie""}"
recoUTxI3G2m1DcM3,Argentino Hotel Casino & Resort,Uruguay,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Piriapolis""}"
recoUrUrUVSK1Uz2Y,Belize Yacht Club,Belize,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""San Pedro""}"
recoUx7Gta4OlFbJA,San Jose Hotel,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Guadalajara""}"
recoV8N5fbs9sXo4B,Laghetto Stilo Barra Rio,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Rio de Janeiro""}"
recoVTEcPxbNdFcDz,Emperador & Suites Puerto Vallarta,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Puerto Vallarta""}"
recoVv5iLM4LMGXtv,Hotel Mansilla,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Mar Del Plata""}"
recoWPFAXVxcmpNSk,Hotel Zurbaran,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Tlaxcala""}"
recoX9mLC3tGIdioi,Hotel Villa Maritza,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Melgar""}"
recoXNvJuijYzZ9KS,Caribe International,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cancun""}"
recoXqqi7H9q6BPjU,Hotel Portal del Santo,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cafayate""}"
recoY0vUuRtrGires,Six Senses Freedom Bay,Saint Lucia,Market; Submarket,"{""Market"":""census_city_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""St Lucia"",""Submarket"":""Soufriere""}"
recoYAdXfLpsiw3Qh,Alsol Luxury Village,Dominican Republic,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Punta Cana""}"
recoYYDMfJmtndgNJ,Hotel America,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Oaxaca""}"
recoYhbuun14I6jNG,Garbos Soleil Hotel,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Natal""}"
recoYj4R1TxKkBF91,Hotel Capri,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Puerto Escondido""}"
recoZnKKV0ykAQTW8,Celi Hotel Aracaju,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Aracaju""}"
recoaSXu4R5wzIjt7,Gran Hotel Cristal Gold,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cordoba""}"
recoalR6anmWKjfVy,Gran Jimenoa Hotel,Dominican Republic,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Jarabacoa""}"
recob48uC76lSCqM5,The Hummingbird Beach Resort,Saint Lucia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Soufriere""}"
recobFMAEYJdNNRQU,Amérian Gran Alumine Hotel,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Aluminé""}"
recobPnZfXFZY01II,Hodelpa Garden Suites Golf & Convention Center,Dominican Republic,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Juan Dolio""}"
