recordId,name,parentCompany,status,country
recmEdNWFZq6AhlWp,"Laghetto Viverone Bento Goncalves","Laghetto Hoteis",Open,Brazil
recmEe8YOsWDTsjMS,"ibis Styles Sao Paulo Barra Funda","AccorHotels",Open,Brazil
recmExnNTr1qtFrZF,"Theatre International Hostel","(blank parent)",Open,Guatemala
recmFFGTBXhKxWXyf,"Hotel Fortin Plaza","(blank parent)",Open,Mexico
recmFeIOMQlR4KwHV,"Hotel Rincon Del Arco","(blank parent)",Open,Mexico
recmG1BKLahw5NJhl,"Moov Hotel Curitiba","Moov Hotels",Open,Brazil
recmG8mLAn46r7QJ9,"Curitiba Palace","(blank parent)",Open,Brazil
recmGEybyBceBhjVW,"El Morado Mountain Logde","(blank parent)",Open,Chile
recmGMUzgqhf225u3,"Canouan Beach Hotel","(blank parent)",Open,Saint Vincent and the Grenadines
recmGNCktJZkq7Ryg,"Hostal Stella Bordestero","(blank parent)",Open,Chile
recmGPi42gSW7gEz2,"B&B Hotel Rio de Janeiro Copacabana Forte","B&B Hotels",Open,Brazil
recmGvJ1tGhxvtgiR,"Casa De La Vista Bed & Breakfast","(blank parent)",Open,Mexico
recmHuZvhWWEm79nY,"Grand Aston Varadero","PT. Archipelago International Indonesia",Open,Cuba
recmHvEiCOULwjKRY,"Hotel Posada Carmina","(blank parent)",Open,Mexico
recmIUWUVXtWdjJ84,"Hotel Del Parque","(blank parent)",Open,Mexico
recmJBTog8s13W7s3,"Hotel Bari Bucaramanga","(blank parent)",Open,Colombia
recmK6p4rlMytldeN,"Adonis Saint-Martin","(blank parent)",Open,Sint Maarten (Dutch part)
recmKSCrA9ZnLzBWV,"Pousada do Museu","(blank parent)",Open,Brazil
recmKiFp22x6nIqQJ,"Holiday Inn Express & Suites Monterrey Valle","IHG Hotels & Resorts",Open,Mexico
recmKm1fOIKj7XNle,"Hampton by Hilton Mazatlan","Hilton Worldwide",Pipeline,Mexico
recmKzuvqOy6m3roE,"Novotel Porto Alegre Airport","AccorHotels",Open,Brazil
recmLHqZ4iwKGkWXw,"Fiesta Inn Guadalajara Expo","Grupo Posadas, S.A.B. DE C.V.",Open,Mexico
recmLiNjGN7aSMtlc,"Terranova Hotel","(blank parent)",Open,Panama
recmMAYvIyRvXixJR,"ibis budget Aracaju","AccorHotels",Open,Brazil
recmNGZAZjjnH4JON,"Howard Johnson Bahia Blanca","Wyndham Hotels & Resorts",Pipeline,Argentina
recmNHvgey6AlWEqA,"Hosteria Austral by DOT Light","(blank parent)",Open,Argentina
recmNQEpy2Cp6qyoK,"Holiday Inn Navojoa","IHG Hotels & Resorts",Open,Mexico
recmNYAmkhVDOA3Id,"Hotel Marqueses","(blank parent)",Open,Peru
recmNdPjVt3sfpp3m,"Spotty Hotels Bogota","(blank parent)",Open,Colombia
recmOHIvzOU8S9S0L,"Hotel Osorio","(blank parent)",Open,Mexico
recmPaw96zHGFbH4q,"Mendihuaca Caribbean Resort Lewe Hotel","(blank parent)",Open,Colombia
recmPkzNmlbyhdhLY,"ibis Ribeirao Preto Vila do Golf","AccorHotels",Open,Brazil
recmPoKNmorQlbied,"Casa Bonita Hotel","(blank parent)",Open,Mexico
recmPwfkMvZCRMBqM,"Prince Hotel","(blank parent)",Open,Haiti
recmQ23xKP1kFBkmb,"Couples Sans Souci Resort","(blank parent)",Open,Jamaica
recmQRGPmlJgMEW2M,"Novotel Panama City","AccorHotels",Open,Panama
recmQqFkRB69h6b5s,"Hotel Bariloche","(blank parent)",Open,Brazil
recmRGcWbu6LmMZCt,"Easy Reta da Penha by Atlantica","(blank parent)",Open,Brazil
recmRrkrdHwtokpyV,"Hotel Eduardo Vii","(blank parent)",Open,Brazil
recmSPcP85wfXLldn,"Hotel Ludivina","(blank parent)",Open,Mexico
recmT0tuWcP5FBPPL,"GIO Suites Parque 93 Bogota","(blank parent)",Open,Colombia
recmTCqtbclzJl4Jk,"Hotel Suites Del Real","(blank parent)",Open,Mexico
recmTJUayLT9EpiJW,"Hotel Los Robles","(blank parent)",Open,Nicaragua
recmTloDbz7T2qTK9,"Alpino Hotel","(blank parent)",Open,Argentina
recmTnAx7Eh88FK8H,"Pousada Pier 7400","(blank parent)",Open,Brazil
recmToMotzA4maVrl,"Qallwa Pucallpa","(blank parent)",Open,Peru
recmTrKdu4o8ffbED,"Captain Morgan's Retreat","(blank parent)",Open,Belize
recmUIsMtSQstxOe5,"Radisson Hotel Anapolis","Choice Hotels International, Inc.",Open,Brazil
recmUgWwQSEfM9byQ,"Hotel El Alamo","(blank parent)",Open,Peru
recmUmMwxDUcb8qRo,"Hotel Columbia Sao Paulo","(blank parent)",Open,Brazil
recmUod8wJ0uso6FD,"Pousada Victoria Villa Campos do Jordao","(blank parent)",Open,Brazil
recmUodHFsTZeH12w,"Hotel Dan Carlton Belfort Medellin","(blank parent)",Open,Colombia
recmV0fQ7BLM7VmOT,"The St. Regis Toro Bahia Resort, Jamaica","Marriott International",Pipeline,Jamaica
recmVebjHWIb6zomi,"Mariner's Hotel","(blank parent)",Open,Saint Vincent and the Grenadines
recmWZHccLsFOPwmC,"Hotel Sao Jorge","(blank parent)",Open,Brazil
recmWgzbMIowwnFVw,"Novotel Vina Del Mar","AccorHotels",Open,Chile
recmXiV1t4v04ENus,"Exclusive Luxury Villas","(blank parent)",Open,Barbados
recmY76xjUYuLunF2,"Jicaro Island Lodge","(blank parent)",Open,Nicaragua
recmYcicjUfVU3PJn,"El Cortez Hotel","(blank parent)",Open,Mexico
recmYhW3pqLzHDyRp,"Hotel Jimenez","(blank parent)",Open,Mexico
recmYjLYifpr8s5gd,"Cala Di Volpe Boutique Hotel","(blank parent)",Open,Uruguay
recmYznJvaSTsaIA7,"Costa Azul Hotel","(blank parent)",Open,Mexico
recmZ0cBuhSiA1VU9,"Taua Resort & Convention Alexania","(blank parent)",Open,Brazil
recmZ5IDvMs8iquHX,"El Rey Palace Hotel","(blank parent)",Open,Bolivia
recmZ9OtC8jfDmLtA,"Chileno Bay Resort & Residences Auberge Collection","Auberge Resorts, LLC",Open,Mexico
recmZPZQ8ax9Vt0Bc,"Pleno Madero","(blank parent)",Open,Argentina
recmZXJU9XRYT8DGs,"Holiday Inn Express Monterrey Aeropuerto","IHG Hotels & Resorts",Open,Mexico
recmZihmkfTv7eJvU,"Hotel Ritz","(blank parent)",Open,Mexico
recmZs6u1CzyJtRxu,"The Villas On Great Bay","(blank parent)",Open,Sint Maarten (Dutch part)
recmaOzkgpR9mGrb0,"Alma San Juan","(blank parent)",Pipeline,Puerto Rico
recmaSe3dpnS5Z1Wl,"Esperanza Auberge Collection","Auberge Resorts, LLC",Open,Mexico
