status,recordId,name,country,city,currentSubmarket,strRegional,proposedSubmarket,confidence,source,reason
ready,recs0R5DMjeoklxVH,Posada En Donde El Indio Duerme,Mexico,Tlaquepaque,Tlaquepaque,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recs1NQ3BUeXq6Vuz,OYO Hotel San Remo,Brazil,Sao Paulo,São Paulo State Regional,yes,São Paulo,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recs1QyPr632nDpNt,The Aubrey Hotel,Chile,Santiago,Santiago,no,Santiago Centro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recs1XS5P7BcKMNTP,Desire Riviera Maya Pearl Resort,Mexico,Puerto Morelos,Puerto Morelos,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recs1jhF6Ah9zBOxy,EV Hotels Larimar City & Resort,Dominican Republic,Punta Cana,Punta Cana,no,Punta Cana / Bávaro / Cap Cana,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recs2FVcZ9ggGph6J,Hotel Penamar,Mexico,Rincon De Guayabitos,Rincon De Guayabitos,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recs2JM3uXqgAr9e0,Holiday Inn Express Belem Ananindeua,Brazil,Belem,Brazil North Regional,yes,Manaus,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,recs2YB6IxVL2WzvW,Antay Casino & Hotel,Chile,Copiapo,Copiapo,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recs2udYwLjr13Har,Hacienda Cerritos,Mexico,Todos Santos,Todos Santos,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recs3PpZk0uVdQ9k0,Hotel Kinbe,Mexico,Playa Del Carmen,Playa Del Carmen,no,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recs3n2tirdE2csDx,Marriott Sao Paulo Airport,Brazil,Guarulhos,São Paulo State Regional,yes,São Paulo,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,recs4QxhralB4SnDZ,Villagio Pacific Sueno Al Mar Residence & Hotel,Costa Rica,San Jose,San Jose,no,San José Metro,High,dealality_city_corridor_map,exact_city_map
ready,recs4oJNedEB6rvh0,Hotel Fresno Galerias,Mexico,Torreon,Torreon,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recs4zlTQ6jS2vLzA,The Great House Inn,Belize,Belize City,Belize,no,Belize City,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recs54QKMI7d5INud,Emporio Veracruz,Mexico,Veracruz,Boca Del Rio & Veracruz,no,Veracruz,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recs5eh14206t4VTT,Pinamar Beach Resort,Argentina,Pinamar,Pinamar,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recs5g6rWTbRNewNi,Hotel Nautilos Capurgana,Colombia,Capurgana,Capurgana,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recs5qOcsEj558qSb,ibis Lavras,Brazil,Lavras,Brazil Southeast Regional,yes,Other,Low,census_str_regional_other,str_regional_fallback_other
