appliedAt,censusRecordId,censusName,htmlFile,amenityCount
2026-07-23T07:41:10.909Z,recgmC79m175Dqusa,"Sleep Inn Monterrey Norte",reports\choice-amenity-html\mx106.html,55
2026-07-23T07:41:11.454Z,rechzUcoFTnygeEwK,"Sleep Inn Villahermosa",reports\choice-amenity-html\mx107.html,57
2026-07-23T07:41:12.033Z,recCdbhX9YK5Lfo6g,"Comfort Inn Delicias",reports\choice-amenity-html\mx159.html,58
2026-07-23T07:41:12.395Z,recl3N6lOAzypuVzl,"El Cid Granada Hotel",reports\choice-amenity-html\mx163.html,51
2026-07-23T07:41:12.941Z,rec1nxUTdoAJ3Am8N,"El Cid La Ceiba Beach Hotel",reports\choice-amenity-html\mx169.html,51
2026-07-23T07:41:13.486Z,rec9JUj4ObNRgs8JC,"Sleep Inn Guadalajara Galerias",reports\choice-amenity-html\mx174.html,29
2026-07-23T07:41:14.027Z,recntqtcFNwKZjXWE,"Radisson Hotel Cuernavaca",reports\choice-amenity-html\mx178.html,35
2026-07-23T07:41:14.600Z,rec6kARmGoWlSxpJV,"Radisson Poliforum Plaza Hotel Leon",reports\choice-amenity-html\mx179.html,32
2026-07-23T07:41:14.995Z,recABeu9m90R7W5xC,"Park Inn by Radisson Mazatlan",reports\choice-amenity-html\mx180.html,46
2026-07-23T07:41:15.360Z,rec41pj0cY3OXH0Hv,"Radisson Paraiso Hotel Mexico City",reports\choice-amenity-html\mx181.html,23
2026-07-23T07:41:15.940Z,recRTjo9e5hXY1WSk,"Radisson Hotel Tapatio Guadalajara",reports\choice-amenity-html\mx184.html,33
2026-07-23T07:41:16.479Z,recCsMQgmbOIyGm7e,"Comfort Inn Puebla Centro Historico",reports\choice-amenity-html\mx224.html,16
2026-07-23T07:41:17.051Z,rec1saEQEVimscdNZ,"Sleep Inn Puebla Centro Historico",reports\choice-amenity-html\mx225.html,11
2026-07-23T07:41:17.589Z,rec0aasxB3kfvUGk5,"Comfort Inn Queretaro Tecnologico",reports\choice-amenity-html\mx226.html,17
2026-07-23T07:41:18.179Z,recQcydlpW55d7TKb,"Radisson Puebla Angelopolis",reports\choice-amenity-html\mx227.html,29
2026-07-23T07:41:18.537Z,recSUtTbCWRjYhsUV,"Radisson RED Miraflores",reports\choice-amenity-html\pe005.html,23
2026-07-23T07:41:19.247Z,rec0mwr7EJqCW2ftV,"Hotel Bambito By Faranda Boutique, A Member Of Radisson Individuals",reports\choice-amenity-html\pn007.html,17
2026-07-23T07:41:19.622Z,rechpqr6FU54kolgw,"Hotel El Panama by Faranda Grand, a member of Radisson Individuals",reports\choice-amenity-html\pn008.html,25
2026-07-23T07:41:20.241Z,recURnlEeQal1W77R,"Hotel Faranda Guayacanes a member of Radisson Individuals",reports\choice-amenity-html\pn009.html,17
2026-07-23T07:41:20.771Z,rect6xTnJsjJyA6Ei,"Radisson Colon 2000 Hotel & Casino",reports\choice-amenity-html\pn010.html,22
2026-07-23T07:41:21.173Z,recCrrLjUcaghScfX,"Radisson Hotel Panama Canal",reports\choice-amenity-html\pn011.html,37
2026-07-23T07:41:21.554Z,recw2SzhnSQtODy4Y,"Hotel Faranda Express Soloy and Casino, A Member of Radisson Individuals",reports\choice-amenity-html\pn012.html,13
2026-07-23T07:41:22.026Z,recvZLmhFh4pyzYu8,"Radisson Hotel Paramaribo",reports\choice-amenity-html\sr001.html,39
2026-07-23T07:41:22.348Z,reccXi9kLfZrKEW42,"Quality Hotel Real Aeropuerto",reports\choice-amenity-html\sv002.html,33
2026-07-23T07:41:22.734Z,rec5FH1lc338JOxX1,"Comfort Inn Real San Miguel",reports\choice-amenity-html\sv004.html,27
2026-07-23T07:41:23.275Z,recebpzkwn6zMzja5,"Comfort Inn Real La Union",reports\choice-amenity-html\sv006.html,29
2026-07-23T07:41:23.906Z,reckCUhhCBwcmr4xm,"Comfort Inn & Suites in Scarborough",reports\choice-amenity-html\tt005.html,43
2026-07-23T07:41:24.339Z,rec6sVPgm8E8UNHTA,"Radisson Hotel Trinidad",reports\choice-amenity-html\tt007.html,24
