action,recordId,strId,sourceFile,rowNumber,fieldsUpdated,notes
updated,reczFxvygkpGla5hO,224438,"Existing - Caribbean, South and Central America.xls:46",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""Brazil Southeast Regional"",""city"":""Aracruz"",""country"":""Brazil"",""name"":""ibis Aracruz""}"
updated,recuWhHK22rd3V0tC,224744,"Existing - Caribbean, South and Central America.xls:47",,Market; Submarket; city; country; name,"{""Market"":""Brazil Northeast"",""Submarket"":""Brazil Northeast Regional"",""city"":""Arapiraca"",""country"":""Brazil"",""name"":""ibis Arapiraca""}"
updated,reckVbvXmaRgUR0I7,160311,"Existing - Caribbean, South and Central America.xls:48",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Araraquara"",""country"":""Brazil"",""name"":""Comfort Hotel Araraquara""}"
updated,rece2fkN4wUancmTj,222625,"Existing - Caribbean, South and Central America.xls:49",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Araraquara"",""country"":""Brazil"",""name"":""Hotel Araraquara By Mercure""}"
updated,recUeU5QzGAKlVAzl,228557,"Existing - Caribbean, South and Central America.xls:50",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Araraquara"",""country"":""Brazil"",""name"":""ibis budget Araraquara""}"
updated,recOFHyRVeOekh4Ik,308649,"Existing - Caribbean, South and Central America.xls:51",,Market; Submarket; city; country; name,"{""Market"":""Brazil Northeast"",""Submarket"":""Brazil Northeast Regional"",""city"":""Arcoverde"",""country"":""Brazil"",""name"":""Ibis Arcoverde - PE""}"
updated,rec2ihaWDf0mqtnaa,165770,"Existing - Caribbean, South and Central America.xls:52",,Market; Submarket; city; country; name,"{""Market"":""Peru Provincial"",""Submarket"":""Peru Regional"",""city"":""Arequipa"",""country"":""Peru"",""name"":""Casa Andina Premium Arequipa""}"
updated,recGndFiH4sgPfUYy,138275,"Existing - Caribbean, South and Central America.xls:53",,Market; Submarket; city; country; name,"{""Market"":""Peru Provincial"",""Submarket"":""Peru Regional"",""city"":""Arequipa"",""country"":""Peru"",""name"":""Casa Andina Select Arequipa Plaza""}"
updated,recLGSEdfm7GXNRYL,165764,"Existing - Caribbean, South and Central America.xls:54",,Market; Submarket; city; country; name,"{""Market"":""Peru Provincial"",""Submarket"":""Peru Regional"",""city"":""Arequipa"",""country"":""Peru"",""name"":""Casa Andina Standard Arequipa""}"
updated,recjVB7A0jclbqsis,277035,"Existing - Caribbean, South and Central America.xls:55",,Market; Submarket; city; country; name,"{""Market"":""Peru Provincial"",""Submarket"":""Peru Regional"",""city"":""Arequipa"",""country"":""Peru"",""name"":""Hampton by Hilton Arequipa""}"
updated,rec6jbpbNMBMzFYCj,262137,"Existing - Caribbean, South and Central America.xls:56",,Market; Submarket; city; country; name,"{""Market"":""Peru Provincial"",""Submarket"":""Peru Regional"",""city"":""Arequipa"",""country"":""Peru"",""name"":""Sonesta Hotel Arequipa""}"
updated,rec6JyqgDUj6gzPWi,153962,"Existing - Caribbean, South and Central America.xls:57",,Market; Submarket; city; country; name,"{""Market"":""Peru Provincial"",""Submarket"":""Peru Regional"",""city"":""Arequipa"",""country"":""Peru"",""name"":""Wyndham Costa Del Sol Arequipa""}"
updated,recwmpEkZKyCN47vn,286570,"Existing - Caribbean, South and Central America.xls:58",,Market; Submarket; city; country; name,"{""Market"":""Chile Provincial"",""Submarket"":""Chile Regional"",""city"":""Arica"",""country"":""Chile"",""name"":""Novotel Arica""}"
updated,recPdSi71uxuScVuD,172210,"Existing - Caribbean, South and Central America.xls:59",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""Armacao dos Buzios"",""city"":""Armacao dos Buzios"",""country"":""Brazil"",""name"":""PortoBay Armacao dos Buzios""}"
updated,recBeRi3vOoMoFrRB,171459,"Existing - Caribbean, South and Central America.xls:60",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""Armacao dos Buzios"",""city"":""Armacao dos Buzios"",""country"":""Brazil"",""name"":""Pousada Dos Buzios""}"
updated,recLuxHAWIL3zWNlb,295922,"Existing - Caribbean, South and Central America.xls:61",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Aruja"",""country"":""Brazil"",""name"":""ibis Aruja""}"
updated,recSUuZ81UPTPdQmH,225046,"Existing - Caribbean, South and Central America.xls:62",,Market; Submarket; city; country; name,"{""Market"":""Paraguay"",""Submarket"":""Paraguay"",""city"":""Asuncion"",""country"":""Paraguay"",""name"":""aloft Asuncion""}"
updated,recbw9QIBCpJqNilz,138317,"Existing - Caribbean, South and Central America.xls:63",,Market; Submarket; city; country; name,"{""Market"":""Paraguay"",""Submarket"":""Paraguay"",""city"":""Asuncion"",""country"":""Paraguay"",""name"":""Crowne Plaza Hotel Asuncion""}"
updated,recWQJwpF0OCdVBc4,232777,"Existing - Caribbean, South and Central America.xls:65",,Market; Submarket; city; country; name,"{""Market"":""Paraguay"",""Submarket"":""Paraguay"",""city"":""Asuncion"",""country"":""Paraguay"",""name"":""Esplendor By Wyndham Asuncion""}"
updated,rec5wFkkvk7p07NPj,201920,"Existing - Caribbean, South and Central America.xls:66",,Market; Submarket; city; country; name,"{""Market"":""Paraguay"",""Submarket"":""Paraguay"",""city"":""Asuncion"",""country"":""Paraguay"",""name"":""Gran Bourbon Asuncion Hotel""}"
updated,recj0s8y9XLlZTEXx,282011,"Existing - Caribbean, South and Central America.xls:67",,Market; Submarket; city; country; name,"{""Market"":""Paraguay"",""Submarket"":""Paraguay"",""city"":""Asuncion"",""country"":""Paraguay"",""name"":""Hilton Garden Inn Asuncion Aviadores del Chaco""}"
updated,recQbY6ZUz5dOO29c,260102,"Existing - Caribbean, South and Central America.xls:68",,Market; Submarket; city; country; name,"{""Market"":""Paraguay"",""Submarket"":""Paraguay"",""city"":""Asuncion"",""country"":""Paraguay"",""name"":""Holiday Inn Express Asuncion Aviadores""}"
updated,reccPPF0DeBpnaQ6f,228383,"Existing - Caribbean, South and Central America.xls:69",,Market; Submarket; city; country; name,"{""Market"":""Paraguay"",""Submarket"":""Paraguay"",""city"":""Asuncion"",""country"":""Paraguay"",""name"":""Hub Hotel Asuncion""}"
updated,recEsDPYYljPNTcwY,217588,"Existing - Caribbean, South and Central America.xls:70",,Market; Submarket; city; country; name,"{""Market"":""Paraguay"",""Submarket"":""Paraguay"",""city"":""Asuncion"",""country"":""Paraguay"",""name"":""ibis Asuncion""}"
updated,reco4cJXkhldDUhvb,201626,"Existing - Caribbean, South and Central America.xls:71",,Market; Submarket; city; country; name,"{""Market"":""Paraguay"",""Submarket"":""Paraguay"",""city"":""Asuncion"",""country"":""Paraguay"",""name"":""La Mision Hotel""}"
updated,recnPfWMHkXROp2X9,137651,"Existing - Caribbean, South and Central America.xls:73",,Market; Submarket; city; country; name,"{""Market"":""Paraguay"",""Submarket"":""Paraguay"",""city"":""Asuncion"",""country"":""Paraguay"",""name"":""Sheraton Asuncion Hotel""}"
updated,recKbpwa8gq8rYjTE,218236,"Existing - Caribbean, South and Central America.xls:78",,Market; Submarket; city; country; name,"{""Market"":""Brazil Northeast"",""Submarket"":""Brazil Northeast Regional"",""city"":""Bacabal"",""country"":""Brazil"",""name"":""ibis Bacabal""}"
updated,recLvffeGl3po2wta,236124,"Existing - Caribbean, South and Central America.xls:81",,Market; Submarket; city; country; name,"{""Market"":""Brazil South"",""Submarket"":""Brazil South Regional"",""city"":""Balneario Camboriu"",""country"":""Brazil"",""name"":""Brut by Slaviero Hotels""}"
updated,recvwf1XitnVXAmh8,291217,"Existing - Caribbean, South and Central America.xls:82",,Market; Submarket; city; country; name,"{""Market"":""Brazil South"",""Submarket"":""Brazil South Regional"",""city"":""Balneario Camboriu"",""country"":""Brazil"",""name"":""ibis Balneario Camboriu""}"
updated,recn02S0te32z4wRv,291879,"Existing - Caribbean, South and Central America.xls:83",,Market; Submarket; city; country; name,"{""Market"":""Brazil South"",""Submarket"":""Brazil South Regional"",""city"":""Balneario Camboriu"",""country"":""Brazil"",""name"":""ibis budget Balneario Camboriu""}"
updated,recITRXHN3SclvASw,220808,"Existing - Caribbean, South and Central America.xls:84",,Market; Submarket; city; country; name,"{""Market"":""Brazil South"",""Submarket"":""Brazil South Regional"",""city"":""Balneario Camboriu"",""country"":""Brazil"",""name"":""ibis Styles Balneario Camboriu""}"
updated,rec6ElKFjDUNL749C,156441,"Existing - Caribbean, South and Central America.xls:85",,Market; Submarket; city; country; name,"{""Market"":""Brazil South"",""Submarket"":""Brazil South Regional"",""city"":""Balneario Camboriu"",""country"":""Brazil"",""name"":""Mercure Camboriu""}"
updated,recic8lh0rykq37TH,214441,"Existing - Caribbean, South and Central America.xls:86",,Market; Submarket; city; country; name,"{""Market"":""St Kitts/Nevis"",""Submarket"":""St Kitts/Nevis"",""city"":""Banana Bay"",""country"":""Saint Kitts and Nevis"",""name"":""Park Hyatt St. Kitts Christophe Harbour""}"
updated,recEPjnDaYLlq8TAI,235651,"Existing - Caribbean, South and Central America.xls:87",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""Brazil Southeast Regional"",""city"":""Barbacena"",""country"":""Brazil"",""name"":""ibis budget Barbacena""}"
updated,recoTbwBeitvvPyc0,293950,"Existing - Caribbean, South and Central America.xls:89",,Market; Submarket; city; country; name,"{""Market"":""Brazil Northeast"",""Submarket"":""Brazil Northeast Regional"",""city"":""Barra de Santo Antonio"",""country"":""Brazil"",""name"":""Vila Gale Alagoas""}"
