appliedAt,censusRecordId,censusName,propertyId,propertyUrl,matchScore,nameSim,confidence,source
2026-07-06T08:20:56.724Z,recULuD2QBXPk4p2U,"Comfort Inn Tampico",MX056,https://www.choicehotels.com/tamaulipas/tampico/comfort-inn-hotels/mx056,88,1,high,choice_regional_enrichment
2026-07-06T08:20:57.104Z,recEVAyuUgQqrsAa6,"Comfort Inn Monterrey Valle",MX051,https://www.choicehotels.com/nuevo-leon/monterrey/comfort-inn-hotels/mx051,88,1,high,choice_regional_enrichment
2026-07-06T08:20:57.494Z,recROU7DMIHSXYyCc,"Sleep Inn Mexicali",MX095,https://www.choicehotels.com/baja-california/mexicali/sleep-inn-hotels/mx095,88,1,high,choice_regional_enrichment
2026-07-06T08:20:57.905Z,recIkCWtNd1CHHym0,"Comfort Inn Cordoba",MX050,https://www.choicehotels.com/veracruz/cordoba/comfort-inn-hotels/mx050,88,1,high,choice_regional_enrichment
2026-07-06T08:20:58.300Z,recFQa1744IMgIisH,"Sleep Inn Tijuana",MX094,https://www.choicehotels.com/baja-california/tijuana/sleep-inn-hotels/mx094,88,1,high,choice_regional_enrichment
2026-07-06T08:20:58.667Z,rec9JUj4ObNRgs8JC,"Sleep Inn Guadalajara Galerias",MX174,https://www.choicehotels.com/jalisco/zapopan/sleep-inn-hotels/mx174,88,1,high,choice_regional_enrichment
2026-07-06T08:20:59.109Z,recUBj49aTRdyP5Qg,"Comfort Inn & Suites Los Cabos",MX096,https://www.choicehotels.com/baja-california-sur/cabo-san-lucas/comfort-inn-hotels/mx096,88,1,high,choice_regional_enrichment
2026-07-06T08:20:59.486Z,rec7z5uQ9n5KRxloL,"Quality Inn Piedras Negras",MX058,https://www.choicehotels.com/coahuila/piedras-negras/quality-inn-hotels/mx058,88,1,high,choice_regional_enrichment
2026-07-06T08:20:59.887Z,rec41pj0cY3OXH0Hv,"Radisson Paraiso Hotel Mexico City",MX181,https://www.choicehotels.com/mexico/mexico-city/radisson-hotels/mx181,88,1,high,choice_regional_enrichment
2026-07-06T08:21:00.256Z,recbuXoBJ93bSGDhU,"Comfort Inn Morelia",MX087,https://www.choicehotels.com/michoacan/morelia/comfort-inn-hotels/mx087,88,1,high,choice_regional_enrichment
2026-07-06T08:21:00.672Z,reclMDaf12SrNMDS9,"El Cid Castilla Beach Hotel",MX164,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx164,88,1,high,choice_regional_enrichment
2026-07-06T08:21:01.095Z,recyL5evuY45rEV6E,"Comfort Inn San Luis Potosi",MX089,https://www.choicehotels.com/san-luis-potosi/san-luis-potosi/comfort-inn-hotels/mx089,88,1,high,choice_regional_enrichment
2026-07-06T08:21:01.470Z,recDRdpfwuFTi4hJt,"El Cid Marina Beach Hotel",MX166,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx166,88,1,high,choice_regional_enrichment
2026-07-06T08:21:01.913Z,rect1fxGKcQeJs2nB,"Sleep Inn Monclova",MX085,https://www.choicehotels.com/coahuila/monclova/sleep-inn-hotels/mx085,88,1,high,choice_regional_enrichment
2026-07-06T08:21:02.334Z,rec1nxUTdoAJ3Am8N,"El Cid La Ceiba Beach Hotel",MX169,https://www.choicehotels.com/quintana-roo/cozumel/ascend-hotels/mx169,88,1,high,choice_regional_enrichment
2026-07-06T08:21:02.713Z,recRJCsqWdTRChk7s,"Sleep Inn Mazatlan",MX091,https://www.choicehotels.com/sinaloa/mazatlan/sleep-inn-hotels/mx091,88,1,high,choice_regional_enrichment
2026-07-06T08:21:03.119Z,reckAXJ5I86EVPeSx,"Sleep Inn Hermosillo",MX093,https://www.choicehotels.com/sonora/hermosillo/sleep-inn-hotels/mx093,88,1,high,choice_regional_enrichment
2026-07-06T08:21:03.517Z,recWVBjYACTzmVLeN,"Comfort Inn Chihuahua",MX077,https://www.choicehotels.com/chihuahua/chihuahua/comfort-inn-hotels/mx077,88,1,high,choice_regional_enrichment
2026-07-06T08:21:03.953Z,rec7zHsAFkU4rgdye,"Sleep Inn Culiacan",MX079,https://www.choicehotels.com/sinaloa/culiacan/sleep-inn-hotels/mx079,88,1,high,choice_regional_enrichment
2026-07-06T08:21:04.392Z,recYWzUR6gif6SobH,"Quality Inn Monterrey La Fe",MX075,https://www.choicehotels.com/nuevo-leon/cd-guadalupe-nuevo-leon/quality-inn-hotels/mx075,88,1,high,choice_regional_enrichment
2026-07-06T08:21:04.809Z,recCdbhX9YK5Lfo6g,"Comfort Inn Delicias",MX159,https://www.choicehotels.com/chihuahua/ciudad-delicias/comfort-inn-hotels/mx159,88,1,high,choice_regional_enrichment
2026-07-06T08:21:05.194Z,reckXdxL9QjSPDM0m,"Comfort Inn Monterrey Norte",MX080,https://www.choicehotels.com/nuevo-leon/nuevo-leon/comfort-inn-hotels/mx080,88,1,high,choice_regional_enrichment
2026-07-06T08:21:05.605Z,recKReqQzFkyJgGdG,"Comfort Inn Puerto Vallarta",MX061,https://www.choicehotels.com/jalisco/puerto-vallarta/comfort-inn-hotels/mx061,78,0.75,high,choice_regional_enrichment
