brandName,censusRecordId,censusName,country,propertyId,website,blankFieldsJoined,hasUsableHtml,htmlFile
Quality Inn,recBId5NOA64PCIBO,Quality Inn & Suites Saltillo Eurotel,Mexico,MX070,https://www.choicehotels.com/coahuila/saltillo/quality-inn-hotels/mx070,Amenities; Hotel Description,no,reports/choice-amenity-html/mx070.html
Quality Inn,recuPczqHC2srskUK,Quality Suites Alphaville,Brazil,BR008,https://www.choicehotels.com/sao-paulo/barueri/quality-inn-hotels/br008,Amenities; Hotel Description,no,reports/choice-amenity-html/br008.html
Quality Inn,recfJwzEQpnITOiLm,Quality Suites Vila Olimpia,Brazil,BR025,https://www.choicehotels.com/sao-paulo/sao-paulo/quality-inn-hotels/br025,Amenities; Hotel Description,no,reports/choice-amenity-html/br025.html
Quality Inn,recak8mGBPSSEBswK,Quality Suites Vila Velha,Brazil,BR036,https://www.choicehotels.com/espirito-santo/vila-velha/quality-inn-hotels/br036,Amenities; Hotel Description,no,reports/choice-amenity-html/br036.html
Radisson Blu by Choice,recnKqXBuizbOkD7D,Radisson Blu Plaza El Bosque Santiago,Chile,CL012,https://www.choicehotels.com/chile/santiago/radisson-blu-hotels/cl012,Amenities; Hotel Description,no,reports/choice-amenity-html/cl012.html
Radisson Blu by Choice,recQ33UuRCjytmL54,Radisson Blu Sao Paulo,Brazil,BR167,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-blu-hotels/br167,Amenities; Hotel Description,no,reports/choice-amenity-html/br167.html
Radisson by Choice,rech8GkDM3tYQfXph,Radisson by Choice Saltillo,Mexico,MX183,https://www.choicehotels.com/mexico/saltillo/radisson-hotels/mx183,Amenities; Hotel Description,no,reports/choice-amenity-html/mx183.html
Radisson by Choice,recQVxeHdrKdQlQNF,Radisson Grenada Beach Resort,Grenada,GD002,https://www.choicehotels.com/grenada/st-georges/radisson-hotels/gd002,Amenities; Hotel Description,no,reports/choice-amenity-html/gd002.html
Radisson by Choice,rec99PlN1Z4j0pSZj,Radisson Hotel & Convention Center Toluca,Mexico,MX185,https://www.choicehotels.com/mexico/toluca/radisson-hotels/mx185,Amenities; Hotel Description,no,reports/choice-amenity-html/mx185.html
Radisson by Choice,recDLgo6qnMMm44Kr,Radisson Hotel Barra Rio De Janeiro,Brazil,BR153,https://www.choicehotels.com/rio-de-janeiro/barra-de-tijuca/radisson-hotels/br153,Amenities; Hotel Description,no,reports/choice-amenity-html/br153.html
Radisson by Choice,recoJUXtur0QtOKhH,Radisson Hotel Colonia Del Sacramento,Uruguay,UY003,https://www.choicehotels.com/uruguay/colonia-del-sacramento/radisson-hotels/uy003,Amenities; Hotel Description,no,reports/choice-amenity-html/uy003.html
Radisson by Choice,recnOOi1m9szzaCZO,Radisson Hotel Decapolis Miraflores,Peru,PE004,https://www.choicehotels.com/peru/miraflores/radisson-hotels/pe004,Amenities; Hotel Description,no,reports/choice-amenity-html/pe004.html
Radisson by Choice,reclz7kJwj8ingYtd,Radisson Hotel Guayaquil,Ecuador,EC003,https://www.choicehotels.com/ecuador/guayaquil/radisson-hotels/ec003,Amenities; Hotel Description,no,reports/choice-amenity-html/ec003.html
Radisson by Choice,recrPx45Dd2EMY3TH,Radisson Hotel Maiorana Belem,Brazil,BR155,https://www.choicehotels.com/para/belem/radisson-hotels/br155,Amenities; Hotel Description,no,reports/choice-amenity-html/br155.html
Radisson by Choice,recKsMXA0bk9sxztJ,Radisson Hotel Monterrey San Jeronimo,Mexico,MX182,https://www.choicehotels.com/nuevo-leon/monterrey/radisson-hotels/mx182,Amenities; Hotel Description,no,reports/choice-amenity-html/mx182.html
Radisson by Choice,rec8VbiatJup4g2ZI,Radisson Hotel Puerto Varas,Chile,CL013,https://www.choicehotels.com/chile/puerto-varas/radisson-hotels/cl013,Amenities; Hotel Description,no,reports/choice-amenity-html/cl013.html
Radisson by Choice,recB0sjy8eQbw7IkO,"Radisson Hotel Sao Paulo, Pinheiros",Brazil,BR183,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-hotels/br183,Amenities; Hotel Description,no,reports/choice-amenity-html/br183.html
Radisson by Choice,recwGtRq733LfHvaH,Radisson Montevideo Victoria Plaza Hotel,Uruguay,UY004,https://www.choicehotels.com/uruguay/montevideo/radisson-hotels/uy004,Amenities; Hotel Description,no,reports/choice-amenity-html/uy004.html
Radisson by Choice,recwmqTUKqPmsjElm,Radisson San Jose-Costa Rica,Costa Rica,CR025,https://www.choicehotels.com/costa-rica/san-jose/radisson-hotels/cr025,Amenities; Hotel Description,no,reports/choice-amenity-html/cr025.html
Radisson Individuals by Choice,recW9oKmmNs3gswgb,Hotel Faranda Bolivar Cucuta A Member Of Radisson Individuals,Colombia,CB010,https://www.choicehotels.com/colombia/cucuta/radisson-individuals-hotels/cb010,Amenities; Hotel Description,no,reports/choice-amenity-html/cb010.html
Radisson RED by Choice,recywhDndKbSG8pjY,Radisson RED Funes,Argentina,AA024,https://www.choicehotels.com/argentina/rosario/radisson-red-hotels/aa024,Amenities; Hotel Description,no,reports/choice-amenity-html/aa024.html
Ascend Hotel Collection,recl3N6lOAzypuVzl,El Cid Granada Hotel,Mexico,MX163,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx163,Hotel Description,yes,reports/choice-amenity-html/mx163.html
Ascend Hotel Collection,rec1nxUTdoAJ3Am8N,El Cid La Ceiba Beach Hotel,Mexico,MX169,https://www.choicehotels.com/quintana-roo/cozumel/ascend-hotels/mx169,Hotel Description,yes,reports/choice-amenity-html/mx169.html
Comfort Inn & Suites,recCdbhX9YK5Lfo6g,Comfort Inn Delicias,Mexico,MX159,https://www.choicehotels.com/chihuahua/ciudad-delicias/comfort-inn-hotels/mx159,Hotel Description,yes,reports/choice-amenity-html/mx159.html
Quality Inn,receraO6a2LBlAFS9,Quality Hotel Blumenau,Brazil,BR145,https://www.choicehotels.com/santa-catarina/blumenau/quality-inn-hotels/br145,Hotel Description,yes,reports/choice-amenity-html/br145.html
Radisson RED by Choice,rec5CiGXwcQVyFsVM,Radisson RED Ibirapuera,Brazil,BR185,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-red-hotels/br185,Hotel Description,yes,reports/choice-amenity-html/br185.html
