sourceRecordId,rawHotelName,rawCity,resolvedCity,rawWebsite,resolvedWebsite,qualityScore,route,reason,matchedBrand,censusRecommendedAction,wikidataQid,wikidataCity,wikidataWebsite,wikidataMatchConfidence,wikidataMatchScore,plan_tier,plan_next
way/174695425,Hotel Alto Cerro,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/175357851,Gran Bahia Principe Cayacoa,,,,,55,route_known_chain_not_active,known_chain_name,Bahía Príncipe,likely_new_candidate,,,,,,excluded_not_independent,route_to_branded_or_steward
way/176411662,Mi Cabana Resort,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/177332376,Crowne Plaza,Santo Domingo,Santo Domingo,,,85,route_branded_active_setup,name_alias_match,Crowne Plaza,likely_existing,Q111414843,,,high,75,excluded_not_independent,route_to_branded_or_steward
way/177332379,Renaissance Hotel,Santo Domingo,Santo Domingo,,,85,route_known_chain_not_active,known_chain_name,Renaissance Hotels,likely_new_candidate,,,,,,excluded_not_independent,route_to_branded_or_steward
way/198177958,Hotel Residence Playa Colibrí,,,https://www.tripadvisor.com/Hotel_Review-g259440-d489768-Reviews-Hotel_Residence_Playa_Colibri-Las_Terrenas_Samana_Province_Dominican_Republic.html,https://www.tripadvisor.com/Hotel_Review-g259440-d489768-Reviews-Hotel_Residence_Playa_Colibri-Las_Terrenas_Samana_Province_Dominican_Republic.html,70,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,Q111884794,,,high,90,reconcile_legacy_census,link_not_insert
way/198178374,Apartamentos Caribey,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/198178378,Hotel Albachiara,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/198787989,Sublime Samana Hotel & Residences,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/199921835,Gran Bahia Principe El Portillo,,,https://www.bahia-principe.com/en/resorts-in-dominican-republic/resort-el-portillo/,https://www.bahia-principe.com/en/resorts-in-dominican-republic/resort-el-portillo/,70,route_known_chain_not_active,known_chain_domain,Bahía Príncipe,needs_research,Q111414770,,,medium,60,excluded_not_independent,route_to_branded_or_steward
way/199921836,Hotel Palococo,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111884792,,,high,90,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
way/200927855,Cabañas Okey,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/200927856,Cabañas Si o No,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/200928828,Cabañas Costa Azul,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/200930776,Cabañas Príncipe,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/200931206,Cabañas Madrid,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/200931207,Cabañas Bayadesa,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/200933443,Cabañas Tía Tania,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/200933444,Cabañas Hey,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/200933445,Cabañas Preve,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/201100083,Cabañas Chévere,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/204089278,Casa Marina Beach & Reef,,,,,65,route_known_chain_not_active,osm_brand_tag_known_chain,Amhsa Marina Hotels,needs_research,Q111414746,,,medium,62,excluded_not_independent,route_to_branded_or_steward
way/206776565,Millenium,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/207310964,Hotel San Jose,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/213867957,Ciudad de Oro,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/213870000,Cabañas Populares,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/213871070,Cabañas Primavera,Santo Domingo Oeste,Santo Domingo Oeste,,,75,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,needs_research,manual_or_secondary_source
way/213871593,Florida,,Santo Domingo,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q112020372,Santo Domingo,,low,40,hard_case_no_website_no_city,webhound_candidate_after_wikidata
