status,recordId,name,country,city,strSubmarket,strRegional,existingDealality,proposedDealality,confidence,source,reason
ready,recUF12aRBJxaDdIU,Terra Nova BW Premier Collection,Jamaica,Kingston,Jamaica,no,,Kingston,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recUGuCWZg2sy33wF,City Express Junior by Marriott Cancun,Mexico,Cancun,Cancun Downtown/Airport,no,,Cancún Hotel Zone,Medium,dealality_city_corridor_map,exact_city_map
ready,recUIPucHIL3ycifW,Hostal Presidente,Peru,Aguas Calientes,Aguas Calientes,no,,Machu Picchu Access,High,dealality_keyword_corridor_map,name_keyword_machu_picchu_access
ready,recUJoREmoSEnjBO7,Dorado Naco Suite Resort,Dominican Republic,Puerto Plata,Puerto Plata,no,,Puerto Plata / Sosúa / Cabarete,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUL53D6aCFIIyrG,Casa Condado Hotel,Puerto Rico,San Juan,San Juan,no,,San Juan Metro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recULJU4Q4NT2BVl9,Prisma Suites Chico 94,Colombia,Bogota,Bogota,no,,Bogotá,High,dealality_keyword_corridor_map,name_keyword_bogota
ready,recUM5Xy994cXtJd3,Cacique Inacayal Lake & Spa Hotel,Argentina,San Carlos de Bariloche,San Carlos de Bariloche,no,,Bariloche,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUMQ8LsA3cXLyLG,El Tambo Dos De Mayo,Peru,Lima,Lima,no,,Lima Historic Center,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUN4AUZpiwFbsKi,Belizean Shores,Belize,San Pedro,Belize,no,,Belize City,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUOhHZzl16n95jR,Gran Hotel Bolivar,Peru,Lima,Lima,no,,Lima Historic Center,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUOjcK7BZAXUIIC,Blumen Haus Bed & Breakfast,Chile,Santiago,Santiago,no,,Santiago Centro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUP41QalcDgvLM7,Hotel Via Luz,El Salvador,San Salvador,San Salvador,no,,San Salvador,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUP5BmDKKRj3ic8,InterContinental Presidente Cancun Resort,Mexico,Cancun,Cancun Coast,no,,Cancún Hotel Zone,Medium,dealality_city_corridor_map,exact_city_map
ready,recUQ1e8dHXWvNkpT,Monarch Resort,Costa Rica,Jaco,Jaco,no,,Jacó / Herradura,Medium,dealality_keyword_corridor_map,name_keyword_jaco
ready,recUQtTMHFIyikIbX,Hotel Plaza El Bramador,Panama,La Loma,La Loma,no,,Casco Viejo / Waterfront,Medium,dealality_keyword_corridor_map,name_keyword_casco_waterfront
ready,recUSS8CFYJq3vDJX,Hotel Catedral Inn,Colombia,Barranquilla,Barranquilla,no,,Barranquilla,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUSTVu47cfrwyEy,Hotel Rodadero,Colombia,Santa Marta,Santa Marta,no,,Santa Marta,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUSXQCcA1yqLOwN,Colunbus Heights Apartments,Jamaica,Ocho Rios,Ocho Rios,no,,Ocho Rios,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUTUEN0fOAVPOYY,Hostal Praga Inn,Peru,Arequipa,Arequipa,no,,Arequipa,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUTYZ9FrYkADn8s,Seadust Cancun Family Resort,Mexico,Cancun,Cancun,no,,Cancún Hotel Zone,Medium,dealality_city_corridor_map,exact_city_map
ready,recUUKbie4t0mxiQG,Wake,Colombia,Medellin,Medellín,no,,Medellín,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUVMDkN8MHSFRwL,Casa Marina Sosua Trademark by Wyndham All Inclusive,Dominican Republic,Sosua,Dominican Republic Regional,yes,,Puerto Plata / Sosúa / Cabarete,High,dealality_keyword_corridor_map,name_keyword_north_coast
ready,recUVsOknwZKklFdd,whala!urban punta cana,Dominican Republic,Punta Cana,Punta Cana,no,,Punta Cana / Bávaro / Cap Cana,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUW35uWjUScX9Bj,Secrets The Vine Cancun,Mexico,Cancun,Cancun Coast,no,,Cancún Hotel Zone,Medium,dealality_city_corridor_map,exact_city_map
ready,recUWMCkLl0lAkpUi,Boulevard Suites,Chile,Santiago,Las Condes,no,,Las Condes,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUWRCIDHCQYI3g0,Riu Hotel Playacar,Mexico,Playa Del Carmen,Playa Del Carmen,no,,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUWxpTKp1EPFEXi,Bahia Principe Escape Aquamarine,Dominican Republic,Punta Cana,Dominican Republic Regional,yes,,Punta Cana / Bávaro / Cap Cana,High,dealality_keyword_corridor_map,name_keyword_punta_cana
ready,recUXR5ibAlyvLPKN,Hostal Villa Melgar,Peru,Arequipa,Arequipa,no,,Arequipa,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUXVugYoolhQDtT,Wyndham Palmas Beach and Golf Boutique Resort,Puerto Rico,Humacao,Puerto Rico Regional,yes,,East Coast / Island Access,High,dealality_city_corridor_map,pr_city_inference_map
ready,recUXz08ur05hs91J,Six Senses Papagayo,Costa Rica,Liberia,Liberia,no,,Guanacaste / Papagayo,High,dealality_city_corridor_map,exact_city_map
ready,recUZAUPv7vrUWkiN,Devossion by Live Aqua Playa del Carmen,Mexico,Playa Del Carmen,Playa Del Carmen,no,,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUa1Ofy2xVZVukP,Now Emerald Cancun,Mexico,Cancún,Cancun Coast,no,,Cancún Hotel Zone,Medium,dealality_city_corridor_map,exact_city_map
ready,recUam6fAD3kiN37g,El Greco Hotel,Bahamas,Nassau,Nassau,no,,Nassau / New Providence,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUciQwZeQNZJoDz,Sirenis Cocotal Beach Resort,Dominican Republic,Punta Cana,Punta Cana,no,,Punta Cana / Bávaro / Cap Cana,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUdJgSYDWW4HZWh,Polo Cusco Suites,Peru,Cusco,Cusco,no,,Cusco Historic Center,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUeNBb2GxtnePU0,W All Inclusive Corasol Playa del Carmen,Mexico,Playa del Carmen,Playa del Carmen,no,,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUeliprMuC46pgw,Av Hotel Express,Colombia,Medellin,Medellin,no,,Medellín,High,dealality_city_corridor_map,exact_city_map
ready,recUemp05770Nce5k,Don Antonio Posada,Uruguay,Colonia del Sacramento,Colonia del Sacramento,no,,Colonia,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUg3ivIaCh86I2Z,Hyatt Vivid Grand Island,Mexico,Cancún,Cancun Coast,no,,Cancún Hotel Zone,Medium,dealality_city_corridor_map,exact_city_map
ready,recUh7MFelsxxuCFZ,Cusco Plaza De Armas,Peru,Cusco,Cusco,no,,Cusco Historic Center,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUhKzauHeduu6Pj,Hotel Plaza San Martin,Honduras,Tegucigalpa,Tegucigalpa,no,,Tegucigalpa,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUiIPBlf2Mdg8NN,Best Western Estacion Central,Chile,Santiago,Santiago,no,,Santiago Centro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUjAf8hkG5S7kca,Cassa Lepage Art Hotel Buenos Aires,Argentina,Buenos Aires,Buenos Aires,no,,Buenos Aires,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUkmg595z7MCzkW,Hotel Santa Cecilia,Colombia,Cartagena,Cartagena,no,,Cartagena,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUlGPpwulemiQjI,Hostal Villa Toscana Bed & Breakfast,Guatemala,Guatemala City,Guatemala City,no,,Guatemala City,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUlHuCYLfk0qGgc,Sommelier Hotel,Chile,Santiago,Santiago,no,,Santiago Centro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUmjo7DH6Q8qW3O,Grand Hyatt Bogota,Colombia,Bogota,Bogota South & Avenida El Dorado,no,,Bogotá,High,dealality_keyword_corridor_map,name_keyword_bogota
ready,recUnBTixwCeIUIyi,Hilton Garden Inn Punta Cana,Dominican Republic,Punta Cana,Punta Cana,no,,Punta Cana / Bávaro / Cap Cana,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUos0waakyBIW56,La Casa Corazon,Panama,Bocas del Toro,Bocas del Toro,no,,Bocas del Toro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUqQ13K7Vx0RRbU,Hyatt Zilara Cancun,Mexico,Cancun,Cancun,no,,Cancún Hotel Zone,Medium,dealality_city_corridor_map,exact_city_map
ready,recUr4fd0ZbHGnYwN,Dazzler by Wyndham Lima Miraflores,Peru,Lima,Miraflores,no,,Miraflores,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUrWCNKLMl4bzQb,Villas Del Abey Hotel,Puerto Rico,Salinas,Salinas,no,,South Coast Regional City,High,dealality_city_corridor_map,pr_city_inference_map
ready,recUs1jcwtLdTKeYy,eSuites Hotel Recreio Shopping,Brazil,Rio de Janeiro,Barra da Tijuca,no,,Barra da Tijuca,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUsrD2GpPWxEjTK,"OYO Nobs Hotel, São João de Meriti",Brazil,Rio de Janeiro,Rio de Janeiro,no,,Rio de Janeiro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUuCrAbpllX5JIp,Finca El Oasis,Panama,Bajo Boquete,Bajo Boquete,no,,Boquete / Highlands,Medium,dealality_keyword_corridor_map,name_keyword_highlands
ready,recUvlpwQ1MUolvpQ,The Orchard Hotel,Bahamas,Nassau,Nassau,no,,Nassau / New Providence,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUvnAkvK3JomPWo,Hotel Lapa Rio De Janeiro,Brazil,Rio de Janeiro,Rio de Janeiro,no,,Rio de Janeiro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUwG3q75xzSAlJS,Holiday Inn Costa Rica,Costa Rica,Heredia,Heredia,no,,San José Metro,Medium,dealality_keyword_corridor_map,costa_rica_metro_city
ready,recUwYIxcAaEngISj,La Campana Hotel Boutique,Colombia,Medellin,Medellin,no,,Medellín,High,dealality_city_corridor_map,exact_city_map
ready,recUwZHVRH0GZFPIp,Sofitel Las Bovedas,Colombia,Cartagena,Centro Historico,no,,Cartagena,High,dealality_city_corridor_map,exact_city_map
ready,recUxB6v2TAhSYA4r,Howard Johnson by Wyndham La Plata,Argentina,La Plata,Buenos Aires Provincial,no,,Buenos Aires,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recV1aEHlhoHNHOJR,Hotel Tropicana,Costa Rica,Tamarindo,Tamarindo,no,,Tamarindo / North Pacific,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recV298X4EqH3ufda,Wyndham San Jose Herradura Hotel & Convention Center,Costa Rica,San Jose,San Jose,no,,Jacó / Herradura,Medium,dealality_keyword_corridor_map,name_keyword_jaco
ready,recV2RBRq2e0tJNi3,Wayqey Hotel,Peru,Cusco,Cusco,no,,Cusco Historic Center,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recV3Z4M55j5sVH3y,Hotel Tioga,Costa Rica,Puntarenas,Puntarenas,no,,Guanacaste / Papagayo,Medium,dealality_keyword_corridor_map,name_keyword_puntarenas_ferry
ready,recV4CLBrQDmudpMx,Condado Vanderbilt Hotel,Puerto Rico,San Juan,San Juan Area,no,,San Juan Metro,High,dealality_city_corridor_map,pr_city_inference_map
ready,recV4DBIXZTBJbpOc,Restaurante Y Hotel Quetzali,Guatemala,Guatemala City,Guatemala City,no,,Guatemala City,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recV4eUPFYQcrSsBE,Las Magnolias,El Salvador,San Salvador,San Salvador,no,,San Salvador,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recV5ErtzCCU1wEzF,Jungala Park Hotel at VidantaWorld Nuevo,Mexico,Riviera Maya,Riviera Maya,no,,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recV5N8ygkhnVXPq0,Ikonik Miraflores,Peru,Lima,Miraflores,no,,Miraflores,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recV5QAHVTGbpvmV2,Hidden Beach Resort Au Naturel Club,Mexico,Playa Del Carmen,Playa Del Carmen,no,,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recV5bvc3DPxwBkHP,Arawi Lima Hotel,Peru,Lima,Lima,no,,Lima Historic Center,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recV5q8hD8l8Fmlgn,Hotel Reconquista Plaza,Argentina,Buenos Aires,Buenos Aires,no,,Buenos Aires,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recV6Dy2JJfBMPNYk,Hotel Andes Plaza,Colombia,Bogota,Bogota North,no,,Bogotá,High,dealality_keyword_corridor_map,name_keyword_bogota
ready,recV87QihHD7cvFn6,Aligio Apart Hotel,Dominican Republic,Las Terrenas,Las Terrenas,no,,Samaná / Las Terrenas,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recV8pUpe6qRakLUF,Home Hotel Buenos Aires,Argentina,Buenos Aires,Buenos Aires,no,,Buenos Aires,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recV8u6S3e1S2XxXY,La Concordia Boutique Hotel,Panama,Panama,Panama City,no,,Panama City,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recVAKQp5P18wCHkk,Hotel Bocagrande by Prima Collection,Colombia,Cartagena,Cartagena,no,,Cartagena,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recVAMLqlmL3TwvrQ,Courtyard by Marriott Alajuela El Coyol,Costa Rica,Alajuela,Alajuela,no,,San José Metro,High,dealality_city_corridor_map,exact_city_map
ready,recVAfc9UFOo3RcuI,Arena Ipanema Hotel,Brazil,Rio de Janeiro,Rio de Janeiro Centre & Surrounding,no,,Rio de Janeiro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recVDs1cOruOlfTHD,Barrio Latino Hotel,Mexico,Playa Del Carmen,Playa Del Carmen,no,,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recVEGrwy8s1mZ4Ts,Hotel Mansion Real,Ecuador,Quito,Quito,no,,Quito,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recVEe0FaCdjPxGF2,Hotel Cali Real,Colombia,Cali,Cali,no,,Cali,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recVFFcxqvTis4yxC,Hotel Grano De Oro,Costa Rica,San Jose,San Jose,no,,San José Metro,High,dealality_city_corridor_map,exact_city_map
ready,recVFbFKdEX56Ojbf,Estancia IK Jose Ignacio,Uruguay,Punta Del Este,Punta Del Este,no,,Punta del Este,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recVFzyLEnlTW04ZW,Casuarinas Hotel,Bahamas,Nassau,Nassau,no,,Nassau / New Providence,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recVHvaiP5hDWoKze,The Legend Paracas Resort,Peru,Paracas,Peru Regional,yes,,Paracas,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recVID4ZGvG1Rkzbi,Hotel Villa Del Carmen,Peru,Arequipa,Arequipa,no,,Arequipa,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recVIUCRAli82RAcy,Serenity Hotel Boutique,Mexico,Playa del Carmen,Playa del Carmen,no,,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
