airtableRecordId,sourceType,rawHotelName,rawCountry,rawCity,retentionRecommendation,qualityScore,classification,reasons,matchConfidence,promotionEligibility,promotionRecommendation
recQF9SNprFqL2cWc,osm,Alisei,Dominican Republic,,duplicate_review,80,duplicate_review,duplicate_review retention or duplicate cluster,,,
recQFBRJ9aJuLg9WY,osm,Hotel El Chocho,Costa Rica,Nicoya,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
recQFCbwI6mQ39mDn,osm,Residencial Candeias Martim Pescador,Brazil,,duplicate_review,90,duplicate_review,duplicate_review retention or duplicate cluster,,,
recQFF1MMimcq6IfO,osm,Hote Mi Casa,Dominican Republic,,duplicate_review,55,duplicate_review,duplicate_review retention or duplicate cluster,,,
recQFFm8wGbiihDgA,osm,Stray Cat,Costa Rica,,keep_high_priority,80,keep_in_airtable,has website,none,not_eligible,hold_low_confidence
recQFJnPQkFq3mC3Y,osm,Hotel Portal,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQFTmkVmfoAfSh7,osm,Cabañas Belen,Mexico,Huasca de Ocampo,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
recQFbK3BF7JLgA4Y,osm,La Quinta Bacana hostel,Colombia,,keep_for_matching,65,keep_in_airtable,quality score/tier (65),none,not_eligible,hold_low_confidence
recQFcs8BPFwJoZ05,osm,Hotel Mitre,Argentina,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQFg0fDy9fi1XTB,osm,Hosteria Tiopullo,Ecuador,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQFq0YKcKWRS1Er,osm,Hotel Augusta,Colombia,,low_priority_hold,55,high_confidence_match_keep,high-confidence legacy census backwards match,high,eligible_for_promotion,promote_after_review
recQFtcRxKMGvyDbN,osm,Pousada Vitória Regia,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
