censusRecordId,censusName,affiliation,reason,matchScore,propertyUrl
recP1VmNzBP9lCDwc,Wyndham Alltra Samana All Inclusive Resort,Wyndham Alltra,no_directory_match,,
recPb7NZmtxLhtmNP,Wyndham Grand Mayakaan Residences Riviera Maya,Wyndham Grand,no_directory_match,,
recQU8gjbd8kSYmAe,Ramada Encore by Wyndham San Luis Potosi,Ramada Encore,no_directory_match,,
recQUnYv8eTjGnvMR,Super 8 Nagua,Super 8,no_directory_match,,
recRBVN04TuHRbwNh,Howard Johnson Alvear,Howard Johnson,no_directory_match,,
recRBdh1egp7fADSx,Howard Johnson by Wyndham San Pedro,Howard Johnson,no_directory_match,,
recRPoJ0XNQUVEk3C,Days Inn by Wyndham Uberlandia,Days Inn,no_directory_match,,
recRUArBkr7DNluvf,Wyndham Garden San Miguel,Wyndham Garden,no_directory_match,,
recS46vzLRXhVvexH,Wyndham Costa Del Sol Cusco,Wyndham,no_directory_match,,
recSh4wnzIjj0Vo9h,Days Inn & Suites by Wyndham La Plata,Days Inn,no_directory_match,,
recSo2AG5k5aN03hc,Howard Johnson by Wyndham Formosa Casino,Howard Johnson,no_directory_match,,
recSuqfYDdf83EXfS,Howard Johnson Escobar Hotel,Howard Johnson,no_directory_match,,
recTNSuaKEN0Ikd8z,Wyndham Santa Marta Aluna Beach,Wyndham,no_directory_match,,
recTqzFytf2qHSvVH,Wyndham Costa del Sol Piura,Wyndham,no_directory_match,,
recU64fQslW2um1mn,Wyndham Concepcion Pettra,Wyndham,no_directory_match,,
recUxB6v2TAhSYA4r,Howard Johnson by Wyndham La Plata,Howard Johnson,no_directory_match,,
recVCvjmQMgPhL8eh,Wyndham Garden Mazatlan Marina,Wyndham Garden,no_directory_match,,
recVKaJBUT5EmMalV,Tryp by Wyndham Brasilia,Tryp by Wyndham,no_directory_match,,
recVmfBsBNgs0EKaS,Howard Johnson Punta Cana,Howard Johnson,no_directory_match,,
recW3m5yJnwQhZzvK,Ramada by Wyndham St. Kitts Resort,Ramada,no_directory_match,,
recWBikBUufxvok8E,Tryp by Wyndham Uberaba,Tryp by Wyndham,no_directory_match,,
recWXtv2JRUI8uZLv,Howard Johnson by Wyndham Villa General Belgrano,Howard Johnson,no_directory_match,,
recWc9F5JVqcsjCMo,Wyndham Alltra Vallarta,Wyndham Alltra,no_directory_match,,
recWenTY06O795Wn0,Microtel Inn & Suites by Wyndham San Luis Potosi,Microtel Inn & Suites by Wyndham,no_directory_match,,
recX30ZtORstFfyuJ,Days Inn Sao Paulo,Days Inn,no_directory_match,,
recXH8FMO9rB3pFwC,Days Inn Punta Cana,Days Inn,no_directory_match,,
recXVLwVQH7Hy78tz,La Quinta Inns & Suites La Romana,La Quinta Inns & Suites,no_directory_match,,
recXjbcoRFIlUkQJL,Dazzler by Wyndham Puerto Madryn,Dazzler by Wyndham,no_directory_match,,
recXlDyaXDRm1TKWK,Ramada by Wyndham Hola Culiacan,Ramada,no_directory_match,,
recY2cBMMLUF5PmSB,Tryp by Wyndham San Cristobal,Tryp by Wyndham,no_directory_match,,
recZLyRBfXblbVJoT,Wyndham Claudia,Wyndham,no_directory_match,,
recZSWU7grehh7Ucp,Howard Johnson by Wyndham Neuquen,Howard Johnson,no_directory_match,,
recZi6OWEmQjoHGIl,Ramada Encore By Wyndham Osasco,Ramada,no_directory_match,,
recatwqBg5jZa8VQF,Super 8 Bani,Super 8,no_directory_match,,
recbQvH39pa1pTn1C,Dazzler by Wyndham La Plata,Dazzler by Wyndham,no_directory_match,,
recbW2uYbCDEvXPlq,Viva Tangerine by Wyndham A Trademark All Inclusive,Trademark Collection by Wyndham,no_directory_match,,
recbjOoqUzUwLis5L,Wyndham Olimpia Royal Hotel,Wyndham,no_directory_match,,
recboTWUvOy4k2uQu,Wyndham Tamarindo,Wyndham,no_directory_match,,
recby9mSU0RfGYIYA,Howard Johnson by Wyndham San Francisco Resort & Conv Center,Howard Johnson,no_directory_match,,
recc5o0MugXHCEzhl,Howard Johnson by Wyndham Funes,Howard Johnson,no_directory_match,,
reccGMTbaYrb4UuCp,Howard Johnson by Wyndham Rio Cuarto Casino,Howard Johnson,no_directory_match,,
reccLcYyKk9JuZlwZ,Microtel Inn & Suites by Wyndham Irapuato,Microtel Inn & Suites by Wyndham,no_directory_match,,
reccyaISIKTUSsUOH,"Caribbean Suites Juan Dolio, Dazzler by Wyndham",Dazzler by Wyndham,no_directory_match,,
recdINxzTJsPLkPh9,Wyndham Costa del Sol Chiclayo,Wyndham,no_directory_match,,
recdQ6y9O65BuRxbK,Ramada Encore by Wyndham Queretaro,Ramada Encore,no_directory_match,,
recdXWle5uylNo5ac,Hilton Garden Inn Mexico City Polanco,Wyndham Garden,no_directory_match,,
recdZMomvMJtchMxI,"Viva Heavens by Wyndham, A Trademark All Inclusive",Trademark Collection by Wyndham,no_directory_match,,
recdi354ShidpLgzv,La Quinta by Wyndham Ciudad Juarez Near US Consulate,La Quinta Inns & Suites,no_directory_match,,
rece0vHZWqfoHt9W5,Wyndham Manta Sail Plaza Hotel and Convention Center,Wyndham,no_directory_match,,
rece3HDXI55Pl4hlG,Wyndham Garden Santa Barbara d'Oeste,Wyndham Garden,no_directory_match,,
receVZ5EsXbNuCIpX,La Quinta Inns & Suites Punta Cana,La Quinta Inns & Suites,no_directory_match,,
recew4xocijPVa97R,Wingate by Wyndham Punta Cana,Wingate by Wyndham,no_directory_match,,
recf0T6Bv4OYBJAmi,Super 8 Santo Domingo,Super 8,no_directory_match,,
recfHeOJmiUOMCoIG,Wyndham Garden El Morro Montecristi,Wyndham Garden,no_directory_match,,
recfZgiH9lFb4n5UY,Bel Air Business Salamanca Trademark Collection by Wyndham,Trademark Collection by Wyndham,no_directory_match,,
recfeM7LPZKtMMCW2,Howard Johnson by Wyndham Plaza Jujuy,Howard Johnson,no_directory_match,,
recg8vj1jvMVTL8hN,Trademark by Wyndham Quintana Roo,Trademark Collection by Wyndham,no_directory_match,,
recglijPsI90zDtUB,Microtel Inn & Suites by Wyndham Cuauhtemoc Campos Menonitas,Microtel Inn & Suites by Wyndham,no_directory_match,,
rechH9nsV5ktBIV6x,Howard Johnson by Wyndham Veracruz,Howard Johnson,no_directory_match,,
rechHfoYoGCqqsUOc,Howard Johnson Villa Carlos Paz,Howard Johnson,no_directory_match,,
rechPiTCFsvoRx9GA,Casa di Sirena Ilhabela,Wyndham,no_directory_match,,
rechS7jIXnylCOIGP,Wyndham Garden Antofagasta Pettra,Wyndham Garden,no_directory_match,,
rechXCZlby9Gyc6hK,Days Cascavel,Days Inn,no_directory_match,,
rechmOnCxzIWFZcpY,Wyndham Garden Penha,Wyndham Garden,no_directory_match,,
recibdAJBSrwN85RU,Wyndham Garden Saltillo,Wyndham Garden,no_directory_match,,
recieTUCMrqJ5YjOR,Ramada by Wyndham Brasilia Alvorada,Ramada,no_directory_match,,
recig6kT8vEAyodRH,Days Inn by Wyndham Piedras Negras,Days Inn,no_directory_match,,
recizTpIWMpBcSL54,Ramada Lagoa St International Airport,Ramada,no_directory_match,,
recjUN2VQhIvt6lJ7,Wyndham Alltra Cancun All Inclusive Resort,Wyndham Alltra,no_directory_match,,
recjoifU7UYVYDZJ9,Wyndham Garden Mazatlan Marina,Wyndham Garden,no_directory_match,,
reckMy5XauqqHeNPi,Wyndham Hotels and Resorts Santa Marta,Wyndham,no_directory_match,,
reckY7sQdmwk62csA,Howard Johnson San Fernando del Valle de Catamarca,Howard Johnson,no_directory_match,,
reckfSU5PgZ2nuj3c,Wyndham Hotels and Resorts Barreirinhas,Wyndham,no_directory_match,,
reckqsNQIpZ9jmHqJ,"Viva V Samana by Wyndham, A Trademark Adults All Inclusive",Trademark Collection by Wyndham,no_directory_match,,
reclBR9z1NejkoieD,Wyndham Costa del Sol Pucallpa,Wyndham,no_directory_match,,
reclvEpskp5W9bHHS,Super 8 Punta Cana,Super 8,no_directory_match,,
recmNGZAZjjnH4JON,Howard Johnson Bahia Blanca,Howard Johnson,no_directory_match,,
recmp1sFzk0qKYPKv,Days Inn by Wyndham Montevideo,Days Inn,no_directory_match,,
recmrqwySeXxkl6dU,La Quinta by Wyndham Puebla Palmas Angelopolis,La Quinta Inns & Suites,no_directory_match,,
recnFpEfYD5cEBFdS,Wyndham Hotels and Resorts Santo Domingo,Wyndham,no_directory_match,,
recnZChsEDnSG8ug0,Wyndham Tortola BVI Lambert Beach Resort,Wyndham,no_directory_match,,
recnrgDoYQ0yvbN2o,Super 8 by Wyndham Manzanillo,Super 8,no_directory_match,,
recntK4u8vJLggyIP,Registry Collection Hotels Natal,Registry Collection Hotels,no_directory_match,,
recoEYHPLKUBr1tFe,Howard Johnson by Wyndham Pergamino,Howard Johnson,no_directory_match,,
recp57M707JagrlJU,Wyndham Primeiro de Maio,Wyndham,no_directory_match,,
recpCqBOyip54T69w,Esplendor Jujuy,Esplendor,no_directory_match,,
recpDFBYLxfy1ypq6,Ramada by Wyndham Tampico Centro,Ramada,no_directory_match,,
recpUCzPcFIbVxYMO,TRYP by Wyndham Brasilia Nacoes,Tryp by Wyndham,no_directory_match,,
recpcuoW61b58l7yp,Ramada by Wyndham Macae Hotel & Suites,Ramada,no_directory_match,,
recpjQUxqjfhS6IIo,Ramada Encore by Wyndham Puebla,Ramada Encore,no_directory_match,,
recpncdTi0LT3ADKS,Wyndham Hotels and Resorts Santa Marta,Wyndham,no_directory_match,,
recpuUCqEzC1I0rXJ,Wyndham Merida,Wyndham,no_directory_match,,
recpxKqaTw9JO1Bos,Wyndham Cabo San Lucas,Wyndham,no_directory_match,,
recpxLwoUlT4rYA07,Wyndham Garden Lujan,Wyndham Garden,no_directory_match,,
recq7PdwcUkBDDRbU,Clarita's Beach Bar & Resort,WorldHotels Elite,no_directory_match,,
recqM475xNqxhZV4H,Microtel Inn & Suites by Wyndham Chihuahua,Microtel Inn & Suites by Wyndham,no_directory_match,,
recqPKmKvNVJNlYSN,La Quinta by Wyndham San Jose Chiapa Puebla,La Quinta Inns & Suites,no_directory_match,,
recqPsqjqETrfSlX7,Esplendor by Wyndham Punta Blanca,Esplendor,no_directory_match,,
recr1HvixFs5lt9MS,Wyndham Reef Resort Grand Cayman,Wyndham,no_directory_match,,
recrYSp99eS1U4HTN,Ramada by Wyndham Acapulco Hotel & Suites,Ramada,no_directory_match,,
recrb9tlY4pUyjBc1,La Quinta Inns & Suites,La Quinta Inns & Suites,no_directory_match,,
recrbEcbZBwzPKY6h,Wyndham Garden Castanhal,Wyndham Garden,no_directory_match,,
recrbay0hEBPcD4YY,Wyndham Garden Durango,Wyndham Garden,no_directory_match,,
recri4U43qOh9EWHL,Ramada Aguascalientes,Ramada,no_directory_match,,
recrxVdnHZPtrIgiJ,Viva Miches by Wyndham a Trademark All Inclusive Resort,Trademark Collection by Wyndham,no_directory_match,,
recsCZBNBCy1FO9Ug,Registry Collection Hotel Ceiba,Registry Collection Hotels,no_directory_match,,
recsOzaTW7Ugoh4wu,Wyndham Tulum,Wyndham,no_directory_match,,
recsWO9jrKmnrEOt5,Howard Johnson Resort & Center Convention Chascomus,Howard Johnson,no_directory_match,,
recsph1decH8FYYn4,La Quinta by Wyndham Aguascalientes,La Quinta Inns & Suites,no_directory_match,,
rect5xKs3oyQecHrL,La Quinta by Wyndham San Luis Potosi,La Quinta Inns & Suites,no_directory_match,,
rectF5WuWrvFj1zXv,Ramada Ponta Grossa,Ramada,no_directory_match,,
rectpEtwg3rhyIUEj,Wyndham Salvador Hangar Aeroporto,Wyndham,no_directory_match,,
recu6FZzIXpr3cr5n,Baymont by Wyndham Lazaro Cardenas,Baymont,no_directory_match,,
recuLJddYKhMaNL0w,Ramada by Wyndham Manaus Torres Center,Ramada,no_directory_match,,
recuU6MiJhP36NDkR,Ramada Plaza by Wyndham Leon,Ramada,no_directory_match,,
recud2pfRXzYJBNOZ,Wyndham Alltra Samana All Inclusive Resort,Wyndham Alltra,no_directory_match,,
recuvEZhfVLFiU4nS,"Bel Air Business Mexico City WTC, Trademark by Wyndham",Trademark Collection by Wyndham,no_directory_match,,
recvRsHC0E2P8zDFy,Howard Johnson by Wyndham Plaza Hotel Mayorazgo,Howard Johnson,no_directory_match,,
recvWL7n6eErPL3Oy,Howard Johnson by Wyndham Piedras Moras,Howard Johnson,no_directory_match,,
recvWiidR06FzQRrs,Wyndham Garden Bavaro Cap Cana,Wyndham Garden,no_directory_match,,
recvqqBTCzFsq930n,Ramada by Wyndham Campinas Viracopos,Ramada,no_directory_match,,
recvwQEK26ABAbGGg,Howard Johnson by Wyndham San Pedro Resort & Marina,Howard Johnson,no_directory_match,,
recw91bfevK8JcpA1,Howard Johnson by Wyndham Morelia Calle Real,Howard Johnson,no_directory_match,,
recwGBLFa5Q8fGPru,Wyndham Puebla Angelopolis,Wyndham,no_directory_match,,
recwNcmNK5LHcxA3E,Ramada Encore by Wyndham Aguascalientes,Ramada Encore,no_directory_match,,
recwP5QLyVEMwwjEM,Wyndham Hotels and Resorts Juan Dolio,Wyndham,no_directory_match,,
recwfCBnC9NVEFW3l,Esplendor by Wyndham Mazatlan,Esplendor,no_directory_match,,
recwfMoDxKSVwSOVW,Registry Collection Jarabacoa,Registry Collection Hotels,no_directory_match,,
recwkGHUGIjwM5Sru,Wyndham Bento Goncalves,Wyndham,no_directory_match,,
recwrOn9Hqp7eEnBI,Howard Johnson by Wyndham Toluca,Howard Johnson,no_directory_match,,
recx44OVfsjF6FGhD,Howard Johnson by Wyndham Sierras Hotel and Casino,Howard Johnson,no_directory_match,,
recxoAL2QlCBwz02N,Wyndham Basseterre,Wyndham,no_directory_match,,
recxqBtTfsyLnO6jv,"San Luis Potosí, A Registry Collection Hotel",Registry Collection Hotels,no_directory_match,,
recyMQdzjGjramA4z,Days Inn by Wyndham Zarate,Days Inn,no_directory_match,,
recz1MfzXbTFJALEL,Ramada by Wyndham Porto Seguro Praia,Ramada,no_directory_match,,
recz1jEjUPe0wGFh2,Esplendor Mazatlan,Esplendor,no_directory_match,,
reczDOaVdtF0f1XMK,Wyndham Hotels and Resorts Sisal,Wyndham,no_directory_match,,
reczQxZmcG3OD6Ntr,Dolce Hotels & Resorts El Higo,Dolce Hotels & Resorts,no_directory_match,,
reczTR9OOSc2ClUQA,Howard Johnson Hotel Rinconada De Los Andes,Howard Johnson,no_directory_match,,
reczgxkrdcUxAUjRW,Microtel Inn & Suites by Wyndham Toluca,Microtel Inn & Suites by Wyndham,no_directory_match,,
reczxsue4AGFDPTwM,Wyndham Foz Do Iguacu,Wyndham,no_directory_match,,
