record_id,identity_key,property_name,queue,reason
recnGMudY5WiYKeaA,ind_ihg_mx_mexav,"Holiday Inn Express Ciudad de Mexico Condesa",source_discovery_insert,"steward"
recnJKz9nemQl9bwz,ind_marriott_mx_tijxi,"City Express by Marriott Tijuana Insurgentes",source_discovery_insert,"steward"
recnQNqtY6EgOUlMZ,ind_marriott_mx_mtyfp,"Four Points by Sheraton Galerias Monterrey",source_discovery_insert,"steward"
recnUes3FsA8AzgMK,ind_marriott_mx_bjxxg,"City Express by Marriott Celaya Galerias",source_discovery_insert,"steward"
recnWY3v8avlAsxBY,ind_marriott_mx_mtyfa,"Four Points by Sheraton Monterrey Airport",source_discovery_insert,"steward"
recnYE8SNeM2QE6wK,ind_hilton_mx_cdjvchx,"Hampton Inn by Hilton Ciudad Victoria",source_discovery_insert,"steward"
recnYvlhJHNdDOc1N,ind_preferred_mx_311221,"Hotel Xcaret Arte",source_discovery_insert,"steward"
recnlsjm1zdUiTZ0D,ind_accor_mx_b552,"Novotel Mexico City World Trade Center",source_discovery_insert,"steward"
recnu9oR7TgvIJKLu,ind_marriott_co_smrmc,"Santa Marta Marriott Resort Playa Dormida",source_discovery_insert,"steward"
recnvHzmIEV5ls92h,ind_ihg_mx_mlmch,"Holiday Inn Express Morelia Centro Historico",source_discovery_insert,"steward"
reco1AJuPUj9XV1bT,ind_ihg_mx_midsa,"Holiday Inn Express Merida",source_discovery_insert,"steward"
reco2Fwf6VBBHSzQZ,ind_accor_co_b206,"Ibis budget Medellín Itagüí Metro",source_discovery_insert,"steward"
reco4kXJWEpjWKDpk,ind_marriott_mx_cuufp,"Four Points by Sheraton Distrito Uno Chihuahua",source_discovery_insert,"steward"
reco7guOJ29TMdlAQ,ind_ihg_mx_qroav,"avid hotels Queretaro Centro Sur",source_discovery_insert,"steward"
recoGI3BaW8xQXvUU,ind_choice_mx_mx080,"Comfort Inn Monterrey Norte",source_discovery_insert,"steward"
recoKIP6S1Gh5fSXb,ind_choice_mx_mx104,"Choice property MX104",source_discovery_insert,"steward"
recoSgitZZ3hE3U6z,ind_ihg_mx_acago,"Holiday Inn Chilpancingo",source_discovery_insert,"steward"
recodiZIwEYLg73z0,ind_choice_mx_mx050,"Comfort Inn Cordoba",source_discovery_insert,"steward"
recoi3GR3P76j3Hf8,ind_marriott_mx_pdsxp,"City Express by Marriott Piedras Negras",source_discovery_insert,"steward"
recoiMzXMUz8fnGWm,ind_accor_mx_9615,"Sofitel Mexico City Reforma",source_discovery_insert,"steward"
recor3rpWDIZ1rBkX,ind_wyndham_mx_viva-maya-a-trademark-all-inclusive-resort,"Viva Maya by Wyndham, A Trademark All Inclusive Resort",source_discovery_insert,"steward"
recovfyuKvlp8CRFl,ind_ihg_mx_gdlpi,"Staybridge Suites Guadalajara Novena",source_discovery_insert,"steward"
recp2MjyvuBsK007b,ind_hilton_mx_sjdwawa,"Waldorf Astoria Los Cabos Pedregal",source_discovery_insert,"steward"
recp3HVbTMHKqJ4UE,ind_marriott_mx_pvrsi,"Sheraton Buganvilias Puerto Vallarta",source_discovery_insert,"steward"
recpCVIPq4lqsebP9,ind_accor_mx_6843,"ibis Juarez Consulado",source_discovery_insert,"steward"
recpWbPz7qGdjx8ZV,ind_accor_mx_6930,"ibis San Luis Potosi",source_discovery_insert,"steward"
recpaZHxX5vqm9qla,ind_marriott_mx_pbcmc,"Marriott Puebla Hotel Meson del Angel",source_discovery_insert,"steward"
recpgyJfJa8yVkYQH,ind_marriott_mx_mexws,"The Westin Santa Fe, Mexico City",source_discovery_insert,"steward"
recplFBvp9x0s75fO,ind_accor_co_b0p5,"Sofitel Barú Cartagena",source_discovery_insert,"steward"
recpsYGVpvXIWERAh,ind_marriott_mx_cunpo,"City Express Plus by Marriott Cancún Aeropuerto Riviera",source_discovery_insert,"steward"
recpwddzuhZ2afb7E,ind_marriott_do_sdqcd,"Courtyard by Marriott Santo Domingo Piantini",source_discovery_insert,"steward"
recpwmxZPqnTSAKDw,ind_marriott_cr_sjocy,"Courtyard by Marriott San Jose Escazu",source_discovery_insert,"steward"
recpy2x1uUtYCbtNT,ind_hilton_mx_sjdlchh,"Hilton Los Cabos Beach & Golf Resort",source_discovery_insert,"steward"
recq1L0McPXA3WNKs,ind_hilton_mx_pbcmmup,"MM Grand Hotel Puebla, Tapestry Collection by Hilton",source_discovery_insert,"steward"
recq2T4TEIag1HL3O,ind_marriott_mx_hmoxh,"City Express by Marriott Hermosillo",source_discovery_insert,"steward"
recq5QzaAtJ8nTNe3,ind_ihg_mx_puefb,"Holiday Inn Express Puebla",source_discovery_insert,"steward"
recqCMKCp8C4vVtLy,ind_ihg_mx_bjxpi,"Staybridge Suites Silao",source_discovery_insert,"steward"
recqF09JSGjZEMKSC,ind_ihg_mx_pazrl,"Holiday Inn Express Tuxpan",source_discovery_insert,"steward"
recqK7LVXJe0j4juW,ind_preferred_co_1448,"93 Luxury Suites & Residences",source_discovery_insert,"steward"
recqUNysE7tfbpFlW,ind_marriott_do_pujrs,"Royalton Splash Punta Cana, An Autograph Collection All-Inclusive Resort & Casino",source_discovery_insert,"steward"
recqahyKbB0J70KVs,ind_hilton_do_sdqaphx,"Hampton by Hilton Santo Domingo Airport",source_discovery_insert,"steward"
recqbBSuYkOZRqEvS,ind_preferred_cr_414958,"Cala Luna Boutique Hotel & Villas",source_discovery_insert,"steward"
recqby6BSX25W0j4H,ind_hilton_co_bogeddt,"DoubleTree By Hilton Bogota Calle 100",source_discovery_insert,"steward"
recqdJthjwPWWXXFh,ind_marriott_mx_tijxo,"City Express by Marriott Tijuana Otay",source_discovery_insert,"steward"
recqf6OcQ45RPFWaD,ind_marriott_mx_mexsf,"JW Marriott Hotel Mexico City Santa Fe",source_discovery_insert,"steward"
recqmUKdVqHbr5xpY,ind_marriott_cr_lirwi,"The Westin Reserva Conchal, an All-Inclusive Golf Resort & Spa",source_discovery_insert,"steward"
recr6Vl1i2s42Fypd,ind_ihg_mx_mtycp,"Crowne Plaza Monterrey Aeropuerto",source_discovery_insert,"steward"
recr7JIdCtAd8UNVt,ind_hilton_mx_cunwawa,"Waldorf Astoria Riviera Maya",source_discovery_insert,"steward"
recr7UYJGEvU7EvkO,ind_choice_mx_mx225,"Sleep Inn Puebla Centro Histórico",source_discovery_insert,"steward"
recrDsnPokjb2XwNF,ind_marriott_mx_mxljm,"City Express Junior by Marriott Mexicali",source_discovery_insert,"steward"
recrEDeuOcnTkMnTf,ind_wyndham_mx_belair-unique-a-hotel,"BelAir Unique, a Wyndham Hotel",source_discovery_insert,"steward"
recrGQ14hIsU5fXLj,ind_hilton_mx_mtyaigi,"Hilton Garden Inn Monterrey Airport",source_discovery_insert,"steward"
recrI1jSym6HBHLud,ind_marriott_co_mdemc,"Medellin Marriott Hotel",source_discovery_insert,"steward"
recrMhsgoHifqDBjf,ind_marriott_mx_culmc,"Culiacan Marriott Hotel",source_discovery_insert,"steward"
recrOarbboWtON928,ind_ihg_mx_tgzrf,"Holiday Inn Express Tuxtla Gutierrez La Marimba",source_discovery_insert,"steward"
recrPSpmAtLPMUT3j,ind_accor_mx_6960,"ibis Chihuahua",source_discovery_insert,"steward"
recrQKem2BtuN6Y3r,ind_marriott_pa_ptyak,"Sortis Hotel, Spa & Casino, Autograph Collection",source_discovery_insert,"steward"
recrWuTgMITKMtxU6,ind_hilton_mx_tijotgi,"Hilton Garden Inn Tijuana Airport",source_discovery_insert,"steward"
recrYULqWXL2LHeFe,ind_wyndham_mx_viva-azteca-a-trademark-all-inclusive-resort,"Viva Azteca by Wyndham, A Trademark All Inclusive Resort",source_discovery_insert,"steward"
recrd68gODCyaH7Tq,ind_ihg_mx_bjxgd,"Hotel Indigo Guanajuato",source_discovery_insert,"steward"
recreZtISLN82Bqqe,ind_accor_mx_3355,"Ibis Guadalajara Expo",source_discovery_insert,"steward"
recrlgvxKIl2tY4Y6,ind_ihg_mx_bjxcp,"Crowne Plaza Leon",source_discovery_insert,"steward"
recrpcMu4sx4vSkmS,ind_marriott_do_pujac,"AC Hotel Punta Cana",source_discovery_insert,"steward"
recrruVdcJZoIiZ2U,ind_marriott_co_bogfp,"Four Points by Sheraton Bogota",source_discovery_insert,"steward"
recrtWVGPtcMKPxJi,ind_hilton_co_bogbchh,"Hilton Bogota",source_discovery_insert,"steward"
recrvkWiPg5oba9JN,ind_marriott_co_bogpt,"Four Points by Sheraton Tequendama, Bogota",source_discovery_insert,"steward"
recrxGCb42QRsWIIl,ind_marriott_co_baqmc,"Barranquilla Marriott Hotel",source_discovery_insert,"steward"
recs2VFrtnbHEQD5X,ind_marriott_mx_lapxl,"City Express by Marriott La Paz",source_discovery_insert,"steward"
recs2hYeFGI2wc6CB,ind_ihg_mx_gdlhi,"Holiday Inn Guadalajara Select",source_discovery_insert,"steward"
recs75WlPAQINN12F,ind_accor_mx_a7v8,"Ibis Styles Merida Galerías",source_discovery_insert,"steward"
recs7RZQfcP4Hzisr,ind_choice_mx_mx164,"El Cid Castilla Beach Hotel",source_discovery_insert,"steward"
recs7ZHdkkN45SLxS,ind_preferred_mx_1350,"Live Aqua Cancun All Inclusive Adults Only",source_discovery_insert,"steward"
recsB6uTaqDwQ36Dt,ind_marriott_mx_mexxb,"City Express by Marriott Ciudad de México Tlalnepantla",source_discovery_insert,"steward"
recsBUnZKJuP3bW5M,ind_choice_mx_mx070,"Choice property MX070",source_discovery_insert,"steward"
recsEzHhhjBaEkAfS,ind_marriott_mx_zclxz,"City Express by Marriott Zacatecas",source_discovery_insert,"steward"
recsKp7U0MEKn1wRh,ind_ihg_mx_mexbu,"Holiday Inn Mexico Zona Centro",source_discovery_insert,"steward"
recsOKVsV4V1wA8G2,ind_hilton_mx_bjxadgi,"Hilton Garden Inn Leon",source_discovery_insert,"steward"
recsQ1Zd95zEQHXZe,ind_choice_mx_mx108,"Sleep Inn Ciudad de Mexico Cuajimalpa",source_discovery_insert,"steward"
recsQEPdP8eymdfXs,ind_ihg_mx_jalex,"Holiday Inn Express Xalapa",source_discovery_insert,"steward"
recsn3BUKJ9PNfeZW,ind_marriott_mx_mtyjw,"JW Marriott Hotel Monterrey Valle",source_discovery_insert,"steward"
recsrqqddBLDrD79K,ind_preferred_mx_414319,"Bahia Hotel & Beach House",source_discovery_insert,"steward"
recsv9QL6ykuK8xmZ,ind_marriott_cr_sjoph,"Four Points by Sheraton San Jose Sabana",source_discovery_insert,"steward"
recsvqDrPlUINlj8n,ind_ihg_mx_lpdex,"2026 Best Vacation Destinations",source_discovery_insert,"steward"
rect0uu21PiMNZww4,ind_wyndham_mx_san-salvador-el-verde-mexico,"Hotel Ex hacienda Chautla Puebla, Trademark by Wyndham",source_discovery_insert,"steward"
rect1ih9Yuuw5T00T,ind_hilton_mx_cuncuqq,"The Fives Downtown Hotel & Residences, Curio Collection by Hilton",source_discovery_insert,"steward"
rectBqnxEwVv5POqj,ind_ihg_co_ctgcm,"Holiday Inn Express Cartagena Manga",source_discovery_insert,"steward"
rectDVWAOCbpJNuCj,ind_marriott_mx_cmejo,"City Express Junior by Marriott Ciudad Del Carmen Aeropuerto",source_discovery_insert,"steward"
rectFA8RUjbUrLjYe,ind_marriott_mx_mexrv,"Courtyard by Marriott Mexico City Revolucion",source_discovery_insert,"steward"
rectHV7XZYDMXBF60,ind_marriott_co_mdepm,"City Express Plus by Marriott Medellin Colombia",source_discovery_insert,"steward"
rectJBh46vg9tbcEm,ind_preferred_mx_415071,"Jungala Hotel at VidantaWorld Riviera Maya",source_discovery_insert,"steward"
rectNO0OfkfsArlcE,ind_ihg_mx_bjxex,"Holiday Inn Leon",source_discovery_insert,"steward"
rectNxY0LS8V7tKMJ,ind_marriott_mx_tlcjo,"City Express Junior by Marriott Toluca Aeropuerto",source_discovery_insert,"steward"
rectQPvR9mCSuHwoY,ind_ihg_co_cucco,"Holiday Inn Cucuta",source_discovery_insert,"steward"
rectRnUzTUQ1kj9gG,ind_hilton_co_mdeykqq,"York Medellin, Curio Collection by Hilton",source_discovery_insert,"steward"
rectVMgSHCz3NWt5L,ind_accor_co_a3x0,"Ibis Cúcuta",source_discovery_insert,"steward"
rectbSfPRogz54ibw,ind_marriott_mx_pbcxt,"City Express by Marriott Tehuacan",source_discovery_insert,"steward"
rectmFdQjVlrRcylq,ind_ihg_mx_gdlav,"avid hotels Guadalajara Av Vallarta Pte",source_discovery_insert,"steward"
rectp73xoOzgnT5iS,ind_hilton_mx_tamhshx,"Hampton Inn by Hilton Tampico Aeropuerto",source_discovery_insert,"steward"
rectu91Grbs4A7uGu,ind_preferred_mx_413719,"Galeria Plaza Leon",source_discovery_insert,"steward"
rectvTSD2WzxYjtAl,ind_wyndham_mx_hotel-mx-zocalo-cdmx-trademark-collection,"Hotel MX zocalo CDMX, Trademark Collection by Wyndham",source_discovery_insert,"steward"
rectw0Z0wcAPUhEtS,ind_choice_mx_mx181,"Radisson Paraiso Hotel Mexico City",source_discovery_insert,"steward"
recuBN7Msp3NJKSQz,ind_ihg_mx_pcmpd,"Holiday Inn Express & Suites Playa del Carmen",source_discovery_insert,"steward"
recuDYCryHD3kk2LN,ind_marriott_mx_gdlca,"Courtyard by Marriott Guadalajara Andares",source_discovery_insert,"steward"
